target,candidate,sparse_nonempty_bins,sparse_share_of_calibration_squared_error
any_gt0,A01_daily_max,1,0.000951823621201
any_gt0,A02_daily_mean,0,0.0
any_gt0,A03_daily_q90,0,0.0
any_gt0,A04_top3_mean,0,0.0
any_gt0,A05_max_rolling3h_mean,0,0.0
any_gt100,A01_daily_max,1,0.13837600949722306
any_gt100,A02_daily_mean,0,0.0
any_gt100,A03_daily_q90,0,0.0
any_gt100,A04_top3_mean,0,0.0
any_gt100,A05_max_rolling3h_mean,0,0.0
any_gt1000,A01_daily_max,0,0.0
any_gt1000,A02_daily_mean,1,0.7468364932953879
any_gt1000,A03_daily_q90,0,0.0
any_gt1000,A04_top3_mean,0,0.0
any_gt1000,A05_max_rolling3h_mean,0,0.0
any_gt5,A01_daily_max,1,0.006228936319222744
any_gt5,A02_daily_mean,0,0.0
any_gt5,A03_daily_q90,0,0.0
any_gt5,A04_top3_mean,0,0.0
any_gt5,A05_max_rolling3h_mean,0,0.0
wthr_gt0,A01_daily_max,1,0.04811620968029672
wthr_gt0,A02_daily_mean,0,0.0
wthr_gt0,A03_daily_q90,0,0.0
wthr_gt0,A04_top3_mean,0,0.0
wthr_gt0,A05_max_rolling3h_mean,0,0.0
wthr_gt100,A01_daily_max,1,0.4212007578917602
wthr_gt100,A02_daily_mean,0,0.0
wthr_gt100,A03_daily_q90,0,0.0
wthr_gt100,A04_top3_mean,0,0.0
wthr_gt100,A05_max_rolling3h_mean,0,0.0
wthr_gt1000,A01_daily_max,1,0.9646614541010222
wthr_gt1000,A02_daily_mean,0,0.0
wthr_gt1000,A03_daily_q90,0,0.0
wthr_gt1000,A04_top3_mean,0,0.0
wthr_gt1000,A05_max_rolling3h_mean,0,0.0
wthr_gt5,A01_daily_max,1,0.08945754774653333
wthr_gt5,A02_daily_mean,0,0.0
wthr_gt5,A03_daily_q90,0,0.0
wthr_gt5,A04_top3_mean,0,0.0
wthr_gt5,A05_max_rolling3h_mean,0,0.0
