target,version,bin,lower,upper,n,mean_probability,observed_frequency,events
any_gt0,era5_daily_max,11,0.8330200733516027,1.0,1,0.8330200733516027,1.0,1
any_gt5,era5_daily_max,11,0.7577413287102764,1.0,1,0.7577413287102764,1.0,1
any_gt100,era5_daily_max,11,0.6845706794861558,1.0,1,0.6845706794861558,1.0,1
any_gt1000,era5_daily_max,11,0.3318924159938713,1.0,1,0.3318924159938713,1.0,1
wthr_gt0,era5_daily_max,11,0.7748370258394199,1.0,1,0.7748370258394199,1.0,1
wthr_gt5,era5_daily_max,11,0.7289811209695309,1.0,1,0.7289811209695309,1.0,1
wthr_gt100,era5_daily_max,11,0.6819433192016445,1.0,1,0.6819433192016445,1.0,1
wthr_gt1000,proxy,7,0.002532191388519211,0.002552694448397482,99,0.0025417682375338257,0.0,0
wthr_gt1000,proxy,9,0.002634709723841687,0.0026449611858056364,30,0.0026389138981714787,0.0,0
wthr_gt1000,proxy,11,0.2692213284693819,1.0,1,0.2692213284693819,1.0,1
