LAD21CD,exists_as_LAD23_population_code,all_events,main_candidates,weather_candidates,geographic_equivalence
E06000031,True,807,412,20,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E06000032,True,981,443,4,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E06000033,True,1592,752,16,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E06000034,True,1179,547,66,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E06000035,True,1971,894,107,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E06000043,True,869,333,22,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E06000055,True,1721,874,121,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E06000056,True,2221,1112,167,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E06000060,True,2313,1151,293,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000008,True,796,300,23,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000009,True,906,484,136,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000010,True,953,537,134,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000011,True,1443,762,136,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000012,True,1197,606,129,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000061,True,358,154,9,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000062,True,497,231,37,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000063,True,1004,532,178,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000064,True,1156,644,276,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000065,True,2477,1285,514,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000066,True,1366,625,64,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000067,True,1437,799,305,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000068,True,811,396,102,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000069,True,920,463,51,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000070,True,1376,710,174,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000071,True,1721,929,167,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000072,True,1349,665,104,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000073,True,447,223,22,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000074,True,564,317,89,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000075,True,697,348,46,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000076,True,1525,846,153,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000077,True,1017,563,209,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000095,True,842,372,26,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000096,True,1224,561,67,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000098,True,865,384,10,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000099,True,1083,537,51,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000102,True,627,257,9,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000103,True,760,318,20,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000105,True,1105,623,243,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000106,True,1258,631,204,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000107,True,638,330,31,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000108,True,975,505,186,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000109,True,735,332,45,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000110,True,1343,633,182,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000111,True,1308,610,195,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000112,True,1339,757,237,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000113,True,1154,594,134,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000114,True,737,356,34,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000115,True,1041,486,136,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000116,True,1385,644,196,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000143,True,1315,752,298,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000144,True,1264,700,240,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000145,True,801,411,46,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000146,True,1793,1110,366,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000147,True,1457,892,249,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000148,True,706,340,9,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000149,True,1393,845,319,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000179,True,248,128,31,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000200,True,1349,772,272,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000202,True,1028,462,34,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000203,True,1238,735,292,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000207,True,598,312,22,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000208,True,297,131,2,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000209,True,785,359,56,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000210,True,926,490,177,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000211,True,957,411,48,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000212,True,309,181,31,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000213,True,211,107,10,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000215,True,747,366,63,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000216,True,445,216,82,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000217,True,750,372,69,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000223,True,287,122,9,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000224,True,195,86,8,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000226,True,619,328,84,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000227,True,1329,711,256,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000228,True,2059,1117,389,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000229,True,462,181,11,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000240,True,1077,511,50,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000241,True,883,405,36,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000242,True,1426,668,142,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000243,True,435,173,9,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000244,True,2535,0,0,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E07000245,True,1710,0,0,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000001,True,448,210,3,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000002,True,873,297,0,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000003,True,3205,1392,22,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000004,True,472,250,0,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000005,True,1556,669,2,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000006,True,1591,748,86,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000007,True,1435,559,2,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000008,True,1882,819,16,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000010,True,1744,714,13,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000011,True,1222,590,1,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000012,True,1407,607,1,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000013,True,931,362,1,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000014,True,1870,799,3,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000015,True,1803,778,4,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000016,True,1863,781,56,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000017,True,468,182,2,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000019,True,1967,787,1,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000020,True,497,214,7,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000021,True,870,400,8,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000022,True,1575,639,0,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000023,True,1017,519,0,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000024,True,1560,798,1,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000025,True,1623,682,0,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000026,True,1447,773,3,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000027,True,525,242,6,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000028,True,1446,596,3,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000029,True,663,314,8,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000030,True,574,236,1,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000031,True,1255,588,5,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000032,True,1156,539,0,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
E09000033,True,2594,1091,12,unresolved_no_local_explicit_2021_to_2023_boundary_crosswalk
