Incident Reference,sample,exclusive_reason,duration_B_full_span_hours,selected_source_row,old_source_row
FREP-11055-L,main_R0c,旧H0截尾→完整有效尾部,478.06666666666666,88919,88919
FREP-11150-O,main_R0c,旧H0截尾→完整有效尾部,289.51666666666665,91450,91450
FREP-12608-O,main_R0c,旧H0截尾→完整有效尾部,232.9,55508,55508
FREP-13691-O,main_R0c,旧H0截尾→完整有效尾部,791.6833333333333,225229,225229
FREP-14269-W,main_R0c,旧H0截尾→完整有效尾部,199.85,91672,91672
FREP-14325-W,main_R0c,旧H0截尾→完整有效尾部,1079.6833333333334,84664,84664
FREP-14636-W,main_R0c,旧H0截尾→完整有效尾部,389.03333333333336,91686,91686
FREP-15940-O,main_R0c,旧H0截尾→完整有效尾部,337.53333333333336,237335,237335
FREP-18439-U,main_R0c,旧H0截尾→完整有效尾部,705.0,84798,478
FREP-18754-U,main_R0c,旧H0截尾→完整有效尾部,467.96666666666664,157524,48506
FREP-18940-U,main_R0c,旧H0截尾→完整有效尾部,237.81666666666666,48502,48502
FREP-19342-U,main_R0c,旧H0截尾→完整有效尾部,299.9,512,510
FREP-20423-U,main_R0c,旧H0截尾→完整有效尾部,440.46666666666664,214887,214887
FREP-20445-U,main_R0c,旧H0截尾→完整有效尾部,671.45,157577,157577
FREP-20659-U,main_R0c,旧H0截尾→完整有效尾部,3001.5833333333335,55836,55836
FREP-20704-U,main_R0c,旧H0截尾→完整有效尾部,577.9666666666667,55886,48600
FREP-207903-Z,main_R0c,旧H0截尾→完整有效尾部,1465.0,119145,119145
FREP-22674-U,main_R0c,旧H0截尾→完整有效尾部,313.51666666666665,129353,129353
FREP-228964-Z,main_R0c,旧H0截尾→完整有效尾部,269.65,848,848
FREP-231051-Z,main_R0c,旧H0截尾→完整有效尾部,548.1833333333333,207277,207277
FREP-231664-Z,main_R0c,旧H0截尾→完整有效尾部,815.6833333333333,48792,48792
FREP-233370-Z,main_R0c,旧H0截尾→完整有效尾部,243.63333333333333,221152,221152
FREP-233933-Z,main_R0c,旧H0截尾→完整有效尾部,1006.25,88648,88648
FREP-235443-Z,main_R0c,旧H0截尾→完整有效尾部,221.61666666666667,1232,1232
FREP-238630-Z,main_R0c,旧H0截尾→完整有效尾部,714.8166666666667,98707,98707
FREP-238656-Z,main_R0c,旧H0截尾→完整有效尾部,953.8666666666667,221612,56396
FREP-239546-Z,main_R0c,旧H0截尾→完整有效尾部,333.81666666666666,92553,92553
FREP-239962-Z,main_R0c,旧H0截尾→完整有效尾部,238.66666666666666,60819,60819
FREP-240812-Z,main_R0c,旧H0截尾→完整有效尾部,238.36666666666667,230592,230592
FREP-244008-Z,main_R0c,旧H0截尾→完整有效尾部,267.76666666666665,557,557
FREP-244647-Z,main_R0c,旧H0截尾→完整有效尾部,505.6333333333333,737,737
FREP-244745-Z,main_R0c,旧H0截尾→完整有效尾部,212.0,683,683
FREP-245902-Z,main_R0c,旧H0截尾→完整有效尾部,230.4,231110,231110
FREP-246076-Z,main_R0c,旧H0截尾→完整有效尾部,334.53333333333336,28080,28080
FREP-246256-Z,main_R0c,旧H0截尾→完整有效尾部,192.55,158379,158379
FREP-246479-Z,main_R0c,旧H0截尾→完整有效尾部,242.1,38801,38801
FREP-246733-Z,main_R0c,旧H0截尾→完整有效尾部,262.96666666666664,935,935
FREP-247316-Z,main_R0c,旧H0截尾→完整有效尾部,202.93333333333334,28159,28159
FREP-248679-G,main_R0c,旧H0截尾→完整有效尾部,707.0833333333334,28272,28272
FREP-248723-Z,main_R0c,旧H0截尾→完整有效尾部,1552.8833333333334,158522,158522
FREP-249286-Z,main_R0c,旧H0截尾→完整有效尾部,257.53333333333336,235902,235902
FREP-249410-Z,main_R0c,旧H0截尾→完整有效尾部,1416.55,28346,28346
FREP-250633-Z,main_R0c,旧H0截尾→完整有效尾部,1618.0833333333333,69269,69269
FREP-250674-Z,main_R0c,旧H0截尾→完整有效尾部,1036.9166666666667,61551,61551
FREP-250839-Z,main_R0c,旧H0截尾→完整有效尾部,4846.666666666667,231962,231962
FREP-255564-G,main_R0c,旧H0截尾→完整有效尾部,376.45,4703,4703
FREP-256073-G,main_R0c,旧H0截尾→完整有效尾部,198.25,19401,19401
FREP-258209-Z,main_R0c,旧H0截尾→完整有效尾部,228.98333333333332,61623,61623
FREP-259872-Z,main_R0c,旧H0截尾→完整有效尾部,305.03333333333336,129426,129426
FREP-260164-Z,main_R0c,旧H0截尾→完整有效尾部,458.78333333333336,14175,14175
FREP-261324-J,main_R0c,旧H0截尾→完整有效尾部,192.15,1715,1715
