date_utc,fold,base_events
2021-04-01,2,51
2021-04-02,2,36
2021-04-03,2,29
2021-04-04,3,24
2021-04-05,1,26
2021-04-06,3,45
2021-04-07,0,43
2021-04-08,3,35
2021-04-09,4,39
2021-04-10,0,30
2021-04-11,4,32
2021-04-12,4,45
2021-04-13,4,44
2021-04-14,1,50
2021-04-15,0,44
2021-04-16,3,38
2021-04-17,4,34
2021-04-18,1,22
2021-04-19,3,51
2021-04-20,1,44
2021-04-21,0,34
2021-04-22,0,48
2021-04-23,3,38
2021-04-24,0,31
2021-04-25,2,28
2021-04-26,3,36
2021-04-27,0,41
2021-04-28,2,40
2021-04-29,1,41
2021-04-30,2,41
2021-05-01,0,48
2021-05-02,1,34
2021-05-03,2,66
2021-05-04,4,113
2021-05-05,4,65
2021-05-06,2,46
2021-05-07,0,45
2021-05-08,1,61
2021-05-09,0,39
2021-05-10,1,64
2021-05-11,3,40
2021-05-12,1,45
2021-05-13,4,51
2021-05-14,4,55
2021-05-15,0,42
2021-05-16,4,40
2021-05-17,3,62
2021-05-18,0,62
2021-05-19,1,58
2021-05-20,3,62
2021-05-21,2,112
2021-05-22,0,55
2021-05-23,2,44
2021-05-24,3,66
2021-05-25,3,46
2021-05-26,3,41
2021-05-27,3,60
2021-05-28,1,47
2021-05-29,1,39
2021-05-30,2,26
2021-05-31,4,39
2021-06-01,0,52
2021-06-02,0,51
2021-06-03,2,40
2021-06-04,4,66
2021-06-05,0,50
2021-06-06,1,43
2021-06-07,4,55
2021-06-08,1,53
2021-06-09,2,43
2021-06-10,1,57
2021-06-11,2,59
2021-06-12,0,49
2021-06-13,1,42
2021-06-14,0,67
2021-06-15,1,56
2021-06-16,2,64
2021-06-17,2,88
2021-06-18,3,135
2021-06-19,0,58
2021-06-20,3,43
2021-06-21,1,52
2021-06-22,2,57
2021-06-23,4,54
2021-06-24,2,51
2021-06-25,2,56
2021-06-26,2,34
2021-06-27,0,39
2021-06-28,1,74
2021-06-29,1,50
2021-06-30,2,52
2021-07-01,0,59
2021-07-02,0,43
2021-07-03,1,43
2021-07-04,1,49
2021-07-05,4,41
2021-07-06,1,110
2021-07-07,3,45
2021-07-08,2,50
2021-07-09,1,58
2021-07-10,4,44
2021-07-11,2,36
2021-07-12,4,60
2021-07-13,1,55
2021-07-14,4,37
2021-07-15,4,46
2021-07-16,2,43
2021-07-17,1,39
2021-07-18,3,64
2021-07-19,0,64
2021-07-20,1,75
2021-07-21,2,58
2021-07-22,2,47
2021-07-23,2,53
2021-07-24,2,42
2021-07-25,1,79
2021-07-26,3,57
2021-07-27,1,67
2021-07-28,1,65
2021-07-29,2,61
2021-07-30,2,59
2021-07-31,4,38
2021-08-01,4,35
2021-08-02,3,47
2021-08-03,3,51
2021-08-04,0,46
2021-08-05,3,50
2021-08-06,3,42
2021-08-07,4,47
2021-08-08,2,49
2021-08-09,3,58
2021-08-10,3,52
2021-08-11,4,50
2021-08-12,0,41
2021-08-13,4,45
2021-08-14,3,40
2021-08-15,3,27
2021-08-16,1,30
2021-08-17,0,45
2021-08-18,0,35
2021-08-19,0,38
2021-08-20,3,36
2021-08-21,4,34
2021-08-22,0,37
2021-08-23,1,35
2021-08-24,1,48
2021-08-25,4,42
2021-08-26,1,31
2021-08-27,0,42
2021-08-28,1,26
2021-08-29,2,26
2021-08-30,4,36
2021-08-31,3,29
2021-09-01,1,45
2021-09-02,0,36
2021-09-03,2,22
2021-09-04,0,32
2021-09-05,4,27
2021-09-06,1,36
2021-09-07,1,32
2021-09-08,3,49
2021-09-09,4,51
2021-09-10,1,41
2021-09-11,4,40
2021-09-12,2,31
2021-09-13,2,39
2021-09-14,3,53
2021-09-15,1,51
2021-09-16,2,45
2021-09-17,2,32
2021-09-18,3,25
2021-09-19,3,33
2021-09-20,4,49
2021-09-21,4,52
2021-09-22,4,32
2021-09-23,0,34
2021-09-24,0,32
2021-09-25,0,15
2021-09-26,3,28
2021-09-27,4,88
2021-09-28,2,48
2021-09-29,1,54
2021-09-30,4,63
2021-10-01,3,56
2021-10-02,2,118
2021-10-03,2,73
2021-10-04,2,55
2021-10-05,1,121
2021-10-06,1,64
2021-10-07,0,40
2021-10-08,1,40
2021-10-09,2,36
2021-10-10,4,28
2021-10-11,1,34
2021-10-12,4,29
2021-10-13,3,36
2021-10-14,1,32
2021-10-15,2,41
2021-10-16,2,40
2021-10-17,4,24
2021-10-18,3,35
2021-10-19,2,54
2021-10-20,2,95
2021-10-21,1,136
2021-10-22,0,49
2021-10-23,1,37
2021-10-24,2,34
2021-10-25,1,47
2021-10-26,2,37
2021-10-27,3,41
2021-10-28,2,47
2021-10-29,4,58
2021-10-30,2,30
2021-10-31,2,114
2021-11-01,0,51
2021-11-02,4,56
2021-11-03,3,48
2021-11-04,0,61
2021-11-05,4,35
2021-11-06,2,29
2021-11-07,3,31
2021-11-08,3,33
2021-11-09,3,45
2021-11-10,4,45
2021-11-11,3,40
2021-11-12,4,41
2021-11-13,3,29
2021-11-14,4,25
2021-11-15,0,44
