Incident Reference,old_start_raw,selected_start_raw,old_time_utc,new_time_utc,new_time_london,new_date_utc,new_date_london,old_period,new_period,new_period_london,new_in_study_utc,new_in_study_london,max_stage_end_utc,recovery_crosses_study_end
FREP-10011-I,2024-03-30T17:17:00+00:00,2024-03-30T17:17:00+00:00,2024-03-30 17:17:00+00:00,2024-03-30 17:17:00+00:00,2024-03-30 17:17:00+00:00,2024-03-30,2024-03-30,later,later,later,True,True,2024-04-04 15:49:00+00:00,True
FREP-10032-I,2024-03-31T14:45:00+01:00,2024-03-30T23:58:00+00:00,2024-03-31 13:45:00+00:00,2024-03-30 23:58:00+00:00,2024-03-30 23:58:00+00:00,2024-03-30,2024-03-30,later,later,later,True,True,2024-04-03 17:32:00+00:00,True
FREP-10044-I,2024-03-31T08:42:00+01:00,2024-03-31T08:42:00+01:00,2024-03-31 07:42:00+00:00,2024-03-31 07:42:00+00:00,2024-03-31 08:42:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 08:34:00+00:00,True
FREP-10063-I,2024-03-31T12:34:00+01:00,2024-03-31T12:04:00+01:00,2024-03-31 11:34:00+00:00,2024-03-31 11:04:00+00:00,2024-03-31 12:04:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 03:15:00+00:00,True
FREP-10085-I,2024-03-31T15:17:00+01:00,2024-03-31T15:17:00+01:00,2024-03-31 14:17:00+00:00,2024-03-31 14:17:00+00:00,2024-03-31 15:17:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-02 18:15:00+00:00,True
FREP-10087-I,2024-03-31T19:40:00+01:00,2024-03-31T16:11:00+01:00,2024-03-31 18:40:00+00:00,2024-03-31 15:11:00+00:00,2024-03-31 16:11:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 13:40:00+00:00,True
FREP-10104-I,2024-03-31T19:14:00+01:00,2024-03-31T19:14:00+01:00,2024-03-31 18:14:00+00:00,2024-03-31 18:14:00+00:00,2024-03-31 19:14:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 14:35:00+00:00,True
FREP-10114-I,2024-03-31T22:59:00+01:00,2024-03-31T22:59:00+01:00,2024-03-31 21:59:00+00:00,2024-03-31 21:59:00+00:00,2024-03-31 22:59:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 10:35:00+00:00,True
FREP-10119-I,2024-04-01T00:10:00+01:00,2024-04-01T00:10:00+01:00,2024-03-31 23:10:00+00:00,2024-03-31 23:10:00+00:00,2024-04-01 00:10:00+01:00,2024-03-31,2024-04-01,later,later,outside_study,True,False,2024-04-01 01:00:00+00:00,True
FREP-10160-L,2022-04-25T00:30:00+01:00,2022-04-25T00:30:00+01:00,2022-04-24 23:30:00+00:00,2022-04-24 23:30:00+00:00,2022-04-25 00:30:00+01:00,2022-04-24,2022-04-25,development,development,development,True,True,2022-04-25 00:30:00+00:00,False
FREP-10196-L,2022-04-04T00:58:00+01:00,2022-04-04T00:58:00+01:00,2022-04-03 23:58:00+00:00,2022-04-03 23:58:00+00:00,2022-04-04 00:58:00+01:00,2022-04-03,2022-04-04,development,development,development,True,True,2022-04-04 01:40:00+00:00,False
FREP-10232-L,2022-04-21T00:08:00+01:00,2022-04-21T00:08:00+01:00,2022-04-20 23:08:00+00:00,2022-04-20 23:08:00+00:00,2022-04-21 00:08:00+01:00,2022-04-20,2022-04-21,development,development,development,True,True,2022-04-21 11:08:00+00:00,False
FREP-10233-L,2022-04-21T00:37:00+01:00,2022-04-21T00:37:00+01:00,2022-04-20 23:37:00+00:00,2022-04-20 23:37:00+00:00,2022-04-21 00:37:00+01:00,2022-04-20,2022-04-21,development,development,development,True,True,2022-04-21 08:55:00+00:00,False
FREP-10234-L,2022-04-21T00:54:00+01:00,2022-04-21T00:54:00+01:00,2022-04-20 23:54:00+00:00,2022-04-20 23:54:00+00:00,2022-04-21 00:54:00+01:00,2022-04-20,2022-04-21,development,development,development,True,True,2022-04-21 03:00:00+00:00,False
FREP-10484-O,2022-05-29T17:18:00+01:00,2022-05-29T00:11:00+01:00,2022-05-29 16:18:00+00:00,2022-05-28 23:11:00+00:00,2022-05-29 00:11:00+01:00,2022-05-28,2022-05-29,development,development,development,True,True,2022-05-29 20:00:00+00:00,False
FREP-10610-L,2022-10-15T10:31:00+01:00,2022-10-15T00:12:00+01:00,2022-10-15 09:31:00+00:00,2022-10-14 23:12:00+00:00,2022-10-15 00:12:00+01:00,2022-10-14,2022-10-15,development,development,development,True,True,2022-10-15 11:05:00+00:00,False
FREP-11112-L,2023-06-26T00:17:00+01:00,2023-06-26T00:17:00+01:00,2023-06-25 23:17:00+00:00,2023-06-25 23:17:00+00:00,2023-06-26 00:17:00+01:00,2023-06-25,2023-06-26,development,development,development,True,True,2023-06-26 06:05:00+00:00,False
FREP-11130-L,2023-08-04T00:18:00+01:00,2023-08-04T00:18:00+01:00,2023-08-03 23:18:00+00:00,2023-08-03 23:18:00+00:00,2023-08-04 00:18:00+01:00,2023-08-03,2023-08-04,development,development,development,True,True,2023-08-04 00:10:00+00:00,False
