scope,denominator,field,changed_events
all_events,135025,代表源行,12886
all_events,135025,UTC时刻,12886
all_events,135025,UTC小时键,12018
all_events,135025,UTC日期,2802
all_events,135025,UTC年份,12
all_events,135025,UTC月份,95
all_events,135025,开发/后期/窗外,1
all_events,135025,研究期成员UTC,0
all_events,135025,任一风暴成员,182
all_events,135025,原因组(旧首行→全阶段共识),2
all_events,135025,人口数值或缺失状态,12
all_events,135025,LAD代码,0
all_events,135025,坐标数值,0
all_events,135025,C公式,0
all_events,135025,D公式,0
all_events,135025,天气_gust_0h,10973
all_events,135025,天气_precipitation_24h_sum,6630
all_events,135025,天气_temperature_0h,11117
all_events,135025,天气_pressure_msl_0h,10873
all_events,135025,任一天气字段,11227
main_E0,60437,代表源行,8199
main_E0,60437,UTC时刻,8199
main_E0,60437,UTC小时键,7810
main_E0,60437,UTC日期,2225
main_E0,60437,UTC年份,10
main_E0,60437,UTC月份,70
main_E0,60437,开发/后期/窗外,1
main_E0,60437,研究期成员UTC,0
main_E0,60437,任一风暴成员,156
main_E0,60437,原因组(旧首行→全阶段共识),1
main_E0,60437,人口数值或缺失状态,10
main_E0,60437,LAD代码,0
main_E0,60437,坐标数值,0
main_E0,60437,C公式,0
main_E0,60437,D公式,0
main_E0,60437,天气_gust_0h,7645
main_E0,60437,天气_precipitation_24h_sum,4769
main_E0,60437,天气_temperature_0h,7733
main_E0,60437,天气_pressure_msl_0h,7589
main_E0,60437,任一天气字段,7810
main_R0c,59834,代表源行,8113
main_R0c,59834,UTC时刻,8113
main_R0c,59834,UTC小时键,7724
main_R0c,59834,UTC日期,2161
main_R0c,59834,UTC年份,6
main_R0c,59834,UTC月份,51
main_R0c,59834,开发/后期/窗外,1
main_R0c,59834,研究期成员UTC,0
main_R0c,59834,任一风暴成员,152
main_R0c,59834,原因组(旧首行→全阶段共识),0
main_R0c,59834,人口数值或缺失状态,6
main_R0c,59834,LAD代码,0
main_R0c,59834,坐标数值,0
main_R0c,59834,C公式,0
main_R0c,59834,D公式,0
main_R0c,59834,天气_gust_0h,7560
main_R0c,59834,天气_precipitation_24h_sum,4700
main_R0c,59834,天气_temperature_0h,7647
main_R0c,59834,天气_pressure_msl_0h,7505
main_R0c,59834,任一天气字段,7724
weather_E0,9857,代表源行,1074
weather_E0,9857,UTC时刻,1074
weather_E0,9857,UTC小时键,965
weather_E0,9857,UTC日期,255
weather_E0,9857,UTC年份,0
weather_E0,9857,UTC月份,2
weather_E0,9857,开发/后期/窗外,0
weather_E0,9857,研究期成员UTC,0
weather_E0,9857,任一风暴成员,118
weather_E0,9857,原因组(旧首行→全阶段共识),0
weather_E0,9857,人口数值或缺失状态,0
weather_E0,9857,LAD代码,0
weather_E0,9857,坐标数值,0
weather_E0,9857,C公式,0
weather_E0,9857,D公式,0
weather_E0,9857,天气_gust_0h,945
weather_E0,9857,天气_precipitation_24h_sum,716
weather_E0,9857,天气_temperature_0h,951
weather_E0,9857,天气_pressure_msl_0h,943
weather_E0,9857,任一天气字段,965
weather_R0c,9758,代表源行,1060
weather_R0c,9758,UTC时刻,1060
weather_R0c,9758,UTC小时键,951
weather_R0c,9758,UTC日期,243
weather_R0c,9758,UTC年份,0
weather_R0c,9758,UTC月份,2
weather_R0c,9758,开发/后期/窗外,0
weather_R0c,9758,研究期成员UTC,0
weather_R0c,9758,任一风暴成员,110
weather_R0c,9758,原因组(旧首行→全阶段共识),0
weather_R0c,9758,人口数值或缺失状态,0
weather_R0c,9758,LAD代码,0
weather_R0c,9758,坐标数值,0
weather_R0c,9758,C公式,0
weather_R0c,9758,D公式,0
weather_R0c,9758,天气_gust_0h,931
weather_R0c,9758,天气_precipitation_24h_sum,702
weather_R0c,9758,天气_temperature_0h,937
weather_R0c,9758,天气_pressure_msl_0h,929
weather_R0c,9758,任一天气字段,951
main_E0_common,60436,代表源行,8198
main_E0_common,60436,UTC时刻,8198
main_E0_common,60436,UTC小时键,7809
main_E0_common,60436,UTC日期,2224
main_E0_common,60436,UTC年份,9
main_E0_common,60436,UTC月份,69
main_E0_common,60436,开发/后期/窗外,1
main_E0_common,60436,研究期成员UTC,0
main_E0_common,60436,任一风暴成员,156
main_E0_common,60436,原因组(旧首行→全阶段共识),0
main_E0_common,60436,人口数值或缺失状态,9
main_E0_common,60436,LAD代码,0
main_E0_common,60436,坐标数值,0
main_E0_common,60436,C公式,0
main_E0_common,60436,D公式,0
main_E0_common,60436,天气_gust_0h,7644
main_E0_common,60436,天气_precipitation_24h_sum,4768
main_E0_common,60436,天气_temperature_0h,7732
main_E0_common,60436,天气_pressure_msl_0h,7588
main_E0_common,60436,任一天气字段,7809
main_R0c_common,59834,代表源行,8113
main_R0c_common,59834,UTC时刻,8113
main_R0c_common,59834,UTC小时键,7724
main_R0c_common,59834,UTC日期,2161
main_R0c_common,59834,UTC年份,6
main_R0c_common,59834,UTC月份,51
main_R0c_common,59834,开发/后期/窗外,1
main_R0c_common,59834,研究期成员UTC,0
main_R0c_common,59834,任一风暴成员,152
main_R0c_common,59834,原因组(旧首行→全阶段共识),0
main_R0c_common,59834,人口数值或缺失状态,6
main_R0c_common,59834,LAD代码,0
main_R0c_common,59834,坐标数值,0
main_R0c_common,59834,C公式,0
main_R0c_common,59834,D公式,0
main_R0c_common,59834,天气_gust_0h,7560
main_R0c_common,59834,天气_precipitation_24h_sum,4700
main_R0c_common,59834,天气_temperature_0h,7647
main_R0c_common,59834,天气_pressure_msl_0h,7505
main_R0c_common,59834,任一天气字段,7724
weather_E0_common,9857,代表源行,1074
weather_E0_common,9857,UTC时刻,1074
weather_E0_common,9857,UTC小时键,965
weather_E0_common,9857,UTC日期,255
weather_E0_common,9857,UTC年份,0
weather_E0_common,9857,UTC月份,2
weather_E0_common,9857,开发/后期/窗外,0
weather_E0_common,9857,研究期成员UTC,0
weather_E0_common,9857,任一风暴成员,118
weather_E0_common,9857,原因组(旧首行→全阶段共识),0
weather_E0_common,9857,人口数值或缺失状态,0
weather_E0_common,9857,LAD代码,0
weather_E0_common,9857,坐标数值,0
weather_E0_common,9857,C公式,0
weather_E0_common,9857,D公式,0
weather_E0_common,9857,天气_gust_0h,945
weather_E0_common,9857,天气_precipitation_24h_sum,716
weather_E0_common,9857,天气_temperature_0h,951
weather_E0_common,9857,天气_pressure_msl_0h,943
weather_E0_common,9857,任一天气字段,965
weather_R0c_common,9758,代表源行,1060
