scope,storm,old_members,new_members,enter,exit,UTC_London_diff_new
all_events,Arwen,571,574,3,0,0.0
all_events,Dudley,618,616,2,4,0.0
all_events,Eunice,2219,2291,79,7,0.0
all_events,Franklin,1696,1631,24,89,0.0
all_events,Babet,1087,1089,3,1,6.0
all_events,Ciaran,989,990,3,2,0.0
all_events,Henk,810,811,7,6,0.0
all_events,UNIQUE_ANY,7262,7300,51,13,
main_E0_candidate,Arwen,267,270,3,0,0.0
main_E0_candidate,Dudley,293,291,2,4,0.0
main_E0_candidate,Eunice,1601,1659,64,6,0.0
main_E0_candidate,Franklin,1187,1132,21,76,0.0
main_E0_candidate,Babet,506,509,3,0,3.0
main_E0_candidate,Ciaran,576,576,2,2,0.0
main_E0_candidate,Henk,493,494,6,5,0.0
main_E0_candidate,UNIQUE_ANY,4418,4452,45,11,
main_R0c_candidate,Arwen,267,270,3,0,0.0
main_R0c_candidate,Dudley,293,291,2,4,0.0
main_R0c_candidate,Eunice,1601,1659,64,6,0.0
main_R0c_candidate,Franklin,1187,1132,21,76,0.0
main_R0c_candidate,Babet,506,509,3,0,3.0
main_R0c_candidate,Ciaran,576,576,2,2,0.0
main_R0c_candidate,Henk,493,494,6,5,0.0
main_R0c_candidate,UNIQUE_ANY,4418,4452,45,11,
