Incident Reference,window_list,window_count,was_in_this_fit,tail_excluded_from_fit,prediction_source,target_scale,y,prediction_eta,squared_error_log
FREP-14132-W,Franklin,1,True,False,full_sample_descriptive,log1p_C,3.044522437723423,1.9819302672379795,1.1291021207769658
FREP-15108-O,Ciaran,1,True,False,full_sample_descriptive,log1p_C,0.0,1.4368052457857696,2.0644093143175057
FREP-258555-G,Arwen,1,True,False,full_sample_descriptive,log1p_C,6.0112671744041615,1.2306926452746625,22.85389282856173
FREP-258615-G,Arwen,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,1.458105216300388,0.5851607964438765
FREP-258735-G,Arwen,1,True,False,full_sample_descriptive,log1p_C,1.3862943611198906,2.389580770914864,1.0065836200792873
FREP-258869-G,Arwen,1,True,False,full_sample_descriptive,log1p_C,3.4657359027997265,1.7857477814124367,2.8223600880023954
FREP-266908-G,Eunice,1,True,False,full_sample_descriptive,log1p_C,4.709530201312334,3.4883556076636095,1.491267388173127
FREP-269982-G,Franklin,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,1.932701688753732,1.5364953787835403
FREP-271719-Z,Arwen,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,1.8128633708129818,1.2537643467147739
FREP-271792-Z,Arwen,1,True,False,full_sample_descriptive,log1p_C,3.332204510175204,1.6236299023697258,2.919227190437643
FREP-286152-Z,Eunice,1,True,False,full_sample_descriptive,log1p_C,6.0014148779611505,2.259130999374924,14.00468862792637
FREP-286182-Z,Eunice,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,2.50449267193656,3.2809724891303897
FREP-287202-Z,Franklin,1,True,False,full_sample_descriptive,log1p_C,2.9444389791664403,1.9489790918890466,0.9909403871783212
FREP-290198-Z,Franklin,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,1.8122445818174513,1.2523789935013032
FREP-337137-G,Babet,1,True,False,full_sample_descriptive,log1p_C,1.0986122886681098,1.3015571148123468,0.0411866024587146
FREP-337209-G,Babet,1,True,False,full_sample_descriptive,log1p_C,4.804021044733257,1.8866047620185153,8.511317766649102
FREP-402894-Z,Babet,1,True,False,full_sample_descriptive,log1p_C,1.3862943611198906,1.2152870577003865,0.029243497822810337
FREP-403859-Z,Babet,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,1.175275550865903,0.23244776545387866
FREP-403915-Z,Babet,1,True,False,full_sample_descriptive,log1p_C,0.0,1.6743790888823258,2.8035453332864075
FREP-405304-Z,Ciaran,1,True,False,full_sample_descriptive,log1p_C,2.1972245773362196,1.9325439833132336,0.0700558168523607
FREP-46168-M,Ciaran,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,1.5510131571156216,0.7359340337318242
FREP-57127-C,Arwen,1,True,False,full_sample_descriptive,log1p_C,3.6109179126442243,1.2387148053982786,5.62734758202732
FREP-60451-C,Dudley,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,1.5737381319239567,0.7754404236241748
FREP-76926-V,Eunice,1,True,False,full_sample_descriptive,log1p_C,3.4339872044851463,4.252871682352872,0.6705717880926975
FREP-82606-C,Babet,1,True,False,full_sample_descriptive,log1p_C,3.8918202981106265,1.1149523239419978,7.710995745963383
FREP-83630-C,Ciaran,1,True,False,full_sample_descriptive,log1p_C,0.6931471805599453,1.6023684248742331,0.8266832711124219
FREP-87895-V,Ciaran,1,True,False,full_sample_descriptive,log1p_C,1.9459101490553132,1.670081804683336,0.07608127555898613
