Incident Reference,window_list,window_count,was_in_this_fit,tail_excluded_from_fit,prediction_source,target_scale,y,prediction_eta,squared_error_log
FREP-14132-W,Franklin,1,True,False,full_sample_descriptive,log_D,1.2335316065674804,2.3864678106328836,1.329261890644741
FREP-15108-O,Ciaran,1,True,False,full_sample_descriptive,log_D,0.0,1.137562480344868,1.2940483966883682
FREP-258555-G,Arwen,1,True,False,full_sample_descriptive,log_D,2.0476928433652555,0.8588198605244317,1.4134189693288377
FREP-258615-G,Arwen,1,True,False,full_sample_descriptive,log_D,2.445241393395569,1.542083514064542,0.8156941549977177
FREP-258735-G,Arwen,1,True,False,full_sample_descriptive,log_D,1.5686159179138452,2.1740237208608777,0.36651860786915286
FREP-258869-G,Arwen,1,True,False,full_sample_descriptive,log_D,3.1724827852984903,2.2380150739166353,0.8732299036152417
FREP-266908-G,Eunice,1,True,False,full_sample_descriptive,log_D,1.8794650496471605,2.4581619008417035,0.334890045582479
FREP-269982-G,Franklin,1,True,False,full_sample_descriptive,log_D,4.401011934584962,1.8714499242865315,6.398683963945037
FREP-271719-Z,Arwen,1,True,False,full_sample_descriptive,log_D,1.442989704796436,1.3407701753274814,0.010448832204854461
FREP-271792-Z,Arwen,1,True,False,full_sample_descriptive,log_D,2.8810693652338513,1.895288141629535,0.9717646208108228
FREP-286152-Z,Eunice,1,True,False,full_sample_descriptive,log_D,2.5468376075184906,1.2240475593494227,1.7497735115351252
FREP-286182-Z,Eunice,1,True,False,full_sample_descriptive,log_D,1.3694872428035094,2.214199374142701,0.7135385848315998
FREP-287202-Z,Franklin,1,True,False,full_sample_descriptive,log_D,0.7339691750802005,1.928188069298064,1.4261587673069367
FREP-290198-Z,Franklin,1,True,False,full_sample_descriptive,log_D,2.8735646395797834,2.119795172094742,0.568168410112683
FREP-337137-G,Babet,1,True,False,full_sample_descriptive,log_D,2.8094026953624978,1.877987171966277,0.8675348772234557
FREP-337209-G,Babet,1,True,False,full_sample_descriptive,log_D,2.910537427490759,1.6214999776820382,1.6616175470093701
FREP-402894-Z,Babet,1,True,False,full_sample_descriptive,log_D,-0.10536051565782628,1.9761642916662367,4.332745523505478
FREP-403859-Z,Babet,1,True,False,full_sample_descriptive,log_D,1.4469189829363254,1.7383977930784753,0.0849598967618835
FREP-403915-Z,Babet,1,True,False,full_sample_descriptive,log_D,1.864080130807681,1.5454218714106,0.10154308628197738
FREP-405304-Z,Ciaran,1,True,False,full_sample_descriptive,log_D,3.5529642701341375,2.099983230959274,2.111153900201667
FREP-46168-M,Ciaran,1,True,False,full_sample_descriptive,log_D,2.775708849576025,1.4981742925665138,1.6320945443534878
FREP-57127-C,Arwen,1,True,False,full_sample_descriptive,log_D,0.4054651081081644,1.9730317077236101,2.4572650442299313
FREP-60451-C,Dudley,1,True,False,full_sample_descriptive,log_D,2.388762789235098,2.2396874809104697,0.022223447552083005
FREP-76926-V,Eunice,1,True,False,full_sample_descriptive,log_D,3.896232319521822,3.0437831819006353,0.7266695322311045
FREP-82606-C,Babet,1,True,False,full_sample_descriptive,log_D,1.9624394510065237,2.3731172778889777,0.16865627749289488
FREP-83630-C,Ciaran,1,True,False,full_sample_descriptive,log_D,1.9070703157390494,1.0496148908408092,0.7352298056874217
FREP-87895-V,Ciaran,1,True,False,full_sample_descriptive,log_D,1.540445040947149,1.8858296966189905,0.11929056037355644
