Incident Reference,new_date_utc,new_year,new_month,LAD21CD
FREP-11745-O,2022-10-12,2022,10,E07000066
FREP-12471-O,2023-01-19,2023,1,E09000010
FREP-13157-W,2021-05-20,2021,5,E07000065
FREP-13211-O,2023-05-04,2023,5,E07000099
FREP-13390-O,2023-05-22,2023,5,E07000098
FREP-14132-W,2022-02-21,2022,2,E07000211
FREP-15108-O,2023-11-02,2023,11,E06000055
FREP-15160-O,2023-09-07,2023,9,E07000241
FREP-157466-Z,2021-12-19,2021,12,E06000055
FREP-159912-J,2022-04-28,2022,4,E07000072
FREP-164894-Z,2021-05-09,2021,5,E07000098
FREP-16671-O,2024-03-08,2024,3,E07000076
FREP-19197-U,2021-10-22,2021,10,E09000021
FREP-205270-J,2024-01-25,2024,1,E09000005
FREP-20904-U,2022-11-03,2022,11,E06000035
FREP-213716-J,2023-12-02,2023,12,E09000026
FREP-221775-Z,2023-03-08,2023,3,E07000147
FREP-22456-U,2023-12-05,2023,12,E07000208
FREP-226846-Z,2021-04-24,2021,4,E07000011
FREP-227420-G,2022-03-03,2022,3,E07000208
FREP-228813-Z,2021-04-01,2021,4,E07000099
FREP-229188-Z,2021-04-05,2021,4,E07000069
FREP-230324-Z,2021-04-11,2021,4,E07000148
FREP-230401-Z,2021-04-12,2021,4,E07000096
FREP-231661-Z,2021-04-17,2021,4,E07000072
FREP-232427-Z,2021-04-22,2021,4,E06000060
FREP-233715-Z,2021-04-28,2021,4,E09000010
FREP-234038-Z,2021-04-30,2021,4,E07000011
FREP-234116-Z,2021-04-30,2021,4,E07000202
FREP-235157-Z,2021-05-05,2021,5,E09000015
FREP-236688-Z,2021-05-14,2021,5,E09000010
FREP-237009-Z,2021-05-16,2021,5,E07000073
FREP-237941-Z,2021-06-02,2021,6,E06000031
FREP-238564-Z,2021-05-23,2021,5,E09000003
FREP-238589-Z,2021-05-23,2021,5,E07000070
FREP-239862-J,2021-07-14,2021,7,E09000007
FREP-239992-Z,2021-06-01,2021,6,E07000241
FREP-241315-Z,2021-06-07,2021,6,E06000056
FREP-243485-J,2022-05-23,2022,5,E09000028
FREP-244103-Z,2021-06-21,2021,6,E07000009
FREP-244334-Z,2021-06-22,2021,6,E09000003
FREP-244414-Z,2021-06-20,2021,6,E07000012
FREP-244955-Z,2021-06-24,2021,6,E09000015
FREP-244956-Z,2022-11-12,2022,11,E07000095
FREP-245417-Z,2021-06-28,2021,6,E07000179
FREP-246493-Z,2021-07-02,2021,7,E07000066
FREP-246558-J,2021-05-17,2021,5,E09000024
FREP-247951-Z,2021-07-10,2021,7,E07000203
FREP-248113-Z,2021-07-12,2021,7,E07000011
FREP-248489-Z,2021-07-13,2021,7,E07000071
FREP-249562-G,2021-04-22,2021,4,E07000227
FREP-249665-G,2021-04-26,2021,4,E06000035
FREP-249750-G,2021-04-16,2021,4,E07000065
FREP-250419-G,2021-05-09,2021,5,E07000110
FREP-250580-Z,2021-07-22,2021,7,E07000010
FREP-250745-G,2021-05-15,2021,5,E07000208
FREP-250816-Z,2021-07-23,2021,7,E07000066
FREP-251058-G,2021-05-21,2021,5,E07000110
FREP-251494-G,2021-05-26,2021,5,E07000229
FREP-251622-Z,2021-07-27,2021,7,E07000203
FREP-251729-G,2021-05-29,2021,5,E07000108
FREP-251733-G,2021-05-29,2021,5,E07000111
FREP-252712-Z,2021-08-01,2021,8,E07000076
