Incident Reference,window_list,window_count,was_in_this_fit,tail_excluded_from_fit,model_fold,fit_model_key,model_training_tail_policy,training_threshold_hours,prediction_source,target_scale,y,prediction_eta,squared_error_log
FREP-14132-W,Franklin,1,False,False,3,model_fold3_G,all_valid,,OOF_date_group_diagnostic,log1p_C,3.044522437723423,1.8248708477045184,1.4875500010356424
FREP-15108-O,Ciaran,1,False,False,2,model_fold2_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.0,1.8792064509826367,3.531416885414757
FREP-258555-G,Arwen,1,False,False,1,model_fold1_G,all_valid,,OOF_date_group_diagnostic,log1p_C,6.0112671744041615,0.9662758292922204,25.451937672254395
FREP-258615-G,Arwen,1,False,False,1,model_fold1_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,1.352272166172826,0.43444574665918034
FREP-258735-G,Arwen,1,False,False,2,model_fold2_G,all_valid,,OOF_date_group_diagnostic,log1p_C,1.3862943611198906,2.190880045375585,0.6473581233092041
FREP-258869-G,Arwen,1,False,False,4,model_fold4_G,all_valid,,OOF_date_group_diagnostic,log1p_C,3.4657359027997265,1.9036425055375845,2.4401357817699805
FREP-266908-G,Eunice,1,False,False,0,model_fold0_G,all_valid,,OOF_date_group_diagnostic,log1p_C,4.709530201312334,3.163724080249445,2.3895165639154947
FREP-269982-G,Franklin,1,False,False,4,model_fold4_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,2.1103838114480404,2.0085596679310385
FREP-271719-Z,Arwen,1,False,False,2,model_fold2_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,1.9668349756374597,1.62228059932942
FREP-271792-Z,Arwen,1,False,False,4,model_fold4_G,all_valid,,OOF_date_group_diagnostic,log1p_C,3.332204510175204,1.7684105983401182,2.4454513986924797
FREP-286152-Z,Eunice,1,False,False,0,model_fold0_G,all_valid,,OOF_date_group_diagnostic,log1p_C,6.0014148779611505,1.6575192344782388,18.869429361469816
FREP-286182-Z,Eunice,1,False,False,0,model_fold0_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,1.9839750148869761,1.6662364978734123
FREP-287202-Z,Franklin,1,False,False,3,model_fold3_G,all_valid,,OOF_date_group_diagnostic,log1p_C,2.9444389791664403,1.6822282978074372,1.5931758041367587
FREP-290198-Z,Franklin,1,False,False,4,model_fold4_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,1.7266273201571813,1.0680811989419223
FREP-337137-G,Babet,1,False,False,4,model_fold4_G,all_valid,,OOF_date_group_diagnostic,log1p_C,1.0986122886681098,0.965532869203048,0.017710131885157854
FREP-337209-G,Babet,1,False,False,4,model_fold4_G,all_valid,,OOF_date_group_diagnostic,log1p_C,4.804021044733257,1.9370605854544347,8.219462275068233
FREP-402894-Z,Babet,1,False,False,3,model_fold3_G,all_valid,,OOF_date_group_diagnostic,log1p_C,1.3862943611198906,1.3910770105865935,2.2873735921353783e-05
FREP-403859-Z,Babet,1,False,False,1,model_fold1_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,0.97099845136515,0.07720132868806717
FREP-403915-Z,Babet,1,False,False,1,model_fold1_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.0,1.7397654402594713,3.026783787121232
FREP-405304-Z,Ciaran,1,False,False,4,model_fold4_G,all_valid,,OOF_date_group_diagnostic,log1p_C,2.1972245773362196,1.4385981354462711,0.5755140783346033
FREP-46168-M,Ciaran,1,False,False,2,model_fold2_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,1.9659479501517685,1.6200217990735377
FREP-57127-C,Arwen,1,False,False,1,model_fold1_G,all_valid,,OOF_date_group_diagnostic,log1p_C,3.6109179126442243,0.998655412343205,6.823915370478934
FREP-60451-C,Dudley,1,False,False,3,model_fold3_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,1.343935202305314,0.42352504924725043
FREP-76926-V,Eunice,1,False,False,0,model_fold0_G,all_valid,,OOF_date_group_diagnostic,log1p_C,3.4339872044851463,4.114348152783878,0.4628910199699491
FREP-82606-C,Babet,1,False,False,1,model_fold1_G,all_valid,,OOF_date_group_diagnostic,log1p_C,3.8918202981106265,0.8457963655589773,9.278261797677414
FREP-83630-C,Ciaran,1,False,False,2,model_fold2_G,all_valid,,OOF_date_group_diagnostic,log1p_C,0.6931471805599453,1.8334242729605223,1.3002318474535144
FREP-87895-V,Ciaran,1,False,False,3,model_fold3_G,all_valid,,OOF_date_group_diagnostic,log1p_C,1.9459101490553132,1.822416759858047,0.015250617175427481
