Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-12471-O,0,2023-01-19,E09000010,0.0,2.2787783444738605,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-157466-Z,0,2021-12-19,E06000055,0.0,2.4199736405866292,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-164894-Z,0,2021-05-09,E07000098,0.0,1.8643536447379867,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-19197-U,0,2021-10-22,E09000021,2.995732273553991,1.7838497957284112,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-205270-J,0,2024-01-25,E09000005,0.0,1.1242422401068026,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-213716-J,0,2023-12-02,E09000026,0.0,2.4916777643391477,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-226846-Z,0,2021-04-24,E07000011,0.0,2.3754673492950102,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-232427-Z,0,2021-04-22,E06000060,0.6931471805599453,2.153210361998797,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-237941-Z,0,2021-06-02,E06000031,0.0,1.7200893837566804,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-239992-Z,0,2021-06-01,E07000241,0.6931471805599453,1.9886489282623119,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-246493-Z,0,2021-07-02,E07000066,0.6931471805599453,3.0108898036607985,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-249562-G,0,2021-04-22,E07000227,4.418840607796598,2.161939282032321,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-250419-G,0,2021-05-09,E07000110,7.038783541388542,1.7312943614970222,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-250745-G,0,2021-05-15,E07000208,5.062595033026967,2.434607808149188,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-253463-Z,0,2021-08-04,E07000102,0.6931471805599453,2.8815867343620254,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-255133-Z,0,2021-08-12,E07000096,0.6931471805599453,2.0297732034085727,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-255955-Z,0,2021-08-17,E07000070,6.652863029353347,1.7749528395510548,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-256351-G,0,2021-10-07,E07000217,0.6931471805599453,1.715439481965813,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-257464-G,0,2021-11-15,E07000107,3.5263605246161616,2.4163003002192074,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-258670-Z,0,2021-09-02,E09000014,2.772588722239781,1.5005389972657113,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-260356-G,0,2021-12-11,E07000223,3.044522437723423,2.297998757277522,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-261320-G,0,2021-12-22,E09000027,0.0,2.5228740823619216,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-261723-Z,0,2021-09-23,E06000055,3.091042453358316,2.080437487585915,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-262060-J,0,2021-04-22,E09000004,0.6931471805599453,2.2723380890158076,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-262732-G,0,2022-01-10,E07000212,0.6931471805599453,2.2882383752200606,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-263307-G,0,2022-01-15,E07000227,2.1972245773362196,2.5865916589431364,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-266908-G,0,2022-02-18,E07000108,4.709530201312334,3.163724080249445,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-267413-J,0,2021-07-02,E09000002,4.143134726391533,2.749017286730986,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-267894-J,0,2021-07-19,E09000025,0.0,2.6971040891188207,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
FREP-268286-Z,0,2021-11-04,E07000203,0.6931471805599453,1.5687921779460594,1.9726459891109593,OOF_date_group_diagnostic,log1p_C,R03_smoke_v3,non_inferential_smoke
