Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-12471-O,0,2023-01-19,E09000010,0.0,2.0295076834473136,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-157466-Z,0,2021-12-19,E06000055,0.0,1.8035857142422915,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-164894-Z,0,2021-05-09,E07000098,0.0,1.362169767740382,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-19197-U,0,2021-10-22,E09000021,3.2535992609265865,2.220472633594039,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-205270-J,0,2024-01-25,E09000005,0.0,1.7437547029145664,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-213716-J,0,2023-12-02,E09000026,0.0,2.1127472892302874,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-226846-Z,0,2021-04-24,E07000011,0.0,1.0165088983159394,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-232427-Z,0,2021-04-22,E06000060,1.1989602625023918,1.7249200698081122,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-237941-Z,0,2021-06-02,E06000031,0.0,1.5701982819273528,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-239992-Z,0,2021-06-01,E07000241,2.2353763433005955,1.9487937998075795,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-246493-Z,0,2021-07-02,E07000066,3.351072994479587,2.2710155963320338,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-249562-G,0,2021-04-22,E07000227,2.403937587254333,1.4905177211630662,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-250419-G,0,2021-05-09,E07000110,1.9266787871274256,0.2339585050924795,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-250745-G,0,2021-05-15,E07000208,1.377926111449374,1.932103086774783,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-253463-Z,0,2021-08-04,E07000102,2.5915163848462583,2.17661400558164,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-255133-Z,0,2021-08-12,E07000096,2.9652730660692823,2.0600788782823267,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-255955-Z,0,2021-08-17,E07000070,1.9694406464655074,0.6095312521852341,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-256351-G,0,2021-10-07,E07000217,3.1668805297498204,1.4660752383688882,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
FREP-257464-G,0,2021-11-15,E07000107,2.4709204078132605,1.7827305538026108,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v3,non_inferential_smoke
