stage_group,customer_bin,count,mean,median
1,"(-0.001, 1.0]",340,20.920343137254903,5.566666666666666
1,"(1.0, 2.0]",22,7.05,5.675000000000001
1,"(2.0, 30.25]",53,4.779245283018868,3.433333333333333
1,"(30.25, 3186.0]",24,2.220833333333333,1.1166666666666667
2,"(-0.001, 1.0]",14,49.94404761904762,21.275
2,"(1.0, 2.0]",21,16.674603174603174,16.35
2,"(2.0, 30.25]",35,15.612857142857145,9.516666666666667
2,"(30.25, 3186.0]",31,5.405376344086021,3.5
3-4,"(-0.001, 1.0]",3,2.4277777777777776,2.683333333333333
3-4,"(1.0, 2.0]",2,14.841666666666665,14.841666666666665
3-4,"(2.0, 30.25]",30,22.47888888888889,13.341666666666665
3-4,"(30.25, 3186.0]",48,5.7131944444444445,4.758333333333333
5+,"(-0.001, 1.0]",1,30.833333333333332,30.833333333333332
5+,"(1.0, 2.0]",1,1.3666666666666667,1.3666666666666667
5+,"(2.0, 30.25]",18,21.76574074074074,18.516666666666666
5+,"(30.25, 3186.0]",77,14.627056277056276,10.75
