LAD21CD,status,mean_eta,exp_mean_eta,mean_exp_eta,interpretation,regional_proxy_flag
E06000031,descriptive_common_calendar,1.6952567514912658,5.448044579227196,5.870532151718179,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000032,descriptive_common_calendar,1.701871564886007,5.484201832385704,5.910787411728703,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000033,descriptive_common_calendar,1.7834273555180524,5.950215012849883,6.4114259024867835,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000034,descriptive_common_calendar,1.8084063018676917,6.100716979332112,6.573701399875809,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000035,descriptive_common_calendar,1.710452834931321,5.531465751483547,5.96088079068922,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000043,descriptive_common_calendar,1.7363083126644734,5.6763493876621425,6.1162300615103256,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000055,descriptive_common_calendar,1.831238903940914,6.241614631392735,6.726423770708581,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000056,descriptive_common_calendar,1.850100158332087,6.360456543418529,6.854987420425224,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000060,descriptive_common_calendar,1.7168677382392425,5.567063625817423,5.998999900178989,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,True
E07000008,descriptive_common_calendar,1.9565794407480737,7.07508488083198,7.6226369381757415,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000009,descriptive_common_calendar,2.068497264990413,7.912923152192401,8.527641900520715,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000010,descriptive_common_calendar,1.9008161693098686,6.691353491583293,7.2095585651836,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000011,descriptive_common_calendar,1.957568062066151,7.082082919207365,7.6317873631790984,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000012,descriptive_common_calendar,1.993268302095592,7.339482250765059,7.90970936636778,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000061,descriptive_common_calendar,1.8756323529121433,6.524943883305905,7.030671616632266,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000062,descriptive_common_calendar,1.7683267017395257,5.861037887063769,6.314398883682662,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000063,descriptive_common_calendar,1.982211859064365,7.258780641863335,7.820973422663583,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000064,descriptive_common_calendar,2.019207636088756,7.53235420284146,8.115826166699767,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000065,descriptive_common_calendar,1.9879972538812953,7.300897266945228,7.866780073802232,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000066,descriptive_common_calendar,1.7911550911439398,5.9963748270931845,6.461269652764472,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000067,descriptive_common_calendar,1.9295291805722794,6.8862672897943344,7.421149167783113,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000068,descriptive_common_calendar,2.0873210745472384,8.063285264668158,8.688513235442063,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000069,descriptive_common_calendar,1.9975319869168757,7.370842297002432,7.941101731371965,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
