Incident Reference,run_id,purpose,input_version,window_list,window_count,was_in_this_fit,tail_excluded_from_fit,model_fold,fit_model_key,model_training_tail_policy,training_threshold_hours,prediction_source,target_scale,y,prediction_eta,squared_error_log
FREP-14132-W,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Franklin,1,False,False,3,model_fold3_GK,all_valid,,OOF_date_group_diagnostic,log_D,1.2335316065674804,2.46756248172846,1.5228322008505728
FREP-15108-O,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Ciaran,1,False,False,2,model_fold2_GK,all_valid,,OOF_date_group_diagnostic,log_D,0.0,1.0933166874856606,1.1953413791346177
FREP-258555-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,False,False,1,model_fold1_GK,all_valid,,OOF_date_group_diagnostic,log_D,2.0476928433652555,1.0033417088101664,1.0906692922465018
FREP-258615-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,False,False,1,model_fold1_GK,all_valid,,OOF_date_group_diagnostic,log_D,2.445241393395569,1.6350971726064762,0.6563336584779659
FREP-258735-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,False,False,2,model_fold2_GK,all_valid,,OOF_date_group_diagnostic,log_D,1.5686159179138452,2.6025470769776673,1.0690136416830585
FREP-258869-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,False,False,4,model_fold4_GK,all_valid,,OOF_date_group_diagnostic,log_D,3.1724827852984903,2.231194181555599,0.886024235536242
FREP-266908-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Eunice,1,False,False,0,model_fold0_GK,all_valid,,OOF_date_group_diagnostic,log_D,1.8794650496471605,2.02039091219527,0.01986009873492861
FREP-269982-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Franklin,1,False,False,4,model_fold4_GK,all_valid,,OOF_date_group_diagnostic,log_D,4.401011934584962,1.7544184094886575,7.004457287081683
FREP-271719-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,False,False,2,model_fold2_GK,all_valid,,OOF_date_group_diagnostic,log_D,1.442989704796436,1.4947041199062423,0.002674380730149367
FREP-271792-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,False,False,4,model_fold4_GK,all_valid,,OOF_date_group_diagnostic,log_D,2.8810693652338513,1.95488022693261,0.8578263199071958
FREP-286152-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Eunice,1,False,False,0,model_fold0_GK,all_valid,,OOF_date_group_diagnostic,log_D,2.5468376075184906,0.6826261511317906,3.475284354123421
FREP-286182-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Eunice,1,False,False,0,model_fold0_GK,all_valid,,OOF_date_group_diagnostic,log_D,1.3694872428035094,1.9767473065300063,0.3687647849971091
FREP-287202-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Franklin,1,False,False,3,model_fold3_GK,all_valid,,OOF_date_group_diagnostic,log_D,0.7339691750802005,2.0785370763237663,1.8078628410545268
FREP-290198-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Franklin,1,False,False,4,model_fold4_GK,all_valid,,OOF_date_group_diagnostic,log_D,2.8735646395797834,2.028996941148514,0.7132945972334915
FREP-337137-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,False,False,4,model_fold4_GK,all_valid,,OOF_date_group_diagnostic,log_D,2.8094026953624978,1.5782891373688777,1.5156405926757106
FREP-337209-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,False,False,4,model_fold4_GK,all_valid,,OOF_date_group_diagnostic,log_D,2.910537427490759,1.4671824179128214,2.083273683673728
FREP-402894-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,False,False,3,model_fold3_GK,all_valid,,OOF_date_group_diagnostic,log_D,-0.10536051565782628,2.052895810983243,4.658070371486203
FREP-403859-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,False,False,1,model_fold1_GK,all_valid,,OOF_date_group_diagnostic,log_D,1.4469189829363254,1.8854615295804082,0.1923195652170776
FREP-403915-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,False,False,1,model_fold1_GK,all_valid,,OOF_date_group_diagnostic,log_D,1.864080130807681,1.6795599344647667,0.034047702858427675
FREP-405304-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Ciaran,1,False,False,4,model_fold4_GK,all_valid,,OOF_date_group_diagnostic,log_D,3.5529642701341375,1.832405269196801,2.960323275706486
FREP-46168-M,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Ciaran,1,False,False,2,model_fold2_GK,all_valid,,OOF_date_group_diagnostic,log_D,2.775708849576025,1.574377351899669,1.4431973673093161
FREP-57127-C,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,False,False,1,model_fold1_GK,all_valid,,OOF_date_group_diagnostic,log_D,0.4054651081081644,1.9329933828120955,2.3333426300199687
