Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-10146-L,0,2022-03-10,E09000026,0.6931471805599453,1.7996987566572045,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10276-O,0,2022-05-06,E07000103,0.6931471805599453,2.1298263333318666,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10277-L,0,2022-06-06,E09000012,0.0,1.9265651695423365,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10284-O,0,2022-05-06,E07000103,0.6931471805599453,1.9859015930469608,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10311-O,0,2022-09-23,E07000067,0.0,2.317056922504804,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10339-L,0,2022-07-11,E09000019,0.0,2.164333602257259,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-103567-G,0,2024-01-30,E07000215,0.0,2.0374398011849126,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-104267-Z,0,2023-06-13,E07000095,1.9459101490553132,2.180878553858219,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10434-O,0,2022-05-23,E09000014,4.663439094112067,1.9529459477234836,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10461-L,0,2022-09-08,E09000007,0.0,1.9351598157704075,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10469-O,0,2022-05-27,E07000242,4.7535901911063645,1.9367605652930642,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10506-I,0,2024-02-28,E07000096,1.3862943611198906,2.2903415250234316,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10510-L,0,2022-09-05,E09000032,0.0,1.9066345542073184,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-105469-Z,0,2023-02-07,E06000055,0.6931471805599453,2.0243625083546974,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10602-L,0,2022-11-28,E09000019,0.0,2.1864043105917577,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10626-L,0,2022-10-19,E07000072,3.6375861597263857,1.8228519814552913,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-106320-G,0,2022-05-23,E07000114,0.0,1.9928593443872347,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10744-L,0,2022-12-14,E09000023,0.0,1.83959580760392,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10763-L,0,2023-01-26,E09000012,0.0,1.4746567016328138,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10782-L,0,2023-01-08,E09000023,3.5553480614894135,1.854781911301861,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10786-L,0,2023-01-10,E09000033,7.238496840894365,1.8413712694295425,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10789-L,0,2023-01-10,E09000005,4.795790545596741,1.9007469658666247,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10805-L,0,2023-01-23,E07000107,0.0,2.2141907314075433,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10807-L,0,2023-01-23,E09000019,4.634728988229636,1.809750326767115,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10835-L,0,2023-02-28,E09000025,0.0,1.6101641023352207,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10847-L,0,2023-02-17,E09000033,0.0,1.74750345722542,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10895-O,0,2022-10-21,E07000071,0.0,2.2094480283133335,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1095018-A,0,2022-05-25,E07000098,0.0,2.0839056171756605,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1095260-A,0,2022-05-24,E07000240,0.0,2.11414757428771,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11041-L,0,2023-05-11,E09000028,0.0,2.0037757284730002,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11042-L,0,2023-05-11,E09000019,0.0,1.818679427878035,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11043-L,0,2023-05-11,E09000001,1.0986122886681098,2.4878121818344248,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11044-L,0,2023-05-11,E09000030,8.577911926450943,1.8679628090070566,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11045-O,0,2022-07-24,E09000003,0.0,2.166176272566349,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11066-L,0,2023-05-15,E09000019,1.0986122886681098,1.5704315971062914,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11122-O,0,2022-12-13,E09000031,0.0,1.977663880888776,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11287-O,0,2022-09-13,E07000102,0.0,2.3083596841790555,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11314-L,0,2023-11-20,E09000011,0.0,1.924519942638876,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11355-O,0,2022-08-13,E07000202,3.091042453358316,2.1726616437210313,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11358-O,0,2022-08-13,E07000103,2.0794415416798357,2.2480345880020125,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
