Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-10146-L,0,2022-03-10,E09000026,0.6931471805599453,1.8994065510450022,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10276-O,0,2022-05-06,E07000103,0.6931471805599453,1.9891239893474713,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10277-L,0,2022-06-06,E09000012,0.0,1.99066871744189,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10284-O,0,2022-05-06,E07000103,0.6931471805599453,1.997382435838143,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10311-O,0,2022-09-23,E07000067,0.0,2.300867281865379,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10339-L,0,2022-07-11,E09000019,0.0,2.0168597103295425,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-103567-G,0,2024-01-30,E07000215,0.0,1.992865979964883,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-104267-Z,0,2023-06-13,E07000095,1.9459101490553132,2.266518331899361,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10434-O,0,2022-05-23,E09000014,4.663439094112067,1.9339111011287544,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10461-L,0,2022-09-08,E09000007,0.0,2.112519280359803,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10469-O,0,2022-05-27,E07000242,4.7535901911063645,2.0481831788581175,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10506-I,0,2024-02-28,E07000096,1.3862943611198906,1.9501847100092857,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10510-L,0,2022-09-05,E09000032,0.0,2.038071618243887,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-105469-Z,0,2023-02-07,E06000055,0.6931471805599453,1.7555682028064852,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10602-L,0,2022-11-28,E09000019,0.0,1.7535372314028606,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10626-L,0,2022-10-19,E07000072,3.6375861597263857,1.8785022098310795,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-106320-G,0,2022-05-23,E07000114,0.0,1.9266942516256256,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10744-L,0,2022-12-14,E09000023,0.0,1.9213962756724812,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10763-L,0,2023-01-26,E09000012,0.0,1.6330812019391039,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10782-L,0,2023-01-08,E09000023,3.5553480614894135,2.0658604683056514,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10786-L,0,2023-01-10,E09000033,7.238496840894365,1.9787250967598484,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10789-L,0,2023-01-10,E09000005,4.795790545596741,2.0172298228280505,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10805-L,0,2023-01-23,E07000107,0.0,1.901898989897076,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10807-L,0,2023-01-23,E09000019,4.634728988229636,1.5893242055822394,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10835-L,0,2023-02-28,E09000025,0.0,1.5533232452830912,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10847-L,0,2023-02-17,E09000033,0.0,1.8709688588100621,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10895-O,0,2022-10-21,E07000071,0.0,2.1975865230874074,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1095018-A,0,2022-05-25,E07000098,0.0,2.1622644537655735,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1095260-A,0,2022-05-24,E07000240,0.0,2.2507947970523636,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11041-L,0,2023-05-11,E09000028,0.0,1.78361669530817,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11042-L,0,2023-05-11,E09000019,0.0,1.794840803723142,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11043-L,0,2023-05-11,E09000001,1.0986122886681098,2.428106003985104,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11044-L,0,2023-05-11,E09000030,8.577911926450943,1.5957718148417555,2.1219985641361743,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
