Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-10052-L,0,2022-05-08,E09000025,0.0,1.4357935074544517,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-100701-Z,0,2022-11-29,E07000147,0.0,1.5331753743825642,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10109-O,0,2023-05-04,E07000242,0.0,1.3437380691231358,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-101236-Z,0,2021-04-12,E09000003,-0.2025242641114741,1.713132348604933,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10188-O,0,2022-04-27,E07000071,0.0,1.5727386795026004,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10255-L,0,2022-05-17,E09000013,0.0,1.3550248098324118,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10286-L,0,2022-05-21,E09000026,0.0,1.6276577394408955,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-103567-G,0,2024-01-30,E07000215,0.0,1.3497473525528694,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10394-L,0,2023-09-21,E09000033,0.0,1.8453707830506139,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10399-L,0,2022-08-11,E09000033,0.0,1.4510871732220612,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10434-O,0,2022-05-23,E09000014,2.0918640616783932,1.7281785303881538,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10451-L,0,2023-04-01,E09000024,0.0,1.568944478684414,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10496-I,0,2023-09-12,E07000202,0.5784842722398056,1.492783802773778,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10501-I,0,2023-12-12,E07000076,-1.791759469228055,1.5547492383695334,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10508-I,0,2023-05-18,E06000056,-2.4849066497880004,1.1399776627816534,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10569-O,0,2022-06-09,E07000073,2.075266170269355,1.8224702311224463,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10571-O,0,2022-06-09,E07000012,2.445241393395569,1.6200211919066696,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-106320-G,0,2022-05-23,E07000114,0.0,1.6459521009820295,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10721-L,0,2023-05-05,E09000012,0.0,1.355183092374371,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10768-O,0,2022-06-27,E09000003,-2.70805020110221,1.7367775651757988,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10793-O,0,2023-02-13,E07000071,0.0,1.7693601747724086,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10797-L,0,2023-01-17,E09000021,1.3523928094442093,1.850342626305936,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10835-L,0,2023-02-28,E09000025,0.0,1.8293453057879254,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1091781-A,0,2022-05-11,E06000056,0.08004270767353636,1.409894823127346,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10961-L,0,2023-06-15,E09000007,0.0,1.443309400880272,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11013-L,0,2023-05-05,E09000023,0.0,1.3756894047586798,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11043-O,0,2022-07-20,E09000005,4.54258531079647,1.6309772526844317,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11048-O,0,2022-07-20,E07000098,1.3694872428035094,1.4829046250049898,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11057-L,0,2023-05-14,E09000023,-2.3025850929940455,1.4721248847285544,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11058-L,0,2023-05-14,E07000107,-0.7621400520468967,1.3318905420102187,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11163-O,0,2022-08-10,E06000055,0.0,1.457196288944617,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-112167-Z,0,2021-09-14,E07000147,1.4701758451005926,1.608870896112181,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11243-L,0,2023-11-13,E09000023,0.0,1.6977772896608887,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11314-L,0,2023-11-20,E09000011,0.0,1.6910793859604738,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1146613-A,0,2022-11-04,E09000014,0.0,1.79947903110642,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11756-O,0,2023-06-12,E09000016,0.0,1.469294109762421,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11763-O,0,2022-11-02,E07000145,0.0,1.6737774942662869,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11790-O,0,2022-11-04,E06000034,0.0,1.676491955114385,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11831-O,0,2022-11-23,E07000069,0.0,1.8500685835885575,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11865-O,0,2022-11-29,E06000033,0.0,1.6838425639584162,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11911-O,0,2023-03-23,E06000056,0.0,1.420673167467895,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11981-O,0,2022-11-02,E06000060,1.7972996496036704,1.7766623456666366,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12216-O,0,2022-12-22,E07000076,0.0,1.6623462286529376,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12232-O,0,2022-11-23,E07000099,0.0,1.8170285602769385,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12245-O,0,2022-12-30,E07000102,0.0,1.7449325670230855,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12268-O,0,2022-12-30,E07000179,0.0,1.5631991006837906,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12441-O,0,2023-01-17,E09000015,0.0,1.8670719393270878,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12457-O,0,2023-01-27,E09000003,0.0,1.5640764906430964,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12524-O,0,2023-03-23,E07000103,0.0,1.4924963533812678,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12546-O,0,2023-03-18,E09000015,0.0,1.5744548212552083,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12635-O,0,2022-12-22,E07000241,0.0,1.7630610908935684,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12649-O,0,2023-04-08,E09000017,0.0,1.583982249359906,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12663-O,0,2023-02-06,E09000015,0.0,1.7410817353673662,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12836-O,0,2023-02-23,E07000070,0.0,1.7985004198320949,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12848-O,0,2023-01-21,E07000149,2.4350742760401247,1.4331949341851715,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12873-O,0,2023-03-02,E07000069,0.0,1.4703769593989726,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
