Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-10052-L,0,2022-05-08,E09000025,0.0,1.0346026586940034,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-100701-Z,0,2022-11-29,E07000147,0.0,1.1376647682211727,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10109-O,0,2023-05-04,E07000242,0.0,0.9560423047710388,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-101236-Z,0,2021-04-12,E09000003,-0.2025242641114741,1.810269987517859,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10188-O,0,2022-04-27,E07000071,0.0,1.157042252150429,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10255-L,0,2022-05-17,E09000013,0.0,0.9769380369134933,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10286-L,0,2022-05-21,E09000026,0.0,1.2054948453130176,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-103567-G,0,2024-01-30,E07000215,0.0,0.9534584986116742,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10394-L,0,2023-09-21,E09000033,0.0,1.3695345688162548,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10399-L,0,2022-08-11,E09000033,0.0,1.08128083623994,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10434-O,0,2022-05-23,E09000014,2.0918640616783932,1.9260955305935221,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10451-L,0,2023-04-01,E09000024,0.0,1.1612189291296366,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10496-I,0,2023-09-12,E07000202,0.5784842722398056,1.7914147144337782,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10501-I,0,2023-12-12,E07000076,-1.791759469228055,1.4895251666971816,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10508-I,0,2023-05-18,E06000056,-2.4849066497880004,1.5444897349695368,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10569-O,0,2022-06-09,E07000073,2.075266170269355,2.2757792260299747,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10571-O,0,2022-06-09,E07000012,2.445241393395569,1.9812862876128405,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-106320-G,0,2022-05-23,E07000114,0.0,1.2276458618894908,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10721-L,0,2023-05-05,E09000012,0.0,0.9563240723962773,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10768-O,0,2022-06-27,E09000003,-2.70805020110221,2.1781261385024293,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10793-O,0,2023-02-13,E07000071,0.0,1.3718408128950235,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10797-L,0,2023-01-17,E09000021,1.3523928094442093,1.3730314810362887,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10835-L,0,2023-02-28,E09000025,0.0,1.4104087907302558,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1091781-A,0,2022-05-11,E06000056,0.08004270767353636,1.3698787358307356,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10961-L,0,2023-06-15,E09000007,0.0,1.0789968828958343,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
