Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-12713-O,0,2023-01-08,E07000242,2.4849066497880004,3.0942308191111616,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13466-W,0,2021-08-10,E07000217,5.472270673671475,3.4470968791619794,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14080-W,0,2022-02-18,E07000116,0.6931471805599453,4.821997610943722,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14081-W,0,2022-02-18,E07000064,3.1354942159291497,4.124120033246503,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14082-W,0,2022-02-18,E06000035,4.430816798843313,4.547109029333187,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14088-W,0,2022-02-18,E07000215,4.564348191467836,4.052201788457556,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14089-W,0,2022-02-18,E07000228,7.793586803371584,3.797465503470836,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14095-W,0,2022-02-18,E07000106,6.289715570908998,3.7752781587695594,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14097-W,0,2022-02-18,E07000063,6.802394763324311,4.022599355040703,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14098-W,0,2022-02-18,E07000217,5.356586274672012,3.8984843955254957,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14100-W,0,2022-02-18,E07000116,4.6913478822291435,2.82281128925076,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14105-W,0,2022-02-18,E07000065,6.92461239604856,3.186725195339972,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14111-W,0,2022-02-18,E07000226,6.240275845170769,2.9994935157145766,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14113-W,0,2022-02-18,E07000107,3.4657359027997265,4.704726395125846,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14122-W,0,2022-02-18,E07000210,2.6390573296152584,3.2465928944520743,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14123-W,0,2022-02-18,E07000226,2.9444389791664403,2.9994935157145766,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14129-W,0,2022-02-18,E06000035,3.1780538303479458,2.594202934406285,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14142-W,0,2022-02-18,E07000228,0.0,2.5882196214742272,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14167-W,0,2022-02-18,E07000108,2.4849066497880004,4.092076758290781,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14171-W,0,2022-02-18,E07000065,0.0,3.614728830450428,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14191-W,0,2022-02-18,E07000115,2.772588722239781,3.412786989810775,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14269-W,0,2022-02-18,E07000064,0.6931471805599453,4.757714383448774,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14324-W,0,2022-02-18,E07000064,0.0,4.512721599566563,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14325-W,0,2022-02-18,E07000064,0.0,4.512721599566563,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14345-W,0,2022-02-18,E07000110,6.976348070447749,4.47696984198392,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14347-W,0,2022-02-18,E07000116,7.475339236566737,3.5007417080818244,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14715-W,0,2022-10-20,E07000106,3.295836866004329,3.179087092509782,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-15384-O,0,2023-09-21,E07000200,0.6931471805599453,3.1092743746557465,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-15491-W,0,2023-04-11,E07000227,3.5553480614894135,2.8600958024635657,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-17765-U,0,2021-06-18,E07000227,3.713572066704308,3.4380157768746265,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-17823-U,0,2021-06-25,E07000116,1.0986122886681098,3.5572667151531405,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-17928-U,0,2021-07-04,E07000212,3.912023005428146,3.6381873722539435,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-18322-U,0,2021-08-06,E07000063,0.6931471805599453,3.6497509437239577,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-18401-U,0,2021-08-14,E07000227,0.6931471805599453,3.576123488976628,3.324362702416561,OOF_date_group_diagnostic,log1p_C,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
