Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-11803-O,0,2022-10-18,E07000144,1.1151415906193203,1.026734259568772,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11981-O,0,2022-11-02,E06000060,1.7972996496036704,1.2464736267311336,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12713-O,0,2023-01-08,E07000242,2.142025027981604,1.975178361413889,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13163-W,0,2021-05-20,E07000115,1.2622417124499117,1.3557052044176325,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13646-W,0,2021-09-08,E07000063,2.3702437414678603,0.9952225808413228,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14081-W,0,2022-02-18,E07000064,4.857613606347163,2.707956202556579,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14082-W,0,2022-02-18,E06000035,3.022860940942244,2.547618040413805,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14088-W,0,2022-02-18,E07000215,3.849792928892012,2.5208988675624466,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14089-W,0,2022-02-18,E07000228,4.348556024612281,1.9311451124949177,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14095-W,0,2022-02-18,E07000106,0.08004270767353636,2.202069753745837,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14097-W,0,2022-02-18,E07000063,-0.10536051565782628,2.1061990024506696,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
