Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-11803-O,0,2022-10-18,E07000144,1.1151415906193203,0.9105582794514727,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11981-O,0,2022-11-02,E06000060,1.7972996496036704,1.1141302300770435,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12713-O,0,2023-01-08,E07000242,2.142025027981604,1.8346511412864712,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13163-W,0,2021-05-20,E07000115,1.2622417124499117,1.2318197850530612,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13646-W,0,2021-09-08,E07000063,2.3702437414678603,1.1157763464375878,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14081-W,0,2022-02-18,E07000064,4.857613606347163,2.6338059213924474,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14082-W,0,2022-02-18,E06000035,3.022860940942244,2.577246184507781,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14088-W,0,2022-02-18,E07000215,3.849792928892012,2.5560554573750895,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14089-W,0,2022-02-18,E07000228,4.348556024612281,2.509953036791379,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14095-W,0,2022-02-18,E07000106,0.08004270767353636,2.4912987551575254,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14097-W,0,2022-02-18,E07000063,-0.10536051565782628,2.4735371744249512,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14098-W,0,2022-02-18,E07000217,3.8344217594045946,2.689062439008157,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14100-W,0,2022-02-18,E07000116,4.276203048852652,2.4905214887528233,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14105-W,0,2022-02-18,E07000065,1.6550484236861527,2.5160323569957352,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14111-W,0,2022-02-18,E07000226,-2.0149030205422647,2.4758302131970114,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14113-W,0,2022-02-18,E07000107,4.865095581394829,2.6359246492376727,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14122-W,0,2022-02-18,E07000210,4.550361949493096,2.603115611672181,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14123-W,0,2022-02-18,E07000226,3.3661457436032367,2.4758302131970114,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14129-W,0,2022-02-18,E06000035,4.4955413145875776,2.4205999328063523,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14142-W,0,2022-02-18,E07000228,-1.791759469228055,2.431848252621057,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14167-W,0,2022-02-18,E07000108,4.8645813764728425,2.610372585192869,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14171-W,0,2022-02-18,E07000065,-1.791759469228055,2.608403991474762,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14191-W,0,2022-02-18,E07000115,3.9354139582187218,2.6195585788125895,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14324-W,0,2022-02-18,E07000064,-1.791759469228055,2.6789531968789513,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14345-W,0,2022-02-18,E07000110,3.8264651170664994,2.623389367909753,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14347-W,0,2022-02-18,E07000116,4.722656881443759,2.6261683366618804,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-14964-W,0,2022-11-23,E07000108,2.5585184671312464,1.558214643475527,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-15384-O,0,2023-09-21,E07000200,2.483516795498946,1.5976428093519992,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-15937-O,0,2023-11-14,E07000096,1.7578579175523736,1.101154339830391,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-17473-U,0,2021-04-09,E06000043,1.9266787871274256,1.1119195377422688,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-17928-U,0,2021-07-04,E07000212,1.454731522673119,1.2069259197222595,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-18299-U,0,2021-08-01,E07000106,2.9400433676934026,1.3157370108999604,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-18322-U,0,2021-08-06,E07000063,0.7576857016975165,1.2907343105374778,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-18425-U,0,2021-08-18,E07000209,2.2512917986064953,1.113198375289239,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-18724-U,0,2021-09-09,E07000110,0.4906229164484712,1.2304414085656612,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-19670-U,0,2022-02-18,E07000108,3.3032169733019514,2.6161077475721175,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-19706-U,0,2022-02-18,E07000065,4.250873364454327,2.6265346937734337,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-20005-U,0,2022-02-18,E07000216,-1.791759469228055,2.6566158137491955,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-21665-U,0,2023-05-26,E07000115,0.2097205309820691,0.8682432910197113,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-21842-U,0,2023-07-14,E07000110,1.55814461804655,1.314592326751169,1.476267945567207,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
