Incident Reference,source_row_used,earliest_source_row,time_used,earliest_recorded_start,lag_hours,hour_diff,date_diff,gust_0h_used,gust_0h_earliest,gust_0h_delta,precipitation_24h_sum_used,precipitation_24h_sum_earliest,precipitation_24h_sum_delta,temperature_0h_used,temperature_0h_earliest,temperature_0h_delta,pressure_msl_0h_used,pressure_msl_0h_earliest,pressure_msl_0h_delta,earliest_weather_status,coordinate_diff,lad_diff,current_date,temporal_partition_change
FREP-231661-Z,1,1,2021-04-17 09:32:00+00:00,2021-04-17 09:32:00+00:00,0.0,False,False,7.800000190734863,7.800000190734863,0.0,0.0,0.0,0.0,7.550000190734863,7.550000190734863,0.0,1030.699951171875,1030.699951171875,0.0,matched,False,False,2021-04-17,False
FREP-232147-Z,4,4,2021-04-20 10:43:00+00:00,2021-04-20 10:43:00+00:00,0.0,False,False,5.599999904632568,5.599999904632568,0.0,0.0,0.0,0.0,11.5,11.5,0.0,1018.7999877929688,1018.7999877929688,0.0,matched,False,False,2021-04-20,False
FREP-231824-Z,6,6,2021-04-19 06:19:00+00:00,2021-04-19 06:19:00+00:00,0.0,False,False,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1022.9000244140624,1022.9000244140624,0.0,matched,False,False,2021-04-19,False
FREP-231819-Z,7,7,2021-04-19 05:37:00+00:00,2021-04-19 05:37:00+00:00,0.0,False,False,2.5,2.5,0.0,0.0,0.0,0.0,1.600000023841858,1.600000023841858,0.0,1023.0999755859376,1023.0999755859376,0.0,matched,False,False,2021-04-19,False
FREP-233329-Z,8,119392,2021-04-27 01:44:00+00:00,2021-04-26 23:45:00+00:00,1.9833333333333334,True,True,3.5,4.300000190734863,-0.8000001907348633,0.0,0.0,0.0,1.75,2.400000095367432,-0.6500000953674321,1014.7999877929688,1016.7000122070312,-1.9000244140625,matched,False,False,2021-04-27,False
FREP-233091-Z,9,48838,2021-04-26 10:35:00+00:00,2021-04-25 18:22:00+00:00,16.216666666666665,True,True,10.199999809265137,12.199999809265137,-2.0,0.0,0.0,0.0,8.550000190734863,10.050000190734863,-1.5,1023.2000122070312,1026.4000244140625,-3.20001220703125,matched,False,False,2021-04-26,False
FREP-232573-Z,13,13,2021-04-22 05:47:00+00:00,2021-04-22 05:47:00+00:00,0.0,False,False,3.700000047683716,3.700000047683716,0.0,0.0,0.0,0.0,0.4000000059604645,0.4000000059604645,0.0,1027.300048828125,1027.300048828125,0.0,matched,False,False,2021-04-22,False
FREP-232741-Z,20,20,2021-04-22 20:19:00+00:00,2021-04-22 20:19:00+00:00,0.0,False,False,3.900000095367432,3.900000095367432,0.0,0.0,0.0,0.0,7.650000095367432,7.650000095367432,0.0,1028.4000244140625,1028.4000244140625,0.0,matched,False,False,2021-04-22,False
FREP-233497-Z,22,22,2021-04-27 15:30:00+00:00,2021-04-27 15:30:00+00:00,0.0,False,False,5.800000190734863,5.800000190734863,0.0,0.7000000476837158,0.7000000476837158,0.0,11.75,11.75,0.0,1008.4000244140624,1008.4000244140624,0.0,matched,False,False,2021-04-27,False
FREP-233103-Z,23,23,2021-04-25 21:02:00+00:00,2021-04-25 21:02:00+00:00,0.0,False,False,8.899999618530273,8.899999618530273,0.0,0.0,0.0,0.0,4.699999809265137,4.699999809265137,0.0,1028.199951171875,1028.199951171875,0.0,matched,False,False,2021-04-25,False
FREP-234395-Z,27,27,2021-05-02 17:09:00+00:00,2021-05-02 17:09:00+00:00,0.0,False,False,6.800000190734863,6.800000190734863,0.0,0.9000000357627869,0.9000000357627869,0.0,12.550000190734863,12.550000190734863,0.0,1019.2000122070312,1019.2000122070312,0.0,matched,False,False,2021-05-02,False
FREP-234031-Z,29,29,2021-04-30 00:17:00+00:00,2021-04-30 00:17:00+00:00,0.0,False,False,3.5999999046325684,3.5999999046325684,0.0,0.1000000014901161,0.1000000014901161,0.0,3.950000047683716,3.950000047683716,0.0,1015.0,1015.0,0.0,matched,False,False,2021-04-30,False
FREP-234409-Z,32,207350,2021-05-02 22:39:00+00:00,2021-05-02 18:38:00+00:00,4.016666666666667,True,False,2.5,6.099999904632568,-3.5999999046325684,0.5,0.5,0.0,7.5,12.199999809265137,-4.699999809265137,1019.5,1018.5999755859376,0.9000244140623863,matched,False,False,2021-05-02,False
FREP-75674-V,36,37,2021-12-12 09:26:00+00:00,2021-12-12 07:02:00+00:00,2.4,True,False,10.100000381469728,9.800000190734863,0.30000019073486506,5.099999904632568,4.5,0.5999999046325684,11.600000381469728,11.399999618530272,0.20000076293945668,1019.7000122070312,1018.5,1.20001220703125,matched,False,False,2021-12-12,False
FREP-75456-C,41,41,2023-06-03 16:21:00+00:00,2023-06-03 16:21:00+00:00,0.0,False,False,9.600000381469728,9.600000381469728,0.0,0.0,0.0,0.0,20.25,20.25,0.0,1022.5,1022.5,0.0,matched,False,False,2023-06-03,False
FREP-75682-C,47,47,2023-06-10 13:30:00+00:00,2023-06-10 13:30:00+00:00,0.0,False,False,9.5,9.5,0.0,0.0,0.0,0.0,28.39999961853028,28.39999961853028,0.0,1012.5999755859376,1012.5999755859376,0.0,matched,False,False,2023-06-10,False
