Incident Reference,incident_date_utc,cause_group_official,customers_v2_event_excl_reinterruptions,duration_B_full_span_hours
FREP-14123-W,2022-02-19,weather_natural,18.0,28.966666666666665
FREP-14126-W,2022-02-20,weather_natural,7.0,56.1
FREP-13494-W,2021-08-17,weather_natural,423.0,5.45
FREP-13646-W,2021-09-08,weather_natural,181.0,10.7
FREP-14105-W,2022-02-18,weather_natural,1016.0,5.233333333333333
FREP-75759-C,2023-06-12,weather_natural,86.0,4.633333333333334
FREP-14172-W,2022-02-20,weather_natural,419.0,97.63333333333334
FREP-14081-W,2022-02-18,weather_natural,22.0,128.71666666666667
FREP-14113-W,2022-02-18,weather_natural,31.0,129.68333333333334
FREP-14345-W,2022-02-18,weather_natural,1070.0,45.9
FREP-14347-W,2022-02-18,weather_natural,1763.0,112.46666666666668
FREP-240399-Z,2021-06-02,weather_natural,27.0,0.5166666666666667
FREP-14185-W,2022-02-20,weather_natural,528.0,27.4
FREP-14200-W,2022-02-19,weather_natural,33.0,34.38333333333333
FREP-14479-W,2022-07-19,weather_natural,3115.0,1.1333333333333333
FREP-240866-Z,2021-06-04,weather_natural,194.0,28.98333333333333
FREP-240844-Z,2021-06-04,weather_natural,18.0,5.383333333333334
FREP-15659-W,2023-06-21,weather_natural,78.0,0.3
FREP-15801-W,2023-07-15,weather_natural,266.0,16.5
FREP-15804-W,2023-07-15,weather_natural,536.0,19.15
FREP-242561-Z,2021-06-14,weather_natural,244.0,5.566666666666666
FREP-18299-U,2021-08-02,weather_natural,38.0,18.916666666666668
FREP-241622-Z,2021-06-09,weather_natural,1.0,8.133333333333333
FREP-243440-Z,2021-06-18,weather_natural,19.0,0.8333333333333334
FREP-243102-Z,2021-06-17,weather_natural,3.0,3.866666666666666
FREP-19316-U,2021-11-04,weather_natural,542.0,6.283333333333333
FREP-242987-Z,2021-06-16,weather_natural,270.0,3.566666666666667
FREP-243342-Z,2021-06-18,weather_natural,182.0,2.716666666666667
FREP-243337-Z,2021-06-18,weather_natural,225.0,2.2
FREP-243573-Z,2021-06-18,weather_natural,258.0,5.75
FREP-243957-Z,2021-06-20,weather_natural,215.0,2.2
FREP-19669-U,2022-02-19,weather_natural,10.0,90.48333333333332
FREP-19686-U,2022-02-23,weather_natural,165.0,105.2
FREP-19717-U,2022-02-20,weather_natural,483.0,0.25
FREP-19718-U,2022-02-20,weather_natural,81.0,46.25
FREP-19774-U,2022-02-23,weather_natural,11.0,30.416666666666668
FREP-19959-U,2022-03-22,weather_natural,160.0,5.65
