Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose,cubic_eta
FREP-10004-I,3,2024-03-30,E07000145,0.6931471805599453,1.7990509939766817,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7537073303858235
FREP-10004-L,0,2022-01-17,E09000022,0.6931471805599453,1.9595380601239247,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9754194530499665
FREP-10008-I,3,2024-03-30,E07000068,0.6931471805599453,2.1788588084504106,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1415623994324298
FREP-10011-I,3,2024-03-30,E07000069,1.0986122886681098,2.0288863923402403,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9648677677896544
FREP-10019-I,3,2024-03-30,E06000034,3.9512437185814275,1.944438965607925,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9521057240605257
FREP-10020-I,3,2024-03-30,E07000069,0.6931471805599453,2.0544495037796415,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.0234832312022717
FREP-10022-I,3,2024-03-30,E09000003,0.6931471805599453,1.931246626045402,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9453099127731595
FREP-10023-I,3,2024-03-30,E07000068,0.6931471805599453,2.287151165521901,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.4118264335938333
FREP-10031-L,0,2022-02-12,E09000030,0.0,1.6262123296520428,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6315345432140134
FREP-10032-I,3,2024-03-30,E06000033,1.6094379124341003,1.9388685421987333,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9849335143557862
