version,group,target,gust_from_control,customers_from_control,gust_given_customers,customers_given_gust
B1,main,E0,0.0124643650233775,,,
B1,main,R0c,0.0091089617314347,0.0591024258710363,0.0114212014038782,0.061414665543479796
B1,weather,E0,0.0038224634294110015,,,
B1,weather,R0c,0.030299168216212202,0.009573948971474594,0.0357970396879414,0.015071820443203793
H0,main,E0,0.010745973434935302,,,
H0,main,R0c,0.006197517088624701,0.07731580142804151,0.007549044098851487,0.07866732843826829
H0,weather,E0,-0.0014784876233501984,,,
H0,weather,R0c,0.014313443312332086,0.010020448547173905,0.017110118451124395,0.012817123685966214
R1,main,E0,0.012388874706238999,,,
R1,main,R0c,0.0099110663446732,0.07621265412268,0.011734487817025602,0.0780360755950324
R1,weather,E0,0.004539023454389099,,,
R1,weather,R0c,0.0276255831738286,0.008333732219585915,0.0325182018572126,0.013226350902969919
