version,group,target,block,n,pooled_R2,mean_fold_R2,SSE,SST,scale
R1,main,E0,control,60436,0.017070954877684508,0.016461057454707228,242140.60172294482,246345.96253365662,log1p_C
R1,main,E0,G,60436,0.02945982958392357,0.028730666433238385,239088.65245872748,246345.96253365662,log1p_C
R1,main,R0c,control,59832,0.025546222974704658,0.022096779882042217,106116.96660581938,108898.92276857042,log_D
R1,main,R0c,G,59832,0.03545728931937786,0.03146112775957466,105037.66215739664,108898.92276857042,log_D
R1,main,R0c,K,59832,0.10175887709738463,0.09913710754106515,97817.49067052589,108898.92276857042,log_D
R1,main,R0c,GK,59832,0.1134933649144102,0.11014687769082013,96539.6175880109,108898.92276857042,log_D
R1,weather,E0,control,9857,0.01906834618185016,0.018084878296024832,47552.20581773418,48476.57391077488,log1p_C
R1,weather,E0,G,9857,0.023607369636239217,0.023092434082993198,47332.16951176475,48476.57391077488,log1p_C
R1,weather,R0c,control,9758,0.18373577793951812,0.12187176304724043,17710.967459752974,21697.591271421257,log_D
R1,weather,R0c,G,9758,0.2113613611133467,0.14890401491338062,17111.55884741259,21697.591271421257,log_D
R1,weather,R0c,K,9758,0.192069510159104,0.1310093178987473,17530.145544286926,21697.591271421257,log_D
R1,weather,R0c,GK,9758,0.22458771201631667,0.16269971992769364,16824.578891507554,21697.591271421257,log_D
