group,target,variable,n,mean,median,p1,p99,max,missing_first_stage_n,missing_first_stage_pct
main,E0,customers_v2_event_excl_reinterruptions,60436,93.02572969753128,2.0,0.0,1515.0,27013.0,8817,14.588986696670858
main,E0,duration_B_full_span_hours,60436,17.460139100315487,6.366666666666666,0.16666666666666666,191.70916666666685,5547.05,8817,14.588986696670858
main,E0,gust_0h,60436,9.91022238832415,9.0,2.200000047683716,27.5,39.400001525878906,8817,14.588986696670858
main,E0,stage_row_count,60436,2.195843536964723,1.0,1.0,11.0,84.0,8817,14.588986696670858
main,R0c,customers_v2_event_excl_reinterruptions,60436,93.02572969753128,2.0,0.0,1515.0,27013.0,8817,14.588986696670858
main,R0c,duration_B_full_span_hours,60436,17.460139100315487,6.366666666666666,0.16666666666666666,191.70916666666685,5547.05,8817,14.588986696670858
main,R0c,gust_0h,60436,9.91022238832415,9.0,2.200000047683716,27.5,39.400001525878906,8817,14.588986696670858
main,R0c,stage_row_count,60436,2.195843536964723,1.0,1.0,11.0,84.0,8817,14.588986696670858
weather,E0,customers_v2_event_excl_reinterruptions,9857,191.96124581515673,27.0,0.0,1907.3200000000015,22130.0,2593,26.306178350410875
weather,E0,duration_B_full_span_hours,9857,18.238226640965813,4.966666666666667,0.11666666666666667,142.84466666666685,4558.75,2593,26.306178350410875
weather,E0,gust_0h,9857,14.386994021622419,13.300000190734863,2.799999952316284,33.099998474121094,39.400001525878906,2593,26.306178350410875
weather,E0,stage_row_count,9857,2.3082073653241353,1.0,1.0,10.0,35.0,2593,26.306178350410875
weather,R0c,customers_v2_event_excl_reinterruptions,9857,191.96124581515673,27.0,0.0,1907.3200000000015,22130.0,2593,26.306178350410875
weather,R0c,duration_B_full_span_hours,9857,18.238226640965813,4.966666666666667,0.11666666666666667,142.84466666666685,4558.75,2593,26.306178350410875
weather,R0c,gust_0h,9857,14.386994021622419,13.300000190734863,2.799999952316284,33.099998474121094,39.400001525878906,2593,26.306178350410875
weather,R0c,stage_row_count,9857,2.3082073653241353,1.0,1.0,10.0,35.0,2593,26.306178350410875
