group,target,block,n,SSE,SST,r2,status,weights,SST_center,mean_fold_R2,pooled_R2,evaluation_identity,all_test_tails_retained
main,E0,control,60436,242119.3825595197,246345.96253365662,0.01715709050258729,passed,event_equal,evaluation_target_mean,0.016332042813849944,0.01715709050258729,079106d9eb0dee5b59d28aa29ea3a47c44092f6a8038f19266cccbfec46d76d7,True
main,E0,G,60436,239048.83656046493,246345.96253365662,0.029621455525964735,passed,event_equal,evaluation_target_mean,0.02872392498973373,0.029621455525964735,079106d9eb0dee5b59d28aa29ea3a47c44092f6a8038f19266cccbfec46d76d7,True
main,R0c,control,60436,118120.1673338828,120714.59007607783,0.02149220521363615,passed,event_equal,evaluation_target_mean,0.01923283060910903,0.02149220521363615,079106d9eb0dee5b59d28aa29ea3a47c44092f6a8038f19266cccbfec46d76d7,True
main,R0c,G,60436,117020.58275245398,120714.59007607783,0.030601166945070868,passed,event_equal,evaluation_target_mean,0.027591560387244262,0.030601166945070868,079106d9eb0dee5b59d28aa29ea3a47c44092f6a8038f19266cccbfec46d76d7,True
main,R0c,K,60436,110985.64222235887,120714.59007607783,0.08059463108467246,passed,event_equal,evaluation_target_mean,0.07897113891969203,0.08059463108467246,079106d9eb0dee5b59d28aa29ea3a47c44092f6a8038f19266cccbfec46d76d7,True
main,R0c,GK,60436,109606.9365767134,120714.59007607783,0.09201583248855061,passed,event_equal,evaluation_target_mean,0.08944884224858758,0.09201583248855061,079106d9eb0dee5b59d28aa29ea3a47c44092f6a8038f19266cccbfec46d76d7,True
weather,E0,control,9857,47484.461031415034,48476.57391077488,0.02046582089703597,passed,event_equal,evaluation_target_mean,0.015129311162761705,0.02046582089703597,b26795097e8853a5bfe5ec8e9e0fd08abe49e93387d3d4d1d30921714ddd1c26,True
weather,E0,G,9857,47299.16110045796,48476.57391077488,0.02428828432644692,passed,event_equal,evaluation_target_mean,0.02001656647371104,0.02428828432644692,b26795097e8853a5bfe5ec8e9e0fd08abe49e93387d3d4d1d30921714ddd1c26,True
weather,R0c,control,9857,18781.37067257713,23250.017643912906,0.19219972387873496,passed,event_equal,evaluation_target_mean,0.12104927469686193,0.19219972387873496,b26795097e8853a5bfe5ec8e9e0fd08abe49e93387d3d4d1d30921714ddd1c26,True
weather,R0c,G,9857,18076.914476954313,23250.017643912906,0.2224988920949471,passed,event_equal,evaluation_target_mean,0.1492210886721081,0.2224988920949471,b26795097e8853a5bfe5ec8e9e0fd08abe49e93387d3d4d1d30921714ddd1c26,True
weather,R0c,K,9857,18558.776190068424,23250.017643912906,0.20177367285020953,passed,event_equal,evaluation_target_mean,0.1319614255579768,0.20177367285020953,b26795097e8853a5bfe5ec8e9e0fd08abe49e93387d3d4d1d30921714ddd1c26,True
weather,R0c,GK,9857,17726.494385723934,23250.017643912906,0.23757071253815099,passed,event_equal,evaluation_target_mean,0.16554520583545818,0.23757071253815099,b26795097e8853a5bfe5ec8e9e0fd08abe49e93387d3d4d1d30921714ddd1c26,True
