term,VIF,status
zG,2.2558955234598286,defined
zG2,3.2409968677954923,defined
zRain24,1.43721463887249,defined
zTemp,3.136112429372315,defined
zPressure,1.905910243800638,defined
zG_zPressure,2.696401810069206,defined
urban_binary,1.1649437686118893,defined
log_population,1.338890347236785,defined
income_deprivation_rate,2.577443278534959,defined
deprivation_gap_pct,3.7545521954199232,defined
morans_i,2.50872018155614,defined
year_2022,1.9434108601625757,defined
year_2023,1.8607869261242782,defined
year_2024,2.1782199800347755,defined
month_2,2.100774410475158,defined
month_3,1.8206616857572013,defined
month_4,1.9371026281252632,defined
month_5,2.366314057645043,defined
month_6,3.2147745499703095,defined
month_7,3.537714368871486,defined
month_8,3.0256412128139414,defined
month_9,2.824893672591164,defined
month_10,2.686788652323328,defined
month_11,2.3078972335456087,defined
month_12,2.1735735891608154,defined
