raw_driver,value,n_reference,mean_eta,exp_mean_eta,mean_exp_eta,interpretation
gust_0h,2.200000047683716,60436,2.28809996568143,9.85619277430768,10.08217228705121,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,2.716326577322824,60436,2.255310723332672,9.538256608621241,9.75694658660723,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,3.2326531069619318,60436,2.2245491706180305,9.249312002203961,9.461377154269513,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,3.7489796366010393,60436,2.1958153075375044,8.987325504800888,9.19338391751138,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,4.265306166240148,60436,2.1691091340910953,8.750485058507932,8.951113272167246,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,4.781632695879255,60436,2.144430650278802,8.537179212724686,8.732916820832827,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,5.297959225518363,60436,2.1217798561006247,8.345978917456955,8.537332748730533,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,5.814285755157471,60436,2.101156751556564,8.175621607902903,8.363069543392287,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,6.330612284796579,60436,2.0825613366466182,8.024997332735516,8.2089918048959,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,6.846938814435687,60436,2.0659936113707893,7.893136713031203,8.074107928719927,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,7.363265344074795,60436,2.051453575729077,7.779200549129155,7.957559474312604,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,7.879591873713903,60436,2.0389412297214795,7.682470919479929,7.8586120598577756,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,8.39591840335301,60436,2.0284565733479987,7.602343639307386,7.776647648031511,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
