term,VIF,status
zG,2.2565097742476583,defined
zG2,3.2528953647060983,defined
zRain24,1.4401446544756629,defined
zTemp,3.1402497117699397,defined
zPressure,1.9080663727372684,defined
zG_zPressure,2.7005821652928437,defined
urban_binary,1.1662371030280816,defined
log_population,1.3392702122533655,defined
income_deprivation_rate,2.5811905949423486,defined
deprivation_gap_pct,3.754972756868928,defined
morans_i,2.5087940817795507,defined
year_2022,1.9444879258787386,defined
year_2023,1.8630217538431826,defined
year_2024,2.178916987819,defined
month_2,2.1009183962621147,defined
month_3,1.8207964269022978,defined
month_4,1.9372271319959995,defined
month_5,2.3663170265126783,defined
month_6,3.2162425927499174,defined
month_7,3.53993436755106,defined
month_8,3.026180128254497,defined
month_9,2.825428516733197,defined
month_10,2.6870887295355756,defined
month_11,2.3082183587284137,defined
month_12,2.173689466957758,defined
zK,1.9208989993908885,defined
zK2,1.9032894764118569,defined
