LAD21CD,status,mean_eta,exp_mean_eta,mean_exp_eta,interpretation,regional_proxy_flag
E06000031,descriptive_common_calendar,2.0457816979207,7.73520276714066,7.832200335714665,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000032,descriptive_common_calendar,2.0565402863971256,7.818871904364162,7.916867054594203,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000033,descriptive_common_calendar,2.0150995164224312,7.501473863900599,7.595551761741812,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000034,descriptive_common_calendar,2.0520523403786584,7.783859854194357,7.8814717882733145,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000035,descriptive_common_calendar,2.038396958756015,7.678290711301594,7.774557322031926,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000043,descriptive_common_calendar,2.0152510341920435,7.502610556601659,7.596704350641607,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000055,descriptive_common_calendar,2.034703909067645,7.649986698414949,7.745889010823944,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000056,descriptive_common_calendar,1.8641604848751099,6.450518304558576,6.53136917064252,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000060,descriptive_common_calendar,2.0390375540562466,7.683210964022193,7.779549743943375,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,True
E07000008,descriptive_common_calendar,2.021000870152647,7.54587359507378,7.640530321448144,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000009,descriptive_common_calendar,1.7856477027114175,5.963441234021404,6.038198016289215,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000010,descriptive_common_calendar,1.8678483491560451,6.474350859210085,6.555560416354963,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000011,descriptive_common_calendar,1.890789256385973,6.624595122275452,6.707654988821903,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000012,descriptive_common_calendar,1.8141868666752738,6.1360846934014095,6.213004906361759,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000061,descriptive_common_calendar,2.036058781387469,7.660358478271766,7.756423455955843,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000062,descriptive_common_calendar,2.0115271975694675,7.474724015333006,7.568497226774868,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000063,descriptive_common_calendar,2.0493971729030283,7.763219816179327,7.860591605754424,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000064,descriptive_common_calendar,1.8827432109330597,6.571507189179812,6.653930804626649,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000065,descriptive_common_calendar,1.8766504280085827,6.531590148803799,6.613503762183957,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000066,descriptive_common_calendar,2.10791459682735,8.231058299036516,8.33428068127237,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000067,descriptive_common_calendar,1.8604462770447756,6.426604177473061,6.507172923802131,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000068,descriptive_common_calendar,1.9572160821964968,7.079590607232135,7.168369944743175,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000069,descriptive_common_calendar,2.0084356013113265,7.451650871337081,7.5451337419266125,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000070,descriptive_common_calendar,1.9632509371973539,7.122444087222866,7.211756552138138,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000071,descriptive_common_calendar,2.0304077557449514,7.617191679298438,7.712692829664289,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000072,descriptive_common_calendar,1.9841437222838278,7.272817167161505,7.364035498933926,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000073,descriptive_common_calendar,2.060897760935798,7.853016778290578,7.951463455231271,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000074,descriptive_common_calendar,1.8229630993533101,6.190173400774322,6.267804937888473,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000075,descriptive_common_calendar,1.9884529363723658,7.304224916117029,7.395814888302383,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000076,descriptive_common_calendar,1.902580695683927,6.703170984369989,6.787211882811929,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
