term,VIF,status
zG,2.670628262418128,defined
zG2,2.383551177318331,defined
zRain24,1.6031869377580128,defined
zTemp,3.093071431033301,defined
zPressure,2.6321395653863213,defined
zG_zPressure,2.133573147534922,defined
urban_binary,1.0812802644634414,defined
log_population,1.2761517194826162,defined
income_deprivation_rate,3.6076932841367757,defined
deprivation_gap_pct,4.9265826853091506,defined
morans_i,3.1453453268148936,defined
year_2022,3.0788667230678595,defined
year_2023,2.2242161575129806,defined
year_2024,3.7758116904398578,defined
month_2,5.345617973396859,defined
month_3,1.8661424653561882,defined
month_4,1.6001315693552665,defined
month_5,2.466059629457025,defined
month_6,3.5641887966958374,defined
month_7,5.03297043099646,defined
month_8,2.878220347094224,defined
month_9,2.831134606816288,defined
month_10,3.045271181381194,defined
month_11,2.810320117511185,defined
month_12,2.4952613026739003,defined
