stage_group,customer_bin,count,mean,median
1,"(-0.001, 2.0]",2466,26.53789537712895,5.716666666666667
1,"(2.0, 27.0]",1335,15.339987515605495,3.7333333333333334
1,"(213.0, 22130.0]",306,1.3674291938997822,0.5833333333333334
1,"(27.0, 213.0]",856,4.974007009345795,1.6666666666666667
2,"(-0.001, 2.0]",157,49.7988322717622,11.866666666666667
2,"(2.0, 27.0]",755,22.66260485651214,7.166666666666667
2,"(213.0, 22130.0]",425,6.175333333333334,1.95
2,"(27.0, 213.0]",705,12.705342789598108,4.466666666666667
3-4,"(-0.001, 2.0]",13,49.81025641025641,14.25
3-4,"(2.0, 27.0]",212,30.51108490566038,10.658333333333333
3-4,"(213.0, 22130.0]",826,10.560270379338176,4.441666666666666
3-4,"(27.0, 213.0]",648,17.929526748971195,6.55
5+,"(2.0, 27.0]",20,24.194166666666668,16.133333333333333
5+,"(213.0, 22130.0]",902,20.211437546193643,8.566666666666666
5+,"(27.0, 213.0]",231,28.115223665223667,11.25
