population,period,stage_group,n,denominator,pct
main,all,1,35998,60436,59.5638361241644
main,all,2,9429,60436,15.601628168641207
main,all,3–4,7972,60436,13.190813422463432
main,all,5–9,6020,60436,9.960950426897876
main,all,10+,1017,60436,1.6827718578330795
main,development,1,28646,48323,59.280259917637565
main,development,2,7633,48323,15.795790824245184
main,development,3–4,6408,48323,13.260766094820273
main,development,5–9,4827,48323,9.989032137905346
main,development,10+,809,48323,1.6741510253916354
main,later,1,7352,12113,60.695120944439864
main,later,2,1796,12113,14.827045323206473
main,later,3–4,1564,12113,12.911747709072896
main,later,5–9,1193,12113,9.848922645092049
main,later,10+,208,12113,1.7171633781887228
weather,all,1,4963,9857,50.350005072537286
weather,all,2,2042,9857,20.716242264380643
weather,all,3–4,1699,9857,17.236481688140408
weather,all,5–9,1031,9857,10.459571877853302
weather,all,10+,122,9857,1.2376990970883637
weather,development,1,3912,7750,50.477419354838716
weather,development,2,1615,7750,20.838709677419352
weather,development,3–4,1323,7750,17.070967741935483
weather,development,5–9,798,7750,10.296774193548387
weather,development,10+,102,7750,1.3161290322580645
weather,later,1,1051,2107,49.881347887992405
weather,later,2,427,2107,20.26578073089701
weather,later,3–4,376,2107,17.845277645942097
weather,later,5–9,233,2107,11.058376839107737
weather,later,10+,20,2107,0.9492168960607499
