stage_row_count,n,pct
1,35998,59.5638361241644
2,9429,15.601628168641207
3,4715,7.801641405784632
4,3257,5.389172016678801
5,2227,3.6848898007809914
6,1572,2.601098682904229
7,1012,1.674498643192799
8,678,1.1218479052220531
9,531,0.8786153947978026
10,308,0.5096300218412867
11,227,0.3756039446687405
12,126,0.20848500893507182
13,98,0.1621550069495003
14,72,0.11913429082004104
15,53,0.08769607518697466
16,32,0.052948573697796014
17,27,0.044675359057515386
18,18,0.02978357270501026
19,11,0.01820107220861738
20,10,0.016546429280561256
21,9,0.01489178635250513
22,5,0.008273214640280628
23,3,0.004963928784168376
24,2,0.003309285856112251
25,1,0.0016546429280561254
26,2,0.003309285856112251
27,1,0.0016546429280561254
28,1,0.0016546429280561254
29,1,0.0016546429280561254
30,2,0.003309285856112251
31,1,0.0016546429280561254
32,2,0.003309285856112251
33,2,0.003309285856112251
35,1,0.0016546429280561254
38,1,0.0016546429280561254
84,1,0.0016546429280561254
