version,group,target,block,n,pooled_R2,mean_fold_R2,SSE,SST,scale
H0,main,E0,control,60437,0.0173780019210485,0.0171093951396981,,,
H0,main,E0,G,60437,0.0281239753559838,0.0277707394776567,,,
H0,main,R0c,control,59834,0.025671745623638,0.0220580610296995,,,
H0,main,R0c,G,59834,0.0318692627122627,0.0280146528510551,,,
H0,main,R0c,K,59834,0.1029875470516795,0.1001876163463063,,,
H0,main,R0c,GK,59834,0.110536591150531,0.1073667375710403,,,
H0,weather,E0,control,9857,0.021581834386435,0.0191307673117417,,,
H0,weather,E0,G,9857,0.0201033467630848,0.018292917312105,,,
H0,weather,R0c,control,9758,0.1884511887043668,0.1335502200364376,,,
H0,weather,R0c,G,9758,0.2027646320166989,0.148394966168707,,,
H0,weather,R0c,K,9758,0.1984716372515407,0.1441015233780878,,,
H0,weather,R0c,GK,9758,0.2155817557026651,0.1617137333848038,,,
R1,main,E0,control,60436,0.0170709548776845,0.0164610574547072,242140.6017229448,246345.96253365665,log1p_C
R1,main,E0,G,60436,0.0294598295839235,0.0287306664332383,239088.65245872748,246345.96253365665,log1p_C
R1,main,R0c,control,59832,0.0255462229747046,0.0220967798820422,106116.96660581938,108898.92276857042,log_D
R1,main,R0c,G,59832,0.0354572893193778,0.0314611277595746,105037.66215739664,108898.92276857042,log_D
R1,main,R0c,K,59832,0.1017588770973846,0.0991371075410651,97817.49067052588,108898.92276857042,log_D
R1,main,R0c,GK,59832,0.1134933649144102,0.1101468776908201,96539.6175880109,108898.92276857042,log_D
R1,weather,E0,control,9857,0.0190683461818501,0.0180848782960248,47552.20581773418,48476.57391077488,log1p_C
R1,weather,E0,G,9857,0.0236073696362392,0.0230924340829931,47332.16951176475,48476.57391077488,log1p_C
R1,weather,R0c,control,9758,0.1837357779395181,0.1218717630472404,17710.967459752974,21697.591271421257,log_D
R1,weather,R0c,G,9758,0.2113613611133467,0.1489040149133806,17111.55884741259,21697.591271421257,log_D
R1,weather,R0c,K,9758,0.192069510159104,0.1310093178987473,17530.145544286926,21697.591271421257,log_D
R1,weather,R0c,GK,9758,0.2245877120163166,0.1626997199276936,16824.578891507554,21697.591271421257,log_D
B1,main,E0,control,60436,0.0171570905025872,0.0163320428138499,242119.3825595197,246345.96253365665,log1p_C
B1,main,E0,G,60436,0.0296214555259647,0.0287239249897337,239048.83656046493,246345.96253365665,log1p_C
B1,main,R0c,control,60436,0.0214922052136361,0.019232830609109,118120.1673338828,120714.59007607785,log_D
B1,main,R0c,G,60436,0.0306011669450708,0.0275915603872442,117020.58275245398,120714.59007607785,log_D
B1,main,R0c,K,60436,0.0805946310846724,0.078971138919692,110985.64222235887,120714.59007607785,log_D
B1,main,R0c,GK,60436,0.0920158324885506,0.0894488422485875,109606.9365767134,120714.59007607785,log_D
B1,weather,E0,control,9857,0.0204658208970359,0.0151293111627617,47484.46103141504,48476.57391077488,log1p_C
B1,weather,E0,G,9857,0.0242882843264469,0.020016566473711,47299.16110045796,48476.57391077488,log1p_C
B1,weather,R0c,control,9857,0.1921997238787349,0.1210492746968619,18781.37067257713,23250.017643912903,log_D
B1,weather,R0c,G,9857,0.2224988920949471,0.1492210886721081,18076.914476954316,23250.017643912903,log_D
B1,weather,R0c,K,9857,0.2017736728502095,0.1319614255579768,18558.776190068424,23250.017643912903,log_D
B1,weather,R0c,GK,9857,0.2375707125381509,0.1655452058354581,17726.494385723934,23250.017643912903,log_D
