target,scale,statistic,value,n
E0,raw,Mean,93.02572969753128,60436
E0,raw,Median,2.0,60436
E0,raw,SD,410.9662982981648,60436
E0,raw,Min,0.0,60436
E0,raw,25th pct.,1.0,60436
E0,raw,75th pct.,35.0,60436
E0,raw,Max,27013.0,60436
E0,log,Mean,2.138446551261025,60436
E0,log,Median,1.0986122886681098,60436
E0,log,SD,2.0189634702968893,60436
E0,log,Min,0.0,60436
E0,log,25th pct.,0.6931471805599453,60436
E0,log,75th pct.,3.58351893845611,60436
E0,log,Max,10.20411052912071,60436
R0c,raw,Mean,17.460139100315487,60436
R0c,raw,Median,6.366666666666666,60436
R0c,raw,SD,87.05886835640077,60436
R0c,raw,Min,0.05,60436
R0c,raw,25th pct.,2.066666666666667,60436
R0c,raw,75th pct.,13.05,60436
R0c,raw,Max,5547.05,60436
R0c,log,Mean,1.6995647962740112,60436
R0c,log,Median,1.8510760463844744,60436
R0c,log,SD,1.4133040996667419,60436
R0c,log,Min,-2.995732273553991,60436
R0c,log,25th pct.,0.7259370033829363,60436
R0c,log,75th pct.,2.5687881337687024,60436
R0c,log,Max,8.621021533895988,60436
