group,target,term,coefficient,covariance,SE,variance_status,n,k,model_path,p_normal_CR1_descriptive,p_log10_normal_CR1,p_status
main,E0,const,3.2844960164588817,LAD_CR1,1.0409964930587765,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0016041775716127,-2.794747559927682,finite_normal_Wald_descriptive
main,E0,zG,-0.0360357595511024,LAD_CR1,0.0139758089853171,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0099248055183769,-2.003277994703212,finite_normal_Wald_descriptive
main,E0,zG2,0.106019818927991,LAD_CR1,0.0083464357514341,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,5.733906005294877e-37,-36.24154943062852,finite_normal_Wald_descriptive
main,E0,zRain24,0.0457429738376808,LAD_CR1,0.0104717720244924,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,1.2526493010730109e-05,-4.90217049957818,finite_normal_Wald_descriptive
main,E0,zTemp,-0.0111336338261673,LAD_CR1,0.0208437435905779,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.5932394786581827,-0.2267699554304092,finite_normal_Wald_descriptive
main,E0,zPressure,-0.0904688695588858,LAD_CR1,0.0112243801609988,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,7.6274130191452825e-16,-15.117622736228407,finite_normal_Wald_descriptive
main,E0,zG_zPressure,-0.0465836200775914,LAD_CR1,0.0086693048205372,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,7.726677388866191e-08,-7.1120072204274365,finite_normal_Wald_descriptive
main,E0,urban_binary,-0.155834889891181,LAD_CR1,0.0766188177064379,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0419618414478329,-1.377145461539379,finite_normal_Wald_descriptive
main,E0,log_population,-0.0775143531757319,LAD_CR1,0.0887134200463839,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.3822482602890902,-0.4176544824978988,finite_normal_Wald_descriptive
main,E0,income_deprivation_rate,-3.1803620830587227,LAD_CR1,0.9048089951834204,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0004398300085559,-3.3567151430842714,finite_normal_Wald_descriptive
main,E0,deprivation_gap_pct,0.175698010750466,LAD_CR1,0.5464162999333938,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7477966097108144,-0.12621650814037505,finite_normal_Wald_descriptive
main,E0,morans_i,-0.0258985596323963,LAD_CR1,0.2407625972420548,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.9143376947465238,-0.038893375514880306,finite_normal_Wald_descriptive
main,E0,year_2022,0.0908714706377091,LAD_CR1,0.0270982133204148,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0007982182468445,-3.0978783486976442,finite_normal_Wald_descriptive
main,E0,year_2023,0.0162136197918383,LAD_CR1,0.0304330349023915,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.5941970847822832,-0.22606948323931142,finite_normal_Wald_descriptive
main,E0,year_2024,-0.018422771108352,LAD_CR1,0.0453739851494187,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.6847274897555975,-0.16448223616143665,finite_normal_Wald_descriptive
main,E0,month_2,0.0237787695054347,LAD_CR1,0.0425035733889662,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.5758523121838374,-0.23968888502789384,finite_normal_Wald_descriptive
main,E0,month_3,-0.0250364165182386,LAD_CR1,0.0463318109631005,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.5889404665168332,-0.22992860397346357,finite_normal_Wald_descriptive
main,E0,month_4,-0.0803578714886228,LAD_CR1,0.0477509135042281,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0924031325393076,-1.0343133056037535,finite_normal_Wald_descriptive
main,E0,month_5,-0.0043908656474655,LAD_CR1,0.0521413144856185,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.9328887729555476,-0.03017013350024863,finite_normal_Wald_descriptive
