version,group,target,block,n,pooled_R2,mean_fold_R2,SSE,SST,scale
B1,main,E0,control,60436,0.01715709050258729,0.016332042813849944,242119.3825595197,246345.96253365662,log1p_C
B1,main,E0,G,60436,0.029621455525964735,0.02872392498973373,239048.83656046493,246345.96253365662,log1p_C
B1,main,R0c,control,60436,0.02149220521363615,0.01923283060910903,118120.1673338828,120714.59007607783,log_D
B1,main,R0c,G,60436,0.030601166945070868,0.027591560387244262,117020.58275245398,120714.59007607783,log_D
B1,main,R0c,K,60436,0.08059463108467246,0.07897113891969203,110985.64222235887,120714.59007607783,log_D
B1,main,R0c,GK,60436,0.09201583248855061,0.08944884224858758,109606.9365767134,120714.59007607783,log_D
B1,weather,E0,control,9857,0.02046582089703597,0.015129311162761705,47484.461031415034,48476.57391077488,log1p_C
B1,weather,E0,G,9857,0.02428828432644692,0.02001656647371104,47299.16110045796,48476.57391077488,log1p_C
B1,weather,R0c,control,9857,0.19219972387873496,0.12104927469686193,18781.37067257713,23250.017643912906,log_D
B1,weather,R0c,G,9857,0.2224988920949471,0.1492210886721081,18076.914476954313,23250.017643912906,log_D
B1,weather,R0c,K,9857,0.20177367285020953,0.1319614255579768,18558.776190068424,23250.017643912906,log_D
B1,weather,R0c,GK,9857,0.23757071253815099,0.16554520583545818,17726.494385723934,23250.017643912906,log_D
