kind,old_location,cell,old_token,new_value,unit,target,population,n,artifact,row_key,numeric_check,semantic_result,old_target
paragraph,D-P002,,"60,453",60436.0,events,E0/R0c descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,core_metrics: main E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P039,,"60,453",60436.0,events,E0/R0c descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,core_metrics: main E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P039,,"60,437",60436.0,events,E0/R0c descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,core_metrics: main E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P039,,"59,834",60436.0,events,E0/R0c descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,core_metrics: main E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P018,,"60,437",60436.0,events,E0/R0c descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,core_metrics: main E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P065,,"60,437",60436.0,events,E0/R0c descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,core_metrics: main E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P065,,"59,834",60436.0,events,E0/R0c descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,core_metrics: main E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P002,,10.7,10.807545499294342,m/s,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;minimum_ms,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P073,,10.694,10.807545499294342,m/s,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;minimum_ms,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P073,,10.69,10.807545499294342,m/s,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;minimum_ms,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
