figure,format,current,bytes,sha256,R04_sha256,byte_identical_to_R04,data_equivalence,pixel_equal,image_shape
figure01,png,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure01.png,182350,ce7348a5098d82539733eea114a9f5c95a080f570a3e775444fb3bf406b37d83,ce7348a5098d82539733eea114a9f5c95a080f570a3e775444fb3bf406b37d83,True,same frozen inputs; no model/data change,True,"(1090, 1224, 4)"
figure01,pdf,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure01.pdf,21625,1f38f81d6b5b5c74718aadaad46c9d2c9dd5a2b28a9ceb6b0b1d15284d94fcb6,38c9ad1764dfefb4780d7ac00934f359f0f7fbe5bb8681ff7953ed0833fd734b,False,same frozen inputs; no model/data change,,
figure02,png,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure02.png,113364,a2e9ec6bbbef90a7a50d1b627caf15c614d61439199dcc71d211d537741bf388,3170adc7f88cc0c3b15e1e11ad6b20446d9d6a23c2a3c04c44f94ec06ab00960,False,same frozen inputs; no model/data change,False,"(1265, 1969, 4)"
figure02,pdf,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure02.pdf,21432,e060c20e7ea9bfcff4752d642d7c7fea7391cf0685c94bd2abd9da8f9bf397d4,168537e102794f5d46aecd3a37c996de50257a698782bc479588a2b324426a55,False,same frozen inputs; no model/data change,,
figure03,png,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure03.png,72263,1e707e2a5bfd97445294bf966f0a070f4238f9f88a6c545bcf1ded85363716d2,06ea56d1fc18060df188fcfe0d8b4967347b82074cf6e05857e3980ee19d9e23,False,same frozen inputs; no model/data change,False,"(740, 2147, 4)"
figure03,pdf,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure03.pdf,15406,87745173fadef41d0ae57ebe56130dd1eafd30bff6b391ae696f935be4a4cb11,029250819b20c47cefccbf44c7e3e861c73eee70cc2dc6b60fa4b6e8e181c719,False,same frozen inputs; no model/data change,,
figure04,png,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure04.png,147242,7d318feb6aa80437def6f4546132cb86f5b75c734c2420fd0d3271e8c895c609,7d318feb6aa80437def6f4546132cb86f5b75c734c2420fd0d3271e8c895c609,True,same frozen inputs; no model/data change,True,"(1265, 1804, 4)"
figure04,pdf,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure04.pdf,17731,406ceeae82a877ad5a0f6027f4ba8eb9f1a4cbede41bd17a40a4ebd91ff7e9c6,9e93b7ce74ace4fc7d64bb54aff11a7b56ee2c62643ff45df3ba28be8e42848b,False,same frozen inputs; no model/data change,,
figure05,png,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure05.png,62863,fe9ecedeea4ae4e18398bd5192414dd83dd2d26dfcd509ae3e7020481a1d65e1,3ca69668bb5f7053182e93f8de4c1cece94bb9d4847cdd16fd3ffe9a39beeb83,False,same frozen inputs; no model/data change,False,"(740, 1969, 4)"
figure05,pdf,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure05.pdf,14881,824be48f281ac5747c42eb196640ad6c2d273c19334f5dad324fc97d79528d02,46bd8857cacc164b3c86133b10c92df6d57e5d7bd296c627015e69205b51656f,False,same frozen inputs; no model/data change,,
figure06,png,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R05\release_v1\figures\figure06.png,340858,0dd958e59b57704531af81d11483ec2518023691988c1e499896d965d8c9ccf7,0dd958e59b57704531af81d11483ec2518023691988c1e499896d965d8c9ccf7,True,same frozen inputs; no model/data change,True,"(1090, 1775, 4)"
