kind,old_location,cell,old_token,new_value,unit,target,population,n,artifact,row_key,numeric_check,semantic_result,old_target
cell,D-T01,row2col2,,93.02572969753128,customers,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=raw; statistic=Mean,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row2col3,,2.138446551261025,ln(1+C),E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=log; statistic=Mean,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row2col4,,17.460139100315487,hours,R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=raw; statistic=Mean,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row2col5,,1.6995647962740112,ln(D/h),R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=log; statistic=Mean,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row3col2,,2.0,customers,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=raw; statistic=Median,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row3col3,,1.0986122886681098,ln(1+C),E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=log; statistic=Median,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row3col4,,6.366666666666666,hours,R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=raw; statistic=Median,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row3col5,,1.8510760463844744,ln(D/h),R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=log; statistic=Median,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row4col2,,410.9662982981648,customers,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=raw; statistic=SD,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row4col3,,2.0189634702968893,ln(1+C),E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=log; statistic=SD,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row4col4,,87.05886835640077,hours,R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=raw; statistic=SD,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row4col5,,1.413304099666742,ln(D/h),R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=log; statistic=SD,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row5col2,,0.0,customers,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=raw; statistic=Min,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row5col3,,0.0,ln(1+C),E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=log; statistic=Min,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row5col4,,0.05,hours,R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=raw; statistic=Min,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row5col5,,-2.995732273553991,ln(D/h),R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=log; statistic=Min,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row6col2,,1.0,customers,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=raw; statistic=25th pct.,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row6col3,,0.6931471805599453,ln(1+C),E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=log; statistic=25th pct.,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
cell,D-T01,row6col4,,2.066666666666667,hours,R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=raw; statistic=25th pct.,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row6col5,,0.7259370033829363,ln(D/h),R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=R0c; scale=log; statistic=25th pct.,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
cell,D-T01,row7col2,,35.0,customers,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\Table1_current.csv,target=E0; scale=raw; statistic=75th pct.,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
