task,model,episode,n,mse,rmse,mae,r2
E_log,B00,P1,270,4.3172347227856855,2.0777956402845987,1.8508108379464754,-0.08791311680571767
E_log,B00,P2,2603,5.759728293863587,2.3999433938873613,2.0082238660732115,-0.09620935478771431
E_log,B00,P3,509,4.501143946411774,2.1215899571811168,1.8953692084955773,-0.14610486927185673
E_log,B00,P4,576,5.173660595736938,2.274568221825175,2.0262066962724785,-0.07753103113561188
E_log,B00,P5,494,4.782794098206397,2.1869600129417996,1.904677755735982,-0.0008295991697822025
E_log,B01,P1,270,3.916783992083317,1.9790866560318467,1.6984206347823938,0.012997681550049212
E_log,B01,P2,2603,5.104275683903662,2.2592644121270227,1.978750453705756,0.028538419065367915
E_log,B01,P3,509,4.272543579771442,2.0670132026117884,1.5607718984126269,-0.08789744546069911
E_log,B01,P4,576,5.172624972953382,2.274340557821845,1.9887605607714194,-0.07731533942851532
E_log,B01,P5,494,5.001682284788306,2.236444116178248,1.8819987420968427,-0.04663332216967553
E_log,G02,P1,270,3.7975833608087535,1.9487389155063213,1.6478931391433043,0.04303541139843814
E_log,G02,P2,2603,5.18671026670943,2.2774350192067896,1.9083754819945824,0.012849213564827044
E_log,G02,P3,509,3.793110464437649,1.9475909386823633,1.665438506840948,0.0341783278351695
E_log,G02,P4,576,4.340917100965075,2.08348676524836,1.8429312166152596,0.09590650694571767
E_log,G02,P5,494,4.402070190379855,2.098111100580676,1.802090461179893,0.07883926138335884
E_log,G05,P1,270,3.865864222398964,1.9661801093488267,1.6776862868083424,0.025829109281314544
E_log,G05,P2,2603,5.144171034530697,2.268076505440391,1.9173654773903794,0.02094541218403867
E_log,G05,P3,509,3.788452399310757,1.9463947182703607,1.6538968572638717,0.03536438879808834
E_log,G05,P4,576,4.3228015114869525,2.079134798777355,1.827964380196959,0.09967948537149118
E_log,G05,P5,494,4.212416903979927,2.0524173318260415,1.7611565543529806,0.1185253985474185
E_log,P00,P1,270,3.7974491723454675,1.94870448563795,1.6794046419244764,0.043069225957688806
E_log,P00,P2,2603,5.218475156701536,2.2843982044953406,1.9059389753430078,0.006803621171128649
E_log,P00,P3,509,3.888361312620348,1.9718928248310932,1.720923261991321,0.009925057510079771
E_log,P00,P4,576,4.5503832011350385,2.1331627226104994,1.9069114915678744,0.05228048650477912
E_log,P00,P5,494,4.367644544045723,2.0898910364049423,1.8067843145008111,0.08604304333890478
