task,model,episode,n,mse,rmse,mae,r2
E_log,B00,P4,576,5.177858798420913,2.275490891746419,2.02734879889002,-0.07840540114564121
E_log,B00,P5,494,4.779553437209897,2.1862189819892004,1.909819342016037,-0.00015147057390785257
E_log,B01,P4,576,5.229175364162805,2.286739024060858,1.990241616687996,-0.08909322864707403
E_log,B01,P5,494,4.563132183322173,2.1361489141261134,1.8487577160928095,0.04513603131991206
E_log,G02,P4,576,4.353169576337526,2.08642507086584,1.8467038990003704,0.09335465373120255
E_log,G02,P5,494,4.399447981296601,2.0974861099174413,1.8081505967705935,0.07938797504567563
E_log,G05,P4,576,4.279759899865503,2.068758057353615,1.8231572512713043,0.10864386780322888
E_log,G05,P5,494,4.304718505322708,2.0747815560493854,1.779131838700272,0.09921071077750854
E_log,P00,P4,576,4.621872287460116,2.149854015383397,1.9263683778380063,0.037391278471635814
E_log,P00,P5,494,4.380754027437833,2.093025090016322,1.8244012625809436,0.08329980189065456
E_log,P02,P4,576,4.646451513355365,2.15556292261566,1.9227884951405096,0.03227210257415891
E_log,P02,P5,494,4.247176695100089,2.0608679470310776,1.79225676911923,0.11125169470407992
E_log,S01,P4,576,5.335238344927571,2.309813487043396,2.0255712043270893,-0.11118322680484782
E_log,S01,P5,494,4.544064662683129,2.1316811822322608,1.8735794924979834,0.04912602935170951
E_log,S02,P4,576,5.127087975204059,2.2643073941503746,1.9835039524604794,-0.06783123678365333
E_log,S02,P5,494,4.4320722088289175,2.105248728494787,1.8445652632222962,0.072561151248967
E_log,S03,P4,576,4.512477816006706,2.1242593570481705,1.878400260843914,0.06017513439810629
E_log,S03,P5,494,4.251798327586502,2.061988925185221,1.7982508459869133,0.11028458918084261
E_log,S04,P4,576,5.103608930141692,2.259116847385653,1.9835651251435786,-0.06294119825716415
E_log,S04,P5,494,4.429638513039416,2.1046706424140136,1.8493144751556694,0.07307041732471597
E_log,S05,P4,576,4.280613660443211,2.0689643932274935,1.7787031382985425,0.10846605298553513
E_log,S05,P5,494,4.172113954309212,2.042575324023379,1.7412912122311088,0.1269590430104799
R_C_log,B00,P4,576,2.895337796825343,1.7015692159960296,1.3328464499998558,-0.6589321258399616
R_C_log,B00,P5,494,2.726103275823221,1.6510915407157838,1.2255364908654605,-0.39033434866713135
R_C_log,B01,P4,576,2.5016170032557445,1.5816500887540659,1.2533309477021986,-0.4333432243376989
R_C_log,B01,P5,494,2.0966930369032,1.4479962143953278,1.1041818329730528,-0.06933012174215136
R_C_log,G02,P4,576,1.7545886334830019,1.3246088605633748,1.0320513402572202,-0.005320848886833929
R_C_log,G02,P5,494,2.0870460535038915,1.4446612244757908,1.0779837492650384,-0.06441008349560651
R_C_log,G05,P4,576,1.321740689709412,1.1496698176908933,0.8527887242797335,0.24268660651858232
R_C_log,G05,P5,494,1.812349475269109,1.3462352971412943,0.9783216671447089,0.07568735579374497
R_C_log,P00,P4,576,2.6284399334965127,1.621246413564734,1.2750668491086583,-0.5060085394177762
R_C_log,P00,P5,494,2.496113986679659,1.5799094868629846,1.1622681667300252,-0.27303798232705945
R_C_log,P02,P4,576,2.592605898975163,1.6101571038178737,1.2976858367487205,-0.4854768311206974
R_C_log,P02,P5,494,2.7774284265005953,1.6665618579880541,1.2662747717322136,-0.4165105836506433
R_C_log,S01,P4,576,2.4683089190270495,1.5710852679046576,1.2339275222597559,-0.414258801429342
R_C_log,S01,P5,494,2.1124250991582905,1.4534184184735965,1.0945227338398167,-0.07735359859374502
R_C_log,S02,P4,576,2.3769610914439454,1.5417396315344383,1.207862070896062,-0.3619195386429894
R_C_log,S02,P5,494,2.103045538378386,1.4501881044810656,1.095331104946479,-0.07256994800964334
R_C_log,S03,P4,576,2.194485423343289,1.4813795676136785,1.1558166614313217,-0.25736705833198426
R_C_log,S03,P5,494,2.0942472057947112,1.4471514108049341,1.1068067984611119,-0.06808272842755159
R_C_log,S04,P4,576,2.242038310918603,1.4973437517546206,1.1701769249647225,-0.28461327912240164
R_C_log,S04,P5,494,2.1039136451279052,1.45048738192647,1.1018393998124871,-0.07301268935509087
R_C_log,S05,P4,576,1.5127673261406334,1.2299460663543884,0.9399567143402197,0.13323470615159383
R_C_log,S05,P5,494,1.8682030260705216,1.3668222364559781,1.0415234801301376,0.04720160073709623
R_log,B00,P4,576,2.895337796825343,1.7015692159960296,1.3328464499998558,-0.6589321258399616
R_log,B00,P5,494,2.726103275823221,1.6510915407157838,1.2255364908654605,-0.39033434866713135
R_log,B01,P4,576,2.2915478118366632,1.513785920081391,1.1819642859248443,-0.31298057419150593
R_log,B01,P5,494,2.117454732615183,1.455147666944899,1.1071989717822845,-0.07991875165244977
R_log,G02,P4,576,2.0018817724316174,1.4148787129756448,1.092712574676439,-0.14701158119153535
R_log,G02,P5,494,2.0939514756744457,1.4470492305635099,1.079951391073319,-0.06793190371456714
R_log,G05,P4,576,1.8152763562525545,1.3473219200519801,1.0450946261284417,-0.04009289277645167
R_log,G05,P5,494,1.9446700511126707,1.3945142706737248,1.0508848692820862,0.008202809899142682
R_log,P00,P4,576,2.692399330850428,1.6408532325745737,1.2810073096004393,-0.5426551438782692
R_log,P00,P5,494,2.530828649821904,1.5908578345728772,1.170131243111087,-0.2907427365809123
R_log,P02,P4,576,2.8934798131115125,1.7010231665416884,1.3473873146717443,-0.6578675630536985
R_log,P02,P5,494,2.7540391440401324,1.6595297960687938,1.2331114195973496,-0.40458186360402704
R_log,S01,P4,576,2.2791558294986443,1.5096873283891086,1.1656881082172845,-0.30588038103755966
R_log,S01,P5,494,2.152169887826425,1.4670275688706143,1.1138704312971053,-0.0976237568654037
R_log,S02,P4,576,2.205656412666899,1.485145249686676,1.1424539066657202,-0.2637676631549075
R_log,S02,P5,494,2.143889181693097,1.4642025753607653,1.114267851515379,-0.09340053088915834
R_log,S03,P4,576,2.070498818052835,1.4389227978084282,1.1047306951557478,-0.18632686298217016
R_log,S03,P5,494,2.1332922393615976,1.4605794190531365,1.1232071581586824,-0.0879960060331142
R_log,S04,P4,576,2.104344221738936,1.4506357991373768,1.112849685832595,-0.20571915204372937
R_log,S04,P5,494,2.1471684907951847,1.4653219751287376,1.1206358220536985,-0.09507300460831747
R_log,S05,P4,576,1.7640891551116717,1.3281901803249683,1.045786250317449,-0.010764331356934331
R_log,S05,P5,494,2.0549984711859413,1.4335265854479091,1.1350259988583635,-0.04806556167079501
E_log,B00,POOLED,1070,4.993968285861809,2.2347188382124963,1.9730875356229662,-0.02408506608916361
E_log,B00,MACRO,1070,4.978706117815404,2.231301440374071,,
E_log,B01,POOLED,1070,4.921675054503672,2.218484855594843,1.9249210121141433,-0.00926029861460953
E_log,B01,MACRO,1070,4.896153773742489,2.2127254176111615,,
E_log,G02,POOLED,1070,4.374535494141062,2.0915390252493644,1.8289045239522306,0.10293854221908694
E_log,G02,MACRO,1070,4.376308778817064,2.0919629009179546,,
E_log,G05,POOLED,1070,4.291282844814905,2.071541176229646,1.802831500046921,0.12001069606688897
E_log,G05,MACRO,1070,4.292239202594105,2.071771995803135,,
E_log,P00,POOLED,1070,4.510552268347024,2.123806080683221,1.879291971354839,0.07504634522690878
E_log,P00,MACRO,1070,4.501313157448974,2.1216298351618676,,
E_log,P02,POOLED,1070,4.462113419693583,2.1123715155468235,1.8625243150895636,0.08497942823526117
E_log,P02,MACRO,1070,4.446814104227727,2.108747046050741,,
E_log,S01,POOLED,1070,4.969967504713783,2.2293423928849028,1.9553993298938384,-0.019163360515310757
E_log,S01,MACRO,1070,4.939651503805351,2.222532677781218,,
E_log,S02,POOLED,1070,4.806211537270116,2.192307354654022,1.9193584267748138,0.014417157249851709
E_log,S02,MACRO,1070,4.779580092016488,2.1862250780778467,,
E_log,S03,POOLED,1070,4.39212672509121,2.095740137777394,1.8413966992183457,0.09933120715426991
E_log,S03,MACRO,1070,4.382138071796604,2.093355696434938,,
E_log,S04,POOLED,1070,4.792448756264566,2.1891662239913545,1.921583983934207,0.017239413557633587
E_log,S04,MACRO,1070,4.766623721590554,2.1832598841160786,,
E_log,S05,POOLED,1070,4.23052127275144,2.0568231019588046,1.7614307163571292,0.13247073084893946
E_log,S05,MACRO,1070,4.226363807376211,2.055812201388106,,
R_C_log,B00,POOLED,1070,2.817205223577634,1.678453223529817,1.2833033473714528,-0.5191414417322684
R_C_log,B00,MACRO,1070,2.8107205363242818,1.6765203656157244,,
R_C_log,B01,POOLED,1070,2.3146707982294297,1.5214042192098158,1.184471449873976,-0.24815625930594787
R_C_log,B01,MACRO,1070,2.299155020079472,1.516296481589096,,
R_C_log,G02,POOLED,1070,1.908078320857132,1.3813320820342703,1.0532575178739136,-0.028906530140512032
R_C_log,G02,MACRO,1070,1.9208173434934466,1.3859355481022364,,
R_C_log,G05,POOLED,1070,1.5482460542575338,1.2442853588536409,0.910745054910853,0.1651283607822438
R_C_log,G05,MACRO,1070,1.5670450824892606,1.2518167128175197,,
R_C_log,P00,POOLED,1070,2.567347393564246,1.602294415381969,1.2229897004217007,-0.38440884187125723
R_C_log,P00,MACRO,1070,2.562276960088086,1.6007113918780256,,
R_C_log,P02,POOLED,1070,2.677935178038307,1.6364397874771643,1.2831839057971741,-0.444041872840353
R_C_log,P02,MACRO,1070,2.6850171627378794,1.6386021978313954,,
R_C_log,S01,POOLED,1070,2.3040036788259584,1.5178944887000407,1.1695668068584006,-0.24240415327757003
R_C_log,S01,MACRO,1070,2.29036700909267,1.5133958534014391,,
R_C_log,S02,POOLED,1070,2.2504991445146123,1.5001663722782925,1.1559085221305536,-0.21355252588716933
R_C_log,S02,MACRO,1070,2.2400033149111658,1.4966640621432605,,
R_C_log,S03,POOLED,1070,2.1482072182320766,1.4656763688591272,1.1331896779665709,-0.15839292903923963
R_C_log,S03,MACRO,1070,2.144366314569,1.4643654989684098,,
R_C_log,S04,POOLED,1070,2.178268605404019,1.4758958653658527,1.1386267030720083,-0.17460314285918432
R_C_log,S04,MACRO,1070,2.172975978023254,1.474101752940839,,
R_C_log,S05,POOLED,1070,1.6768656773232173,1.2949384839918912,0.9868482865834152,0.09577189431547639
R_C_log,S05,MACRO,1070,1.6904851761055775,1.3001865928033474,,
R_log,B00,POOLED,1070,2.817205223577634,1.678453223529817,1.2833033473714528,-0.5191414417322684
R_log,B00,MACRO,1070,2.8107205363242818,1.6765203656157244,,
R_log,B01,POOLED,1070,2.2111721285325405,1.487001051960805,1.1474464679936065,-0.1923459416958464
R_log,B01,MACRO,1070,2.204501272225923,1.4847563006183617,,
R_log,G02,POOLED,1070,2.0443887195362502,1.4298212194313842,1.0868209628073349,-0.10241014778237001
R_log,G02,MACRO,1070,2.0479166240530313,1.43105437494633,,
R_log,G05,POOLED,1070,1.8750151275244211,1.3693119175426836,1.0477678785750777,-0.011077631213531447
R_log,G05,MACRO,1070,1.8799732036826127,1.3711211484338692,,
R_log,P00,POOLED,1070,2.617805016431651,1.6179632308651675,1.2298177985296541,-0.4116174617146606
R_log,P00,MACRO,1070,2.611613990336166,1.6160488824092438,,
R_log,P02,POOLED,1070,2.82910253225052,1.6819936183738986,1.2946281631140333,-0.525556911396601
R_log,P02,MACRO,1070,2.8237594785758224,1.6804045580085238,,
R_log,S01,POOLED,1070,2.2205286751191338,1.4901438437678203,1.1417648069102113,-0.19739133830104683
R_log,S01,MACRO,1070,2.215662858662535,1.4885102816784757,,
R_log,S02,POOLED,1070,2.177139578927593,1.4755133272619374,1.1294409055028525,-0.17399432994956743
R_log,S02,MACRO,1070,2.1747727971799984,1.474711089393444,,
R_log,S03,POOLED,1070,2.0994894256477217,1.448961499021876,1.1132609500374766,-0.1321224901499407
R_log,S03,MACRO,1070,2.1018955287072165,1.4497915466394529,,
R_log,S04,POOLED,1070,2.1241154263312594,1.4574345358647363,1.1164444066673849,-0.14540174217936208
R_log,S04,MACRO,1070,2.1257563562670603,1.457997378690051,,
R_log,S05,POOLED,1070,1.8983968206637176,1.377823218219129,1.0869866575877403,-0.02368590651009095
R_log,S05,MACRO,1070,1.9095438131488065,1.3818624436422051,,
