path,outer_group,task,model,train_n,test_n,config,model_sha256,fit_ids_sha256,model_path,fit_ids_path
B_fivefold,P1,E_log,B00,4182,270,{},f2cb70af41e0c5445411a0daa815ee66ece756f17ec2c54902cc330131648202,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\B00\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\B00\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,B01,4182,270,"{""lambda"":0.1}",ddc1056cb3292d056f437fbe99c9db10c58a457287be64ac3caaec4ad3c3b93a,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\B01\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\B01\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,G02,59979,270,"{""lambda"":0.001}",40c0d604e5fcf552ae2967cccc54154078a9fb4a4ac56653f335234ddc161e75,f12be4150c581557ccd8eb2126f99e66910679f843d8bdff53a9af7c721991c5,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\G02\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\G02\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,P00,59979,270,"{""lambda"":0.001}",cc753b4b24b920930a8a352ed31bad6f3d603616d2e0c95323850dcd1d287558,f12be4150c581557ccd8eb2126f99e66910679f843d8bdff53a9af7c721991c5,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\P00\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\P00\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,P02,59979,270,"{""lambda"":0.1}",b3ac379b651c8c772f309850a1edce2a051dcb83acc8333b49880421df71d247,f12be4150c581557ccd8eb2126f99e66910679f843d8bdff53a9af7c721991c5,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\P02\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\P02\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,S01,4182,270,"{""lambda"":0.1}",f024bb15d2ac77b00f5a1329a5261812ba9974990270959b1f83ae0ee2024f34,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S01\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S01\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,S02,4182,270,"{""lambda"":0.1}",fff225cabf3cf663f613e6ccb02fe3c2193179ccc347bcaf506375253d71fed0,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S02\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S02\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,S03,4182,270,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",84414cfeff4de4bdbb1b059a435d8676beac18b2935aee7585a26e0c76a9b816,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S03\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S03\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,S04,4182,270,"{""control_lambda"":0.1}",03b41648d3223a7548ab675de6f8e0ca7e76098991991333b68c9ed88e1e7f18,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S04\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S04\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,G05,59979,270,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",7f83eef5c6bf6618c00b03d510007c81ba5871abd9f27400a81939d65db30ff9,f12be4150c581557ccd8eb2126f99e66910679f843d8bdff53a9af7c721991c5,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\G05\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\G05\outer_P1.fit_ids.parquet
B_fivefold,P1,E_log,S05,4182,270,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",a876244defa9d985c2803cc647c436c3fdada58431efc55b347baf40049bd1db,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S05\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S05\outer_P1.fit_ids.parquet
B_fivefold,P1,R_log,B00,4182,270,{},6b66a93185c64e4dc22055ba57e3d717fdc71fbf117dc43001b41cbae315d72c,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\B00\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\B00\outer_P1.fit_ids.parquet
B_fivefold,P1,R_log,B01,4182,270,"{""lambda"":0.1}",8488d8c4aa20a5456dade83a1d96860789bae1154482e2e6ba24353d1fdac334,b9b43324b202c4a3fc21740dc2067189c83292f5e78ed3abce5dad1abd0a7927,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\B01\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\B01\outer_P1.fit_ids.parquet
B_fivefold,P1,R_log,G02,59979,270,"{""lambda"":0}",eb186bcfcdc42b347ba8b2624e764e78baeec2a11864717bb13534820bdfbd91,f12be4150c581557ccd8eb2126f99e66910679f843d8bdff53a9af7c721991c5,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\G02\outer_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\G02\outer_P1.fit_ids.parquet
