path,outer,inner,task,model,config,start_tau,start_h,tau,h,b,objective,success,status,message,iterations,tau_at_bound,h_at_bound,b_at_bound
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",6.099999904632568,0.5,13.143077121564637,0.05000000000000001,0.1371121820426744,4.009538156378147,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",6.099999904632568,2.0,13.14350270754062,0.05000000000000001,0.13711568684309539,4.009538158207406,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",6.099999904632568,5.0,13.143128056908832,0.05000000000000001,0.13711260156390137,4.0095381563816295,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",12.899999618530273,0.5,13.143489870993207,0.05000000000000001,0.13711558114684153,4.009538158092467,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",12.899999618530273,2.0,13.143054179313479,0.05000000000000001,0.13711199307726074,4.0095381563957355,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",12.899999618530273,5.0,13.143016503552564,0.05000000000000001,0.13711168275149177,4.009538156450439,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",17.34999942779541,0.5,13.143080430531898,0.05000000000000001,0.1371122092969479,4.009538156376593,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",17.34999942779541,2.0,13.143334919210327,0.05000000000000001,0.13711430519527645,4.009538156998106,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",17.34999942779541,5.0,13.143073882324781,0.05000000000000001,0.13711215536264232,4.00953815637991,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",23.52000007629395,0.5,13.142932311421292,0.05000000000000001,0.1371109892515241,4.009538156688722,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",23.52000007629395,2.0,13.142992408090015,0.05000000000000001,0.13711148427879616,4.009538156502255,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,22,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.001}",23.52000007629395,5.0,13.143072554620327,0.05000000000000001,0.1371121444269744,4.0095381563806995,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",10.600000381469727,0.5,12.315200239997312,0.05000000000000001,0.05302094427219961,4.656959470962153,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",10.600000381469727,2.0,12.317461296568082,0.05000000000000001,0.053023092299572916,4.656959473703018,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",10.600000381469727,5.0,12.319329938723444,0.05000000000000001,0.05302486520688543,4.656959482304191,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",19.100000381469727,0.5,12.31386192434742,0.05000000000000001,0.053019671427765536,4.6569594732640445,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",19.100000381469727,2.0,12.321496133162716,0.05000000000000001,0.053026917753479896,4.65695949951336,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",19.100000381469727,5.0,12.321496133162716,0.05000000000000001,0.053026917753479896,4.65695949951336,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,20,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",24.299999237060547,0.5,12.321496133162716,0.05000000000000001,0.053026917753479896,4.65695949951336,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,20,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",24.299999237060547,2.0,12.321496133162716,0.05000000000000001,0.053026917753479896,4.65695949951336,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",24.299999237060547,5.0,12.321496133162716,0.05000000000000001,0.053026917753479896,4.65695949951336,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,0.5,29.600000381469727,0.5,0.0,4.70432134595676,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,2.0,12.321496133162716,0.05000000000000001,0.053026917753479896,4.65695949951336,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,5.0,12.321496133162716,0.05000000000000001,0.053026917753479896,4.65695949951336,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,20,False,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",8.849999904632568,0.5,8.913678115607453,0.05000000000000001,0.03133033866910728,4.582643888761939,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",8.849999904632568,2.0,8.908030030318033,0.05000000000000001,0.03132760565190518,4.582643873141129,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",8.849999904632568,5.0,8.93375729472898,0.06774543591737581,0.03133950728489476,4.582645472475756,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,False,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",18.700000762939453,0.5,8.906679956792575,0.05000000000000001,0.03132695067824498,4.5826438720833504,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",18.700000762939453,2.0,4.599999904632568,19.999999999999996,0.04009670774137719,4.585777137193396,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,True,True,False
