outer_group,task,model,config,inner_macro_mse
P1,E_log,B00,{},5.078182198122092
P1,E_log,B01,"{""lambda"":0.1}",6.547562820902259
P1,E_log,G02,"{""lambda"":0.001}",4.428711321627478
P1,E_log,P00,"{""lambda"":0.001}",4.517053708963683
P1,E_log,P02,"{""lambda"":0.1}",4.461712742453524
P1,E_log,S01,"{""lambda"":0.1}",5.062396748115152
P1,E_log,S02,"{""lambda"":0.1}",4.92668058855217
P1,E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",4.7848468943749864
P1,E_log,S04,"{""control_lambda"":0.1}",4.762997505522776
P1,E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",4.337087981262787
P1,E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.589759247589179
P1,R_log,B00,{},2.9793164246524433
P1,R_log,B01,"{""lambda"":0.1}",2.7505827225440083
P1,R_log,G02,"{""lambda"":0}",2.479027825673495
P1,R_log,P00,"{""lambda"":0}",2.8651515556969467
P1,R_log,P02,"{""lambda"":0.001}",2.8964720299078675
P1,R_log,S01,"{""lambda"":0.001}",2.919169223212309
P1,R_log,S02,"{""lambda"":0.001}",2.795247346869842
P1,R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",2.5920455278014916
P1,R_log,S04,"{""control_lambda"":0.1}",2.5458012443788394
P1,R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",2.481334259338754
P1,R_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",2.749253237966597
P1,R_C_log,B00,{},2.9793164246524433
P1,R_C_log,B01,"{""lambda"":0.1}",2.849722122239705
P1,R_C_log,G02,"{""lambda"":0.001}",2.4145720603009306
P1,R_C_log,P00,"{""lambda"":0}",2.7846689689027952
P1,R_C_log,P02,"{""lambda"":0.001}",2.7768090718029597
P1,R_C_log,S01,"{""lambda"":0.1}",2.9994813203662827
P1,R_C_log,S02,"{""lambda"":0.1}",2.878638419059949
P1,R_C_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",2.7866272787145365
P1,R_C_log,S04,"{""control_lambda"":0.1}",2.591909028278685
P1,R_C_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",2.197035624962437
P1,R_C_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",2.632251138354942
P2,E_log,B00,{},4.517359710302042
P2,E_log,B01,"{""lambda"":0.1}",6.286769293015057
P2,E_log,G02,"{""lambda"":0}",4.0713785321858875
P2,E_log,P00,"{""lambda"":0}",4.110525105374547
P2,E_log,P02,"{""lambda"":0.001}",4.11835173803495
P2,E_log,S01,"{""lambda"":0.1}",5.106728264701001
P2,E_log,S02,"{""lambda"":0.1}",4.983201931458603
P2,E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",4.885548474128891
P2,E_log,S04,"{""control_lambda"":0.1}",4.78729883926324
P2,E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",4.0480708555615355
P2,E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.331759443157095
P2,R_log,B00,{},1.5772062194335064
P2,R_log,B01,"{""lambda"":0.1}",1.7358074795565375
P2,R_log,G02,"{""lambda"":0.1}",1.5650301951134842
P2,R_log,P00,"{""lambda"":0.1}",1.5715026695752927
P2,R_log,P02,"{""lambda"":0}",1.5569896925731497
P2,R_log,S01,"{""lambda"":0.1}",1.7132184399061852
P2,R_log,S02,"{""lambda"":0.1}",1.7000836073321932
P2,R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",1.6695554726918442
P2,R_log,S04,"{""control_lambda"":0.1}",1.7530578422818717
P2,R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",1.574222556795041
