task,model,config,folds,macro_mse,pooled_sse,pooled_n,pooled_mse
E_log,B00,{},3,5.08847133717054,19486.092673397085,3382,5.761706881548517
E_log,B01,"{""lambda"":0.001}",3,5.283828112432118,19955.11898166835,3382,5.900390000493303
E_log,B01,"{""lambda"":0.1}",3,7.657958300348177,22600.93882452708,3382,6.682714022627758
E_log,B01,"{""lambda"":0}",3,9910.76765778948,15176368.341010055,3382,4487.394541989963
E_log,G02,"{""lambda"":0.001}",3,4.2560547133665745,16376.175872902466,3382,4.842157265790203
E_log,G02,"{""lambda"":0.1}",3,4.413764378647027,17493.200685554773,3382,5.172442544516492
E_log,G02,"{""lambda"":0}",3,4.255656343798513,16373.786976453031,3382,4.841450909654947
E_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",3,4.314843410913032,16814.643029607487,3382,4.97180456227306
E_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",3,4.297937867544149,16682.008318879187,3382,4.932586729414307
E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",3,4.309992258981599,16780.118446903125,3382,4.9615962291257025
E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",3,4.290100061853725,16600.318118742118,3382,4.9084323236966645
E_log,P00,"{""lambda"":0.001}",3,4.422955409262355,16722.794353439756,3382,4.944646467604896
E_log,P00,"{""lambda"":0.1}",3,4.65516985301707,18013.993706721645,3382,5.326432201869203
E_log,P00,"{""lambda"":0}",3,4.418944827040995,16711.224526027356,3382,4.94122546600454
E_log,P02,"{""lambda"":0.001}",3,4.374690593229252,16753.51555602542,3382,4.953730205802904
E_log,P02,"{""lambda"":0.1}",3,4.416962314453723,16823.162560777535,3382,4.974323643044806
E_log,P02,"{""lambda"":0}",3,4.38246928229528,16804.856788250723,3382,4.9689109367979665
E_log,S01,"{""lambda"":0.001}",3,5.012334619800478,17806.195944635696,3382,5.26498993040677
E_log,S01,"{""lambda"":0.1}",3,6.550538630014882,20927.47983222972,3382,6.187900600895837
E_log,S01,"{""lambda"":0}",3,9811.911881010614,15013173.072229706,3382,4439.140470795301
E_log,S02,"{""lambda"":0.001}",3,5.9715199512851465,23440.317902399205,3382,6.930904169840096
E_log,S02,"{""lambda"":0.1}",3,6.430243000914813,20221.7279729264,3382,5.979221754265642
E_log,S02,"{""lambda"":0}",3,7601.597325008449,11694399.755217193,3382,3457.835527858425
E_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":3}",3,7.154502055638967,22757.159976786188,3382,6.728905965933231
E_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":5}",3,8.257203523420634,26994.715318185135,3382,7.981879159723577
E_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":3}",3,7.933273337435691,30688.56059489601,3382,9.074086515344769
E_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",3,7.237970759030499,21620.28531709579,3382,6.392751424333468
