task,model,config,validation_group,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
E_log,B00,{},P1,3110,270,ok,270,4.4496704879945534,2.109424207691415,1.8849938439244072,-0.12128600833383052,2.2553727869836906,2.9491356936296143,-0.6937629066459238,0.0,,,,,1201.4110317585294,129.9528820722062,1071.4581496863234
E_log,B00,{},P2,777,2603,ok,2603,6.102897893108103,2.470404398698339,2.0287455726056227,-0.16152245738169868,3.1054919247043675,2.1842563444893544,0.9212355802150136,1.9373851864155306e-16,,,,,15885.843215760391,2209.1010100434037,13676.742205716988
E_log,B00,{},P3,2873,509,ok,509,4.712845630408964,2.170908941067995,1.9399450428939058,-0.20000946191561186,2.139311737452243,3.025599071524909,-0.8862873340726661,2.240892117879097e-16,,,,,2398.8384258781625,399.82216641565554,1999.0162594625072
E_log,B01,"{""lambda"":0}",P1,3110,270,ok,270,8.990940630843136,2.9984897249854194,2.649613220613478,-1.265654492467419,2.2553727869836906,4.486488436441084,-2.2311156494573936,0.34859762583462073,0.15814249628360635,0.19348940418377572,0.2200620782902094,0.4536533945260752,2427.5539703276468,1344.0268011384956,1083.5271691891512
E_log,B01,"{""lambda"":0}",P2,777,2603,ok,2603,21.382503522583203,4.624121919087256,4.05261723235042,-3.0695843960572944,3.1054919247043675,7.125806489130241,-4.020314564425874,0.18436341922667043,0.11006601647678411,0.1076961157086896,-1.1486553336446135,0.5970057234697981,55658.65666928408,42072.1046996213,13586.551969662774
E_log,B01,"{""lambda"":0}",P3,2873,509,ok,509,29701.929529215016,172.34247743726738,172.33026028520345,-7561.86101166352,2.139311737452243,-170.19094854775122,172.33026028520345,0.373777606336687,0.09029883352167901,0.13492258722316122,43.25478754251417,0.2415843859846987,15118282.130370444,15116138.77247268,2143.357897766062
E_log,B01,"{""lambda"":0.001}",P1,3110,270,ok,270,4.241368350358713,2.059458266233796,1.7795009772094583,-0.06879531872720235,2.2553727869836906,2.731904107261683,-0.47653132027799244,0.3517561847440275,0.15942890121096717,0.19739675077863525,1.017172894773115,0.453236952541384,1145.1694545968526,61.31216678558939,1083.8572878112634
E_log,B01,"{""lambda"":0.001}",P2,777,2603,ok,2603,6.1606497085579,2.4820656132660757,2.1935203048313863,-0.1725139620364391,3.1054919247043675,4.095227278771486,-0.9897353540671188,0.17926892412397202,0.12846437749278228,0.12594476609249727,0.17084596958597897,0.7166014864012,16036.171191376212,2549.83651304822,13486.334678327996
E_log,B01,"{""lambda"":0.001}",P3,2873,509,ok,509,5.449466278379738,2.3344091925752304,2.0473411314469945,-0.38757167309939566,2.139311737452243,3.2961343921898028,-1.1568226547375595,0.344843380099907,0.10453241950406537,0.12735573727800104,1.1401540823847771,0.3031301325076344,2773.778335695287,681.1634751476539,2092.614860547633
E_log,B01,"{""lambda"":0.1}",P1,3110,270,ok,270,4.4409615594652525,2.107358906182156,1.8643655239674146,-0.11909141892910236,2.2553727869836906,2.9552990487173143,-0.6999262617336237,0.2833348556692343,0.14936002101663684,0.18301426492278225,0.6974863526292794,0.5271501830011346,1199.0596210556182,132.2721284033894,1066.7874926522288
