outer_group,task,model,config,inner_macro_mse
P1,E_log,B00,{},5.078645362879449
P1,E_log,B01,"{""lambda"":0.1}",6.551749151899477
P1,E_log,G02,"{""lambda"":0.001}",4.428711321627478
P1,E_log,P00,"{""lambda"":0.001}",4.517053708963683
P1,E_log,P02,"{""lambda"":0.1}",4.461712742453524
P1,E_log,S01,"{""lambda"":0.1}",5.066314561797739
P1,E_log,S02,"{""lambda"":0.1}",4.930484299604557
P1,E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",4.7878060665745545
P1,E_log,S04,"{""control_lambda"":0.1}",4.766467949353714
P1,E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",4.337087981262787
P1,E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.588412112591232
P1,R_log,B00,{},2.9776226060752142
P1,R_log,B01,"{""lambda"":0.1}",2.7420970527177415
P1,R_log,G02,"{""lambda"":0}",2.479027825673495
P1,R_log,P00,"{""lambda"":0}",2.8651515556969467
P1,R_log,P02,"{""lambda"":0.001}",2.8964720299078675
P1,R_log,S01,"{""lambda"":0.001}",2.887071555383412
P1,R_log,S02,"{""lambda"":0.001}",2.7739953358932556
P1,R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",2.5719380563186083
P1,R_log,S04,"{""control_lambda"":0.1}",2.5388018088993
P1,R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",2.481334259338754
P1,R_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",2.7365529911739648
P1,R_C_log,B00,{},2.9776226060752142
P1,R_C_log,B01,"{""lambda"":0.1}",2.8392977344800365
P1,R_C_log,G02,"{""lambda"":0.001}",2.4145720603009306
P1,R_C_log,P00,"{""lambda"":0}",2.7846689689027952
P1,R_C_log,P02,"{""lambda"":0.001}",2.7768090718029597
P1,R_C_log,S01,"{""lambda"":0.1}",2.989134761524988
P1,R_C_log,S02,"{""lambda"":0.1}",2.868901144918139
P1,R_C_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",2.757182726258016
P1,R_C_log,S04,"{""control_lambda"":0.1}",2.5882014201076786
P1,R_C_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",2.197035624962437
P1,R_C_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",2.6250771124784875
P2,E_log,B00,{},4.517108573802103
P2,E_log,B01,"{""lambda"":0.1}",6.293807053257389
P2,E_log,G02,"{""lambda"":0}",4.0713785321858875
P2,E_log,P00,"{""lambda"":0}",4.110525105374547
P2,E_log,P02,"{""lambda"":0.001}",4.11835173803495
P2,E_log,S01,"{""lambda"":0.1}",5.11442645964129
P2,E_log,S02,"{""lambda"":0.1}",4.990296710778308
P2,E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",4.889577322504964
P2,E_log,S04,"{""control_lambda"":0.1}",4.793417005423545
P2,E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",4.0480708555615355
P2,E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.332564352268881
P2,R_log,B00,{},1.5767305951767616
P2,R_log,B01,"{""lambda"":0.1}",1.7186325816757257
P2,R_log,G02,"{""lambda"":0.1}",1.5650301951134842
P2,R_log,P00,"{""lambda"":0.1}",1.5715026695752927
P2,R_log,P02,"{""lambda"":0}",1.5569896925731497
P2,R_log,S01,"{""lambda"":0.1}",1.700720173293253
P2,R_log,S02,"{""lambda"":0.1}",1.6880039335156587
P2,R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",1.662630096987543
P2,R_log,S04,"{""control_lambda"":0.1}",1.7351064277224586
P2,R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",1.574222556795041
P2,R_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",1.6349860240166652
P2,R_C_log,B00,{},1.5767305951767616
P2,R_C_log,B01,"{""lambda"":0.1}",1.6781233753549738
P2,R_C_log,G02,"{""lambda"":0.001}",1.4927099093537222
P2,R_C_log,P00,"{""lambda"":0.001}",1.4975149474586624
P2,R_C_log,P02,"{""lambda"":0.001}",1.4933219688860664
P2,R_C_log,S01,"{""lambda"":0.1}",1.6643416508562874
P2,R_C_log,S02,"{""lambda"":0.1}",1.6530752275265068
P2,R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",1.6275708002749076
P2,R_C_log,S04,"{""control_lambda"":0.1}",1.6954825328571173
P2,R_C_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",1.3305381765146966
P2,R_C_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",1.4599909231551844
P3,E_log,B00,{},5.044176620660969
P3,E_log,B01,"{""lambda"":0.1}",5.103623969849406
P3,E_log,G02,"{""lambda"":0.001}",4.432548142833706
P3,E_log,P00,"{""lambda"":0.001}",4.520921617552867
P3,E_log,P02,"{""lambda"":0.1}",4.485101493183825
P3,E_log,S01,"{""lambda"":0.1}",4.788498275525246
P3,E_log,S02,"{""lambda"":0.1}",4.819332602655302
P3,E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",4.618020760528523
P3,E_log,S04,"{""control_lambda"":0.1}",4.780783699596672
P3,E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",4.365510095069332
P3,E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.668049463567151
P3,R_log,B00,{},3.0198136710868804
P3,R_log,B01,"{""lambda"":0.1}",3.0700357448311237
P3,R_log,G02,"{""lambda"":0}",2.4397902973388548
P3,R_log,P00,"{""lambda"":0.1}",2.9751987705867804
P3,R_log,P02,"{""lambda"":0.1}",2.931504522139376
P3,R_log,S01,"{""lambda"":0.1}",2.9618348202878155
P3,R_log,S02,"{""lambda"":0.1}",2.907724930419562
P3,R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",2.8988517129767972
P3,R_log,S04,"{""control_lambda"":0.1}",2.878085792684511
P3,R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",2.4148798795501323
P3,R_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",2.5539730827784917
P3,R_C_log,B00,{},3.0198136710868804
P3,R_C_log,B01,"{""lambda"":0.1}",3.2140342439337646
P3,R_C_log,G02,"{""lambda"":0}",2.362882579443002
P3,R_C_log,P00,"{""lambda"":0}",2.8793198580355943
P3,R_C_log,P02,"{""lambda"":0.001}",2.792089431710783
P3,R_C_log,S01,"{""lambda"":0.1}",3.041008746183034
P3,R_C_log,S02,"{""lambda"":0.1}",2.9803321257256172
P3,R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",2.950356904200134
P3,R_C_log,S04,"{""control_lambda"":0.1}",2.938300419223733
P3,R_C_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",2.169701516154921
P3,R_C_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",2.5406967088386523
P4,E_log,B00,{},4.892568923206376
P4,E_log,B01,"{""lambda"":0.1}",4.667250718572909
P4,E_log,G02,"{""lambda"":0.001}",4.285240131205427
P4,E_log,P00,"{""lambda"":0.001}",4.342379960656769
P4,E_log,P02,"{""lambda"":0.1}",4.2952413774628715
P4,E_log,S01,"{""lambda"":0.1}",4.412637336070034
P4,E_log,S02,"{""lambda"":0.1}",4.380609760807019
P4,E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",4.314881051842497
P4,E_log,S04,"{""control_lambda"":0.1}",4.3314847141961055
P4,E_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",4.260564913307383
P4,E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.401221146382015
P4,R_log,B00,{},2.8256849163697884
P4,R_log,B01,"{""lambda"":0.1}",2.8204950848954145
P4,R_log,G02,"{""lambda"":0}",2.2951837916568745
P4,R_log,P00,"{""lambda"":0}",2.724885982116959
P4,R_log,P02,"{""lambda"":0.001}",2.695603035986675
P4,R_log,S01,"{""lambda"":0.1}",2.8572743863737124
P4,R_log,S02,"{""lambda"":0.1}",2.809973697615204
P4,R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",2.7412213882433556
P4,R_log,S04,"{""control_lambda"":0.1}",2.715784478885846
P4,R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",2.2941270539598873
P4,R_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",2.754396292524399
P4,R_C_log,B00,{},2.8256849163697884
P4,R_C_log,B01,"{""lambda"":0.1}",2.8841706866695698
P4,R_C_log,G02,"{""lambda"":0.001}",2.278851415008013
P4,R_C_log,P00,"{""lambda"":0}",2.711463263012093
P4,R_C_log,P02,"{""lambda"":0.001}",2.6434135303314372
P4,R_C_log,S01,"{""lambda"":0.1}",2.875784038820872
P4,R_C_log,S02,"{""lambda"":0.1}",2.8182921345891705
P4,R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",2.7264960538666134
P4,R_C_log,S04,"{""control_lambda"":0.1}",2.7273323700302106
P4,R_C_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",2.1076660332471016
P4,R_C_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",2.5275214782493247
P5,E_log,B00,{},5.007931803577463
P5,E_log,B01,"{""lambda"":0.1}",4.731022023785712
P5,E_log,G02,"{""lambda"":0.001}",4.269011083656796
P5,E_log,P00,"{""lambda"":0}",4.373599785168903
P5,E_log,P02,"{""lambda"":0.1}",4.375294955960443
P5,E_log,S01,"{""lambda"":0.1}",4.712540903265037
P5,E_log,S02,"{""lambda"":0.1}",4.562056212807861
P5,E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",4.3465089374094426
P5,E_log,S04,"{""control_lambda"":0.1}",4.462972991173883
P5,E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.2393328120407086
P5,E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.306409180524521
P5,R_log,B00,{},2.871964563087125
P5,R_log,B01,"{""lambda"":0.1}",2.8631497086699698
P5,R_log,G02,"{""lambda"":0}",2.2815267758972677
P5,R_log,P00,"{""lambda"":0}",2.7663838099737323
P5,R_log,P02,"{""lambda"":0}",2.8384046080974192
P5,R_log,S01,"{""lambda"":0.1}",2.8356557310860984
P5,R_log,S02,"{""lambda"":0.1}",2.731884591109561
P5,R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",2.4007907615688064
P5,R_log,S04,"{""control_lambda"":0.1}",2.7839429813570677
P5,R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",2.311253695940502
P5,R_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",2.259673479353172
P5,R_C_log,B00,{},2.871964563087125
P5,R_C_log,B01,"{""lambda"":0.1}",2.9148626432858533
P5,R_C_log,G02,"{""lambda"":0}",2.203775532171329
P5,R_C_log,P00,"{""lambda"":0}",2.66304789230478
P5,R_C_log,P02,"{""lambda"":0.001}",2.6834479167794907
P5,R_C_log,S01,"{""lambda"":0.1}",2.8902335968873274
P5,R_C_log,S02,"{""lambda"":0.1}",2.784602696368179
P5,R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",2.44457039025595
P5,R_C_log,S04,"{""control_lambda"":0.1}",2.820307868990156
P5,R_C_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",2.000295186277369
P5,R_C_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",2.1697004300506935
