path,task,model,split,train_n,test_n,model_sha256,fit_ids_sha256,model_path,fit_ids_path
development,E_log,B00,P1,3110,270,f9378bad8f7906b13701b6c99f80eb6abbd9b75033197e6f0a97b83bc7f3800a,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P1.fit_ids.parquet
development,E_log,B00,P2,777,2603,6ed4d2b11a30d46ceb4edea99f999d55a99353b6a76a0baea92b5cf9af1c8e51,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P2.fit_ids.parquet
development,E_log,B00,P3,2873,509,30ef750b62e52b20d785336fd411d6c646f2e785cb09e39bf76219df067e72ca,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P3.fit_ids.parquet
time_frozen,E_log,B00,P4_P5,3380,1070,fb6950b9d7cbfe5ffa9ce7fd2d500aa09168b96aac0d9527f3ec38a534783163,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\B00.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\B00.fit_ids.parquet
development,E_log,B01,P1,3110,270,730b23371209b12090118617ce6bbabd3819e86e1379ceba3a6926d0d870f111,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P1.fit_ids.parquet
development,E_log,B01,P2,777,2603,6db24d2404e838d733dcc155985523b2fdcb3afbe31539d7999fe2a5d2af4fe9,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P2.fit_ids.parquet
development,E_log,B01,P3,2873,509,7ad4628e2254866eefda5e41c4fc4e45cfa89fa2a3942cdaf630cdf3ef8064ef,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P3.fit_ids.parquet
time_frozen,E_log,B01,P4_P5,3380,1070,32250772148a5aa1f4fcf7f699c29463163bf8eaee9dc2359222ef938859aaf5,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\B01.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\B01.fit_ids.parquet
development,E_log,G02,P1,49564,270,325f25d039850cf11065ac479f99bb9b8915156290a82045c903533703c10fd5,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P1.fit_ids.parquet
development,E_log,G02,P2,47038,2603,28980c3335f066b6690dbb8e8551f03190496551cc8ec6ab86f376b936946e39,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P2.fit_ids.parquet
development,E_log,G02,P3,49285,509,71efe9cff29c982a0b731c23b417ae3885cad8ea87341b18a8543bd13104220d,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P3.fit_ids.parquet
