protected_group,cause_group,n
P1,non_fault_or_unknown,233
P1,technical_asset,211
P1,weather_natural,87
P1,third_party,31
P1,external_or_customer,10
P1,human_error,2
P2,weather_natural,2376
P2,non_fault_or_unknown,752
P2,technical_asset,610
P2,third_party,60
P2,external_or_customer,35
P2,human_error,3
P3,technical_asset,465
P3,non_fault_or_unknown,451
P3,weather_natural,90
P3,third_party,49
P3,external_or_customer,31
P3,human_error,3
P4,technical_asset,389
P4,non_fault_or_unknown,308
P4,weather_natural,225
P4,third_party,43
P4,external_or_customer,25
P5,weather_natural,380
P5,non_fault_or_unknown,246
P5,technical_asset,168
P5,third_party,9
P5,external_or_customer,8
