protected_group,task,n,unique_LAD,regional_proxy_n,missing_gust_n,recovery_crosses_window_end_n,gust_n,gust_mean,gust_sd,gust_p50,gust_p95,gust_max,C_n,C_mean,C_sd,C_p50,C_p95,C_max,D_hours_n,D_hours_mean,D_hours_sd,D_hours_p50,D_hours_p95,D_hours_max
P1,E_log,270,87,7,0,20,270,13.836666649359245,4.451901949714774,13.300000190734863,20.655000591278075,22.200000762939453,270.0,92.81851851851852,318.313726772931,3.0,404.7499999999999,2837.0,270.0,11.019012345679014,34.01690143869869,5.875,25.54,524.8166666666667
P1,R_log,270,87,7,0,20,270,13.836666649359245,4.451901949714774,13.300000190734863,20.655000591278075,22.200000762939453,270.0,92.81851851851852,318.313726772931,3.0,404.7499999999999,2837.0,270.0,11.019012345679014,34.01690143869869,5.875,25.54,524.8166666666667
P1,R_C_log,270,87,7,0,20,270,13.836666649359245,4.451901949714774,13.300000190734863,20.655000591278075,22.200000762939453,270.0,92.81851851851852,318.313726772931,3.0,404.7499999999999,2837.0,270.0,11.019012345679014,34.01690143869869,5.875,25.54,524.8166666666667
P2,E_log,2603,106,68,0,612,2603,20.997771816532108,6.856958616692242,20.700000762939453,32.400001525878906,39.400001525878906,2603.0,201.79715712639262,552.256976611756,14.0,983.8000000000002,14171.0,2603.0,48.50658855167114,69.75363934442173,27.55,125.24166666666667,1728.3
P2,R_log,2603,106,68,0,612,2603,20.997771816532108,6.856958616692242,20.700000762939453,32.400001525878906,39.400001525878906,2603.0,201.79715712639262,552.256976611756,14.0,983.8000000000002,14171.0,2603.0,48.50658855167114,69.75363934442173,27.55,125.24166666666667,1728.3
P2,R_C_log,2603,106,68,0,612,2603,20.997771816532108,6.856958616692242,20.700000762939453,32.400001525878906,39.400001525878906,2603.0,201.79715712639262,552.256976611756,14.0,983.8000000000002,14171.0,2603.0,48.50658855167114,69.75363934442173,27.55,125.24166666666667,1728.3
P3,E_log,509,106,7,0,29,509,9.636935173411267,4.035576444960439,9.100000381469727,16.66000061035156,22.799999237060547,509.0,111.38703339882122,642.8257358584284,2.0,476.9999999999995,12774.0,509.0,14.911067452521284,86.08695733553151,6.416666666666667,31.259999999999987,1890.4666666666667
P3,R_log,509,106,7,0,29,509,9.636935173411267,4.035576444960439,9.100000381469727,16.66000061035156,22.799999237060547,509.0,111.38703339882122,642.8257358584284,2.0,476.9999999999995,12774.0,509.0,14.911067452521284,86.08695733553151,6.416666666666667,31.259999999999987,1890.4666666666667
P3,R_C_log,509,106,7,0,29,509,9.636935173411267,4.035576444960439,9.100000381469727,16.66000061035156,22.799999237060547,509.0,111.38703339882122,642.8257358584284,2.0,476.9999999999995,12774.0,509.0,14.911067452521284,86.08695733553151,6.416666666666667,31.259999999999987,1890.4666666666667
P4,E_log,576,106,7,0,33,576,14.793923614339697,6.107450722191006,14.349999904632568,25.949999809265137,32.5,,,,,,,,,,,,
P4,R_log,576,106,7,0,33,576,14.793923614339697,6.107450722191006,14.349999904632568,25.949999809265137,32.5,,,,,,,,,,,,
P4,R_C_log,576,106,7,0,33,576,14.793923614339697,6.107450722191006,14.349999904632568,25.949999809265137,32.5,,,,,,,,,,,,
P5,E_log,494,95,13,0,54,494,16.83299597168741,6.216116600197419,15.600000381469727,26.600000381469727,29.600000381469727,,,,,,,,,,,,
P5,R_log,494,95,13,0,54,494,16.83299597168741,6.216116600197419,15.600000381469727,26.600000381469727,29.600000381469727,,,,,,,,,,,,
P5,R_C_log,494,95,13,0,54,494,16.83299597168741,6.216116600197419,15.600000381469727,26.600000381469727,29.600000381469727,,,,,,,,,,,,
