Incident Reference,Spatial Coordinates,Cause Code,licence_area,regulatory_year,substation,SiteFunctionalLocation
FREP-10003-I,1,1,1,1,1,1
FREP-10019-I,1,1,1,1,1,1
FREP-10034-I,1,1,1,1,1,1
FREP-10043-I,1,1,1,1,1,1
FREP-10054-I,1,1,1,1,1,1
FREP-10063-I,1,1,1,1,1,1
FREP-10074-I,1,1,1,1,1,1
FREP-10074-O,1,1,1,1,1,1
FREP-10082-I,1,1,1,1,1,1
FREP-10087-I,1,1,1,1,1,1
FREP-10087-O,1,1,1,1,1,1
FREP-10112-I,1,1,1,1,1,1
FREP-10117-I,1,1,1,1,1,1
FREP-10127-L,1,1,1,1,1,1
FREP-10233-L,1,1,1,1,1,1
FREP-10252-O,1,1,1,1,1,1
FREP-10275-O,1,1,1,1,1,1
FREP-102775-G,1,1,1,1,1,1
FREP-10297-O,1,1,1,1,1,1
FREP-10304-O,1,1,1,1,1,1
FREP-10469-O,1,1,1,1,1,1
FREP-10484-O,1,1,1,1,1,1
FREP-10543-L,1,1,1,1,1,1
FREP-10569-O,1,1,1,1,1,1
FREP-10571-O,1,1,1,1,1,1
FREP-10608-L,1,1,1,1,1,1
FREP-10612-L,1,1,1,1,1,1
FREP-10614-L,1,1,1,1,1,1
FREP-10778-L,1,1,1,1,1,1
FREP-10779-L,1,1,1,1,1,1
FREP-10786-L,1,1,1,1,1,1
FREP-10787-L,1,1,1,1,1,1
FREP-10795-L,1,1,1,1,1,1
FREP-10800-L,1,1,1,1,1,1
FREP-10807-L,1,1,1,1,1,1
FREP-10967-L,1,1,1,1,1,1
FREP-11043-L,1,1,1,1,1,1
FREP-11044-L,1,1,1,1,1,1
FREP-11056-L,1,1,1,1,1,1
FREP-11066-L,1,1,1,1,1,1
FREP-11156-L,1,1,1,1,1,1
FREP-11350-O,1,1,1,1,1,1
FREP-11610-O,1,1,1,1,1,1
FREP-11680-O,1,1,1,1,1,1
FREP-119011-Z,1,1,1,1,1,1
FREP-1190301-A,1,1,1,1,1,1
FREP-11905-O,1,1,1,1,1,1
FREP-120637-Z,1,1,1,1,1,1
FREP-12066-O,1,1,1,1,1,1
FREP-12140-O,1,1,1,1,1,1
FREP-12311-O,1,1,1,1,1,1
FREP-12333-O,1,1,1,1,1,1
FREP-12511-O,1,1,1,1,1,1
FREP-12552-O,1,1,1,1,1,1
FREP-12553-O,1,1,1,1,1,1
FREP-12556-O,1,1,1,1,1,1
FREP-12558-O,1,1,1,1,1,1
FREP-125605-Z,1,1,1,1,1,1
FREP-13070-O,1,1,1,1,1,1
FREP-13071-O,1,1,1,1,1,1
FREP-13073-O,1,1,1,1,1,1
FREP-13080-W,1,1,1,1,1,1
FREP-13081-O,1,1,1,1,1,1
FREP-13157-W,1,1,1,1,1,1
FREP-13158-O,1,1,1,1,1,1
FREP-13164-O,1,1,1,1,1,1
FREP-13175-W,1,1,1,1,1,1
FREP-13233-W,1,1,1,1,1,1
FREP-13243-W,1,1,1,1,1,1
FREP-13255-W,1,1,1,1,1,1
FREP-13257-W,1,1,1,1,1,1
FREP-13271-W,1,1,1,1,1,1
FREP-13320-W,1,1,1,1,1,1
FREP-13365-O,1,1,1,1,1,1
FREP-13382-O,1,1,1,1,1,1
FREP-13386-W,1,1,1,1,1,1
FREP-13396-O,1,1,1,1,1,1
FREP-13402-W,1,1,1,1,1,1
FREP-134857-Z,1,1,1,1,1,1
FREP-13494-W,1,1,1,1,1,1
FREP-13496-W,1,1,1,1,1,1
FREP-13502-W,1,1,1,1,1,1
FREP-13604-O,1,1,1,1,1,1
FREP-13608-O,1,1,1,1,1,1
FREP-13633-W,1,1,1,1,1,1
FREP-13646-O,1,1,1,1,1,1
FREP-13720-W,1,1,1,1,1,1
FREP-13744-W,1,1,1,1,1,1
FREP-13758-O,1,1,1,1,1,1
FREP-13765-O,1,1,1,1,1,1
FREP-13770-O,1,1,1,1,1,1
FREP-13810-W,1,1,1,1,1,1
FREP-13823-W,1,1,1,1,1,1
FREP-13841-W,1,1,1,1,1,1
FREP-13873-O,1,1,1,1,1,1
FREP-13875-O,1,1,1,1,1,1
FREP-13895-O,1,1,1,1,1,1
FREP-13896-O,1,1,1,1,1,1
FREP-13911-W,1,1,1,1,1,1
FREP-13989-W,1,1,1,1,1,1
FREP-14052-W,1,1,1,1,1,1
FREP-14069-W,1,1,1,1,1,1
FREP-14081-W,1,1,1,1,1,1
FREP-14088-W,1,1,1,1,1,1
FREP-14089-W,1,1,1,1,1,1
FREP-14095-W,1,1,1,1,1,1
FREP-14105-W,1,1,1,1,1,1
FREP-14109-W,1,1,1,1,1,1
FREP-14111-W,1,1,1,1,1,1
FREP-14115-W,1,1,1,1,1,1
FREP-14122-W,1,1,1,1,1,1
FREP-14126-W,1,1,1,1,1,1
FREP-14144-W,1,1,1,1,1,1
FREP-14172-W,1,1,1,1,1,1
FREP-14178-W,1,1,1,1,1,1
FREP-14185-W,1,1,1,1,1,1
FREP-14188-W,1,1,1,1,1,1
