sample,transition,reason,events
main_E0,exit,event_identity_unresolved;cause_not_main_or_unresolved;weather_numeric_unavailable,1
main_E0,enter_multi_flag,old_four_weather_incomplete,0
main_E0,enter_multi_flag,new_population_available_old_missing,0
main_E0,enter_multi_flag,old_outside_UTC_study,0
main_E0,enter_multi_flag,R1_compat_would_exclude,0
main_E0,enter_multi_flag,new_time_changed,0
main_E0,enter_multi_flag,new_weather_changed,0
main_R0c,enter_multi_flag,old_four_weather_incomplete,0
main_R0c,enter_multi_flag,new_population_available_old_missing,0
main_R0c,enter_multi_flag,old_outside_UTC_study,0
main_R0c,enter_multi_flag,R1_compat_would_exclude,602
main_R0c,enter_multi_flag,new_time_changed,85
main_R0c,enter_multi_flag,new_weather_changed,85
weather_E0,enter_multi_flag,old_four_weather_incomplete,0
weather_E0,enter_multi_flag,new_population_available_old_missing,0
weather_E0,enter_multi_flag,old_outside_UTC_study,0
weather_E0,enter_multi_flag,R1_compat_would_exclude,0
weather_E0,enter_multi_flag,new_time_changed,0
weather_E0,enter_multi_flag,new_weather_changed,0
weather_R0c,enter_multi_flag,old_four_weather_incomplete,0
weather_R0c,enter_multi_flag,new_population_available_old_missing,0
weather_R0c,enter_multi_flag,old_outside_UTC_study,0
weather_R0c,enter_multi_flag,R1_compat_would_exclude,99
weather_R0c,enter_multi_flag,new_time_changed,14
weather_R0c,enter_multi_flag,new_weather_changed,14
