gust_decile,n,gust_min,gust_max,pct_weather_natural
0,6289,0.5,4.1999998092651367,6.9327397042455079
1,5907,4.3000001907348633,5.5,8.0582359911968862
2,6161,5.5999999046325684,6.6999998092651367,9.1868203213764001
3,6011,6.8000001907348633,7.8000001907348633,10.098153385459991
4,6385,7.9000000953674316,9,10.618637431480032
5,5850,9.1000003814697283,10.199999809265137,10.888888888888888
6,5912,10.300000190734863,11.600000381469728,12.415426251691475
7,6086,11.699999809265137,13.600000381469728,15.165954650016431
8,5855,13.699999809265137,16.799999237060547,23.535439795046969
9,5997,16.899999618530273,39.400001525878906,57.06186426546607
