combination,model_id,family,n,k,n_columns,aic,bic,adj_r2,rmse,knots,full_action,full_source,sample_id_sha256,status,cache_used,LAD_OOF_RMSE,LAD_OOF_n,LAD_OOF_action,LAD_OOF_source,LAD_OOF_knots,random_OOF_RMSE,random_OOF_n,random_OOF_action,random_OOF_source,random_OOF_knots,year_holdout_RMSE,year_holdout_n,year_holdout_action,year_holdout_source,year_holdout_knots,delta_BIC_best_nonFE,delta_AIC_best_nonFE
E0_all,F01,matched,60437,27,27,254311.21944661313,254554.47207965024,0.034984538398671994,1.9828817420388809,[],REFIT,APP-C-COMPLETE,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9872478907816467,60437,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/quadratic,none_or_fixed10.8,,,,,,,,,,,138.35492568960763,138.35492568960763
E0_all,F02,matched,60437,28,28,254221.90599539498,254474.16798521124,0.036425515810125542,1.9813843530161344,[],REFIT,APP-C-COMPLETE,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9856983185077843,60437,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,58.050831250613555,49.041474471450783
E0_all,F03,matched,60437,26,26,254536.91425749904,254771.15753375698,0.031358045189538108,1.9866204897957185,[],REFIT,APP-C-COMPLETE,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9910713770060258,60437,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,355.04037979635177,364.04973657551454
E0_all,F04,matched,60437,29,29,254285.6647216389,254546.9360682343,0.035424397767908178,1.9823969697917874,[],REFIT,APP-C-COMPLETE,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.986661188002425,60437,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,130.81891427366645,112.80020071537001
E0_all,F05,matched,60437,27,27,254237.31632629561,254480.56895933271,0.036163850202281744,1.9816697662707403,[],REFIT,APP-C-COMPLETE,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9858436812057567,60437,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,64.451805372082163,64.451805372082163
E0_all,F06,matched,60437,27,27,254215.45999108491,254458.71262412201,0.036512347270538648,1.9813114748011003,[13.0],REFIT,APP-C-COMPLETE,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.98550706416819,60437,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,42.595470161380945,42.595470161380945
E0_all,F07,matched,60437,28,28,254173.39055235515,254425.65254217142,0.037198709128535956,1.9805892403301442,"[14.0, 26.0]",REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#all/two_hinge,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9850602661014722,60437,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/two_hinge,train_selected,,,,,,,,,,,9.5353882107883692,0.52603143162559718
E0_all,F08,matched,60437,27,27,254172.86452092353,254416.11715396063,0.03719116571898895,1.9806133922907529,"[14.0, 25.0]",DERIVE,results/new/20260909183317/results/final_models/final_summary.json#E0/final,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.984977852482861,60437,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/ramp,train_selected,,,,,,,,,,,0,0
E0_weather,F01,matched,9857,27,27,43236.547494396524,43430.837797221488,0.046134647342362389,2.1630349138946574,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1744978527896999,9857,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#weather/nested_cv/quadratic,none_or_fixed10.8,,,,,,,,,,,65.811524928714789,70.323643870811793
E0_weather,F02,matched,9857,28,28,43173.729191627892,43375.215431594523,0.052290148924581281,2.1559346798838046,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1671684323917595,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,10.189159301749896,7.5053411021799548
