combination,model_id,prediction_type,n,k,sse,aic,bic,r2,adj_r2,rmse,n_columns,knots,component_action,source,predictions_saved,knots_mode
E0_all,H01,in_sample,60437,5,243365.62270526553,255709.30723560823,255754.35401950398,0.012106564948569654,0.012041176185328295,2.0066802029279351,5,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M1_weather_linear,True,none_or_fixed10.8
E0_all,H01,LAD_OOF,60437,,,,,,,2.0072404653146694,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M1_weather_linear/cv_lad,False,none_or_fixed10.8
E0_all,H01,random_OOF,48324,,,,,,,2.0181376097638002,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M1_weather_linear/cv_random,False,none_or_fixed10.8
E0_all,H01,year_holdout,60437,,,,,,,2.0116507940743547,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M1_weather_linear/cv_year,False,none_or_fixed10.8
E0_all,H02,in_sample,60437,6,240422.17036650289,254975.87890675711,255029.93504743202,0.024054913320566196,0.023974164608259629,1.9945081139761325,6,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M2_+gust_sq,True,none_or_fixed10.8
E0_all,H02,LAD_OOF,60437,,,,,,,1.9951358695010932,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M2_+gust_sq/cv_lad,False,none_or_fixed10.8
E0_all,H02,random_OOF,48324,,,,,,,2.003591714679005,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M2_+gust_sq/cv_random,False,none_or_fixed10.8
E0_all,H02,year_holdout,60437,,,,,,,1.9973992174946895,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M2_+gust_sq/cv_year,False,none_or_fixed10.8
E0_all,H03,in_sample,60437,7,240355.67030567324,254961.15989909082,255024.22539654488,0.024324856843377152,0.024227983587395974,1.994232257378596,7,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M3_+gust_x_pressure,True,none_or_fixed10.8
E0_all,H03,LAD_OOF,60437,,,,,,,1.9948917073174612,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M3_+gust_x_pressure/cv_lad,False,none_or_fixed10.8
E0_all,H03,random_OOF,48324,,,,,,,2.0039865712114251,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M3_+gust_x_pressure/cv_random,False,none_or_fixed10.8
E0_all,H03,year_holdout,60437,,,,,,,1.9975057328138448,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M3_+gust_x_pressure/cv_year,False,none_or_fixed10.8
E0_all,H04,in_sample,60437,12,238678.55483104408,254547.97409417256,254656.0863755224,0.031132767298403974,0.03095639097139169,1.9872625601397944,12,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M4_+socio,True,none_or_fixed10.8
E0_all,H04,LAD_OOF,60437,,,,,,,1.9908757017986281,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M4_+socio/cv_lad,False,none_or_fixed10.8
E0_all,H04,random_OOF,48324,,,,,,,1.9964749233045744,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M4_+socio/cv_random,False,none_or_fixed10.8
E0_all,H04,year_holdout,60437,,,,,,,1.9912894779372521,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M4_+socio/cv_year,False,none_or_fixed10.8
E0_all,H05,in_sample,60437,26,237969.46225472121,254396.15394129584,254630.39721755378,0.034011184936878158,0.03361142793274674,1.9843083749511039,26,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M5_+year_month_FE,True,none_or_fixed10.8
E0_all,H05,LAD_OOF,60437,,,,,,,1.9886822659446699,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M5_+year_month_FE/cv_lad,False,none_or_fixed10.8
E0_all,H05,random_OOF,48324,,,,,,,1.9944528283695551,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M5_+year_month_FE/cv_random,False,none_or_fixed10.8
E0_all,H05,year_holdout,60437,,,,,,,1.993984242057619,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M5_+year_month_FE/cv_year,False,none_or_fixed10.8
E0_all,H06,in_sample,60437,27,237612.96865192385,254307.54753320548,254550.80016624258,0.035458298485318229,0.035043167145484055,1.98282150692244,27,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A1_gust_cubic,True,none_or_fixed10.8
E0_all,H06,LAD_OOF,60437,,,,,,,1.9871457763390228,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A1_gust_cubic/cv_lad,False,none_or_fixed10.8
E0_all,H06,random_OOF,48324,,,,,,,1.9928203169238032,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A1_gust_cubic/cv_random,False,none_or_fixed10.8
