model_id,E0_all,E0_weather,R0c_all,R0c_weather
F01,REFIT,REFIT,REUSE,REFIT
F02,REFIT,REFIT,REFIT,REFIT
F03,REFIT,REFIT,REFIT,REFIT
F04,REFIT,REFIT,REFIT,REFIT
F05,REFIT,REFIT,REFIT,REFIT
F06,REFIT,REFIT,REFIT,REFIT
F07,REUSE,REUSE,REFIT,REFIT
F08,REUSE,REUSE,REFIT,REFIT
H01,REUSE,REFIT,REFIT,REFIT
H02,REUSE,REFIT,REFIT,REFIT
H03,REUSE,REFIT,REFIT,REFIT
H04,REUSE,REFIT,REFIT,REFIT
H05,REUSE,REFIT,REFIT,REFIT
H06,REUSE,REFIT,REFIT,REFIT
H07,REUSE,REFIT,REFIT,REFIT
H08,REUSE,REFIT,REFIT,REFIT
H09,REUSE,REFIT,REFIT,REFIT
H10,REUSE,REFIT,REFIT,REFIT
H11,REUSE,REFIT,REFIT,REFIT
H12,REUSE,REFIT,REFIT,REFIT
H13,REUSE,REFIT,REFIT,REFIT
H14,REUSE,REFIT,REFIT,REFIT
