combination,model_id,n,formula,controls,bic,LAD_RMSE,year_RMSE,knots_mode,source,status,correspondence,source_simplified_bic,full_sample_k1,full_sample_k2
E0_all,MAIN_final,60437,plateau,final,254416.11715396063,1.9847572062476286,1.9897302076515422,global selected knots fixed in CV,results/new/20260909183317/results/final_models/final_summary.json#E0,REUSE,F08 full fit only,,,
E0_all,D_ramp,60437,ramp,M5 + temp squared,,1.984977852482861,,train_selected,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/ramp,REUSE,F08,82903.340891379004,14,25
E0_all,D_two_hinge,60437,two_hinge,M5 + temp squared,,1.9850602661014722,,train_selected,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/two_hinge,REUSE,F07,82912.876279589793,14,26
E0_all,D_quadratic,60437,quadratic,M5 + temp squared,,1.9872478907816467,,no knots,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/quadratic,REUSE,F01,,,
E0_weather,W_paper,9857,quadratic,"M5 non-gust blocks + gust-pressure, no temperature squared",43457.369744093005,2.1784068292120016,,no knots,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/paper,REUSE,H05,,,
E0_weather,W_hinge,9857,plateau,"M5 non-gust blocks + gust-pressure, no temperature squared",43396.909529086821,2.1713940054430343,,global selected knots fixed in CV,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/hinge,REUSE,historical weather build; differs from free-two,,,
E0_weather,W_final,9857,plateau,final controls; see candidate definitions,43365.026272292773,2.1668618569786582,,global selected knots fixed in CV,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/final,REUSE,F08 full fit only,,,
E0_weather,D_ramp,9857,ramp,M5 + temp squared,,2.1678968295880416,,train_selected,results/new/20260909183317/results/model_selection/ramp_model.json#weather/nested_cv/ramp,REUSE,F08,15392.072028695859,11,24
E0_weather,D_two_hinge,9857,two_hinge,M5 + temp squared,,2.1673700151385651,,train_selected,results/new/20260909183317/results/model_selection/ramp_model.json#weather/nested_cv/two_hinge,REUSE,F07,15394.755846895428,11,26
E0_weather,D_quadratic,9857,quadratic,M5 + temp squared,,2.1744978527896999,,no knots,results/new/20260909183317/results/model_selection/ramp_model.json#weather/nested_cv/quadratic,REUSE,F01,,,
R0c_all,MAIN_final,51173,quadratic,final,159553.59870810746,1.1502526389581602,1.1752623352016709,no knots,results/new/20260909183317/results/final_models/final_summary.json#R0c,REUSE,F01,,,
R0c_all,D_ramp,51173,ramp,M5 + temp squared - gust-pressure (no gust-precip),,1.1500950761742432,,train_selected,results/new/20260909183317/results/model_selection/ramp_model_R0c.json#all/nested_cv/ramp,REUSE,"separate original controls, not matched F ranking",14310.731420685574,17,33
R0c_all,D_two_hinge,51173,two_hinge,M5 + temp squared - gust-pressure (no gust-precip),,1.1501715489843705,,train_selected,results/new/20260909183317/results/model_selection/ramp_model_R0c.json#all/nested_cv/two_hinge,REUSE,"separate original controls, not matched F ranking",14313.038954341897,15,20
R0c_all,D_quadratic,51173,quadratic,M5 + temp squared,,1.150381863773603,,no knots,results/new/20260909183317/results/model_selection/ramp_model_R0c.json#all/nested_cv/quadratic,REUSE,"separate original controls, not matched F ranking",,,
R0c_weather,W_paper,9254,quadratic,"M5 non-gust blocks + gust-pressure, no temperature squared",30514.707254343353,1.250445938476036,,no knots,results/new/20260909183317/results/weather_only/weather_only_summary.json#R0c/fits/paper,REUSE,H05,,,
R0c_weather,W_hinge,9254,single hinge,"M5 non-gust blocks + gust-pressure, no temperature squared",30497.697192485328,1.2496658577536097,,global selected knots fixed in CV,results/new/20260909183317/results/weather_only/weather_only_summary.json#R0c/fits/hinge,REUSE,historical weather build; differs from free-two,,,
R0c_weather,W_final,9254,single hinge,final controls; see candidate definitions,30449.455764935672,1.2459205206576509,,global selected knots fixed in CV,results/new/20260909183317/results/weather_only/weather_only_summary.json#R0c/fits/final,REUSE,F06 full fit only,,,
R0c_weather,D_ramp,9254,ramp,M5 + temp squared - gust-pressure (no gust-precip),,1.2478268437439759,,train_selected,results/new/20260909183317/results/model_selection/ramp_model_R0c.json#weather/nested_cv/ramp,REUSE,"separate original controls, not matched F ranking",4191.8051783118572,9,33
R0c_weather,D_two_hinge,9254,two_hinge,M5 + temp squared - gust-pressure (no gust-precip),,1.248302343379124,,train_selected,results/new/20260909183317/results/model_selection/ramp_model_R0c.json#weather/nested_cv/two_hinge,REUSE,"separate original controls, not matched F ranking",4200.014020919326,9,34
R0c_weather,D_quadratic,9254,quadratic,M5 + temp squared,,1.2476160008530268,,no knots,results/new/20260909183317/results/model_selection/ramp_model_R0c.json#weather/nested_cv/quadratic,REUSE,"separate original controls, not matched F ranking",,,
